#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	4.7341732504e-04	-3.9944290565e-20	9.9860726413e-21	-2.2825308894e-20	3.4237963342e-20	2.2825308894e-20	2.8531636118e-21	-4.7077199595e-20	5.4210108624e-20	-7.7748708422e-20	7.9888581131e-20	-1.1840628989e-19	-2.0828094366e-19
4.0000000000e-01	4.6825197270e-05	-3.5664545148e-21	4.7255522321e-21	-7.1329090295e-22	4.1014226920e-21	1.6049045316e-21	-3.5664545148e-22	-3.7447772405e-21	4.2797454177e-21	-5.4834238164e-21	6.7762635780e-21	-1.1234331721e-20	-2.0685436186e-20
6.0000000000e-01	7.3438198994e-06	-4.0122613291e-22	1.7832272574e-22	-2.6748408861e-22	4.4580681434e-22	3.1206477004e-22	-8.9161362869e-23	-6.6871022152e-22	8.0245226582e-22	-1.0810815248e-21	1.2928397616e-21	-2.0061306645e-21	-3.2989704261e-21
8.0000000000e-01	1.3941312610e-06	-8.9161362869e-23	-8.3588777690e-24	-4.4580681434e-23	8.9161362869e-23	6.6871022152e-23	-1.1145170359e-23	-9.1947655459e-23	1.3374204430e-22	-2.0897194422e-22	2.4519374789e-22	-3.3435511076e-22	-6.2412954008e-22
1.0000000000e+00	2.9120845940e-07	-1.6717755538e-23	1.6021182391e-23	-1.5324609243e-23	1.9504048128e-23	1.3931462948e-23	-8.3588777690e-24	-2.7166352749e-23	2.7862925897e-23	-4.7541117311e-23	4.7366974024e-23	-7.5229899921e-23	-1.3095575171e-22
1.2000000000e+00	6.4405658768e-08	0.0000000000e+00	9.2295942032e-24	-1.7414328685e-24	6.9657314741e-24	2.4380060159e-24	-3.4828657371e-25	-6.0950150399e-24	5.5725851793e-24	-9.3166658466e-24	1.1145170359e-23	-1.5324609243e-23	-2.9256072191e-23
1.4000000000e+00	1.4775188302e-08	-1.6543612251e-24	1.3060746514e-25	-3.4828657371e-25	1.8285045120e-24	8.7071643427e-25	-8.7071643427e-26	-1.3278425623e-24	2.0026477988e-24	-2.0135317542e-24	2.6121493028e-24	-3.4828657371e-24	-6.3562299701e-24
1.6000000000e+00	3.4786545516e-09	-1.7414328685e-25	1.4149142057e-25	-8.7071643427e-26	3.2651866285e-25	2.1767910857e-25	-4.3535821713e-26	-3.1563470742e-25	4.5712612799e-25	-4.7345206113e-25	6.0950150399e-25	-8.4894852341e-25	-1.5455216708e-24
1.8000000000e+00	8.3477838417e-10	-6.5303732570e-26	2.9930877428e-26	-3.2651866285e-26	5.9861754856e-26	3.2651866285e-26	-1.0883955428e-26	-7.3466699141e-26	7.6187687998e-26	-1.3400870121e-25	1.4149142057e-25	-2.0679515314e-25	-3.6461250685e-25
2.0000000000e+00	2.0333478371e-10	-1.7686427571e-26	1.0203708214e-26	-5.4419777142e-27	2.3128405285e-26	1.0883955428e-26	-5.4419777142e-27	-1.6325933142e-26	2.1767910857e-26	-3.0951248249e-26	3.6733349571e-26	-5.3059282713e-26	-8.7071643427e-26
2.2000000000e+00	5.0140204052e-11	-2.3808652499e-27	-1.7006180357e-28	-6.8024721427e-28	4.7617304999e-27	1.8706798392e-27	-1.0203708214e-27	-4.6766995981e-27	5.7821013213e-27	-7.1000802989e-27	8.5030901784e-27	-1.3264820678e-26	-2.1767910857e-26
2.4000000000e+00	1.2489209340e-11	-3.4012360714e-28	2.9760815624e-28	-4.2515450892e-28	1.4455253303e-27	6.8024721427e-28	8.5030901784e-29	-9.9911309596e-28	1.2754635268e-27	-1.5730716830e-27	2.2108034464e-27	-3.3587206205e-27	-5.6120395177e-27
2.6000000000e+00	3.1386730995e-12	-2.1257725446e-28	6.3773176338e-29	-1.4880407812e-28	4.2515450892e-28	9.5659764507e-29	-1.0628862723e-28	-2.2320611718e-28	2.9760815624e-28	-4.7564160685e-28	4.8892768526e-28	-8.0779356695e-28	-1.4242676049e-27
2.8000000000e+00	7.9488242156e-13	-7.4402039061e-29	7.1744823380e-29	-3.7201019530e-29	9.5659764507e-29	2.9229372488e-29	-2.1257725446e-29	-8.1045078263e-29	7.4402039061e-29	-1.2223192131e-28	1.2754635268e-28	-1.9397674469e-28	-3.5606690122e-28
3.0000000000e+00	2.0273767895e-13	-5.3144313615e-30	1.9929117606e-30	-3.9858235211e-30	2.5243548967e-29	1.1957470563e-29	-3.9858235211e-30	-1.8932661725e-29	2.6572156807e-29	-3.0225828368e-29	3.3215196009e-29	-5.2480009695e-29	-8.9016725305e-29
3.2000000000e+00	5.2039847288e-14	-2.6572156807e-30	1.3286078404e-30	-1.3286078404e-30	3.9858235211e-30	2.6572156807e-30	-1.6607598005e-30	-4.1518995012e-30	4.9822794014e-30	-7.6810140772e-30	7.9716470422e-30	-1.2953926444e-29	-2.3250637207e-29
3.4000000000e+00	1.3438562730e-14	-6.6430392019e-31	1.1210128653e-30	-6.6430392019e-31	1.3286078404e-30	4.1518995012e-31	-1.6607598005e-31	-1.5984813079e-30	1.5777218104e-30	-1.9825320118e-30	2.4081017107e-30	-3.4045575910e-30	-5.8956972917e-30
3.6000000000e+00	3.4897390990e-15	-2.6987346758e-31	2.3873422132e-31	-1.4531648254e-31	2.6987346758e-31	1.8683547755e-31	-4.1518995012e-32	-2.7506334195e-31	3.7367095510e-31	-5.0860768889e-31	6.2278492517e-31	-8.8227864400e-31	-1.5569623129e-30
3.8000000000e+00	9.1109148948e-16	-4.1518995012e-32	7.7848115647e-32	-2.5949371882e-32	8.3037990023e-32	4.1518995012e-32	-3.1139246259e-32	-7.0063304082e-32	9.3417738776e-32	-1.4791141973e-31	1.5569623129e-31	-2.2056966100e-31	-4.0481020136e-31
4.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
