#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.0638185  -4.53253e-05  -0.000720763  -8.40154e-07  6.33069e-06  -5.12868e-07  1.53873e-07  -1.11978e-06  6.04755e-08  -3.95062e-07  -6.29496e-07  1.96618e-07  2.13587e-06  -4.58851e-08  1.77931e-06
0.0138778  0.0885585  -6.27871e-05  -0.00100156  -2.38244e-06  1.22242e-05  -6.23456e-07  -3.98803e-07  -1.20149e-06  2.29421e-07  -3.66751e-08  4.29435e-07  3.17999e-07  2.10755e-06  -1.59132e-08  1.43717e-06
0.0255111  0.162694  -0.000116383  -0.00184268  -7.91613e-06  4.35956e-05  -4.13845e-07  -7.2072e-07  -4.65795e-07  6.45617e-07  7.02416e-07  2.53071e-06  4.23441e-07  1.07763e-06  1.65913e-08  4.89752e-07
0.0449  0.286033  -0.000220714  -0.00323636  -2.13108e-05  0.000142868  -3.33227e-06  -2.27708e-06  8.68672e-07  1.46504e-08  1.21873e-06  2.78447e-06  3.50385e-07  3.91767e-07  -8.89479e-09  2.78313e-07
0.0720444  0.457608  -0.00040504  -0.00517158  -5.30293e-05  0.000364055  -1.67234e-05  -1.18785e-05  3.09285e-07  -1.6509e-07  7.38105e-07  9.90778e-07  3.96992e-08  -4.66203e-07  -7.32175e-09  -4.88488e-08
0.106944  0.675308  -0.000745199  -0.00761034  -0.00010627  0.000810855  -5.92736e-05  -4.57546e-05  -4.84369e-06  3.29457e-06  -4.04098e-07  -6.62533e-07  -1.71868e-07  -3.2497e-07  -3.82132e-08  -2.49081e-07
0.1496  0.934898  -0.00137782  -0.0104907  -0.000171611  0.00160316  -0.000160194  -0.00012559  -1.91047e-05  1.29943e-05  -2.05614e-06  -2.94903e-06  -5.05303e-08  -6.73407e-07  -2.30753e-08  -5.5876e-07
0.200011  1.22885  -0.00250382  -0.0136961  -0.000204457  0.00290341  -0.000368825  -0.000291626  -5.97525e-05  4.46282e-05  -8.59968e-06  -8.53893e-06  -4.37834e-07  3.14359e-07  -3.05572e-08  2.02217e-07
0.258178  1.54477  -0.00435076  -0.0170719  -0.000111861  0.00489912  -0.00075041  -0.000607094  -0.00015919  0.000118537  -3.07113e-05  -3.15841e-05  -2.9178e-06  -4.67242e-09  2.87851e-07  -3.69673e-07
0.3241  1.8644  -0.00711019  -0.0204241  0.000265941  0.00780336  -0.00138183  -0.00114399  -0.000373317  0.000282396  -8.87727e-05  -8.76868e-05  -1.05126e-05  1.32825e-06  9.31103e-07  -1.91415e-06
0.397778  2.16281  -0.0108284  -0.0235242  0.00114838  0.011797  -0.00233198  -0.00197523  -0.000779908  0.00060182  -0.000217396  -0.000201129  -2.96844e-05  1.30064e-05  1.84841e-06  2.06185e-06
0.479211  2.41001  -0.0153016  -0.0261331  0.00277681  0.0169538  -0.00365321  -0.0031591  -0.00148811  0.00116554  -0.000479976  -0.000426541  -7.72887e-05  3.53479e-05  3.06225e-06  2.07008e-06
0.5684  2.57462  -0.0200761  -0.0280357  0.0053709  0.0232279  -0.00539269  -0.00473082  -0.00263218  0.00208376  -0.00096099  -0.000816026  -0.000178737  8.91596e-05  5.88989e-06  -1.32133e-06
