#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  44.7454  -0.000243086  -0.000811026  4.22245e-06  1.31321e-05  -1.61612e-06  -1.00395e-06  -3.40969e-06  1.17051e-06  -5.63251e-07  7.92889e-07  9.28435e-07  4.31755e-06  -2.40974e-08  2.76036e-06
0.0138778  44.7361  -0.000338959  -0.00112641  9.19306e-06  2.76931e-05  -1.4363e-06  -1.1646e-06  -2.90071e-06  1.62917e-06  7.40028e-07  2.34388e-06  1.3104e-06  3.15407e-06  1.97438e-08  3.05601e-06
0.0255111  44.7052  -0.000630483  -0.00207299  3.37365e-05  9.77471e-05  -9.08256e-07  -5.26955e-07  6.01643e-07  2.68058e-07  3.2841e-06  5.90424e-06  1.46916e-06  1.08584e-06  4.56258e-08  1.64637e-06
0.0449  44.6019  -0.00112475  -0.00363109  0.000103959  0.000293062  -1.16393e-05  -4.45382e-06  1.34125e-06  -8.47771e-07  2.9418e-06  2.83115e-06  7.92311e-07  -2.35089e-07  1.65161e-08  1.12031e-06
0.0720444  44.3646  -0.00187037  -0.00576314  0.000271532  0.000762835  -5.71501e-05  -3.16038e-05  -3.13272e-06  2.58321e-06  8.22909e-07  6.01614e-07  -4.08621e-07  -4.25902e-07  -6.79878e-08  -7.363e-07
0.106944  43.8973  -0.00294646  -0.00836708  0.000612351  0.00167706  -0.000186059  -0.000109132  -2.25091e-05  1.56461e-05  -1.10577e-06  -1.7203e-06  1.46794e-07  -9.89693e-07  1.24735e-08  -4.05733e-07
0.1496  43.0562  -0.00447599  -0.0112814  0.00123439  0.00323939  -0.00047989  -0.000284907  -8.51234e-05  6.14029e-05  -1.35857e-05  -1.19821e-05  -1.52937e-06  -1.11944e-06  -1.28116e-07  -2.48688e-06
0.200011  41.6706  -0.00655356  -0.0142511  0.00228608  0.00567101  -0.00105758  -0.000636815  -0.000254746  0.000184999  -5.20395e-05  -4.14896e-05  -6.37193e-06  1.254e-06  -1.21026e-07  -1.906e-06
0.258178  39.5603  -0.00914963  -0.0169771  0.00392039  0.00909119  -0.00202011  -0.00121575  -0.000622411  0.000468984  -0.000153561  -0.000103441  -2.10226e-05  1.75143e-05  -4.23805e-07  3.10938e-06
0.3241  36.6013  -0.0120497  -0.0191771  0.00626256  0.0134834  -0.0034483  -0.00208422  -0.00130921  0.000984613  -0.000375177  -0.00024807  -5.71366e-05  4.49158e-05  -2.63908e-07  3.85996e-06
0.397778  32.7941  -0.0148616  -0.0205986  0.00936908  0.0186839  -0.00537992  -0.00321247  -0.00246553  0.00185652  -0.000810511  -0.000500033  -0.000140953  0.000122809  5.65719e-07  3.12677e-06
0.479211  28.3294  -0.0171571  -0.0210968  0.0131828  0.0243694  -0.00778672  -0.00453034  -0.00419897  0.00314322  -0.00153947  -0.000877143  -0.0003025  0.000301081  -1.48959e-06  1.53924e-05
0.5684  23.5334  -0.0185708  -0.0205875  0.0175687  0.0301703  -0.0105932  -0.00591763  -0.00656688  0.00486362  -0.00262282  -0.00137798  -0.00057351  0.000629213  -1.24102e-05  3.91617e-05
0.665344  18.8009  -0.0189342  -0.0191207  0.0223891  0.0358011  -0.0137253  -0.00731305  -0.00960878  0.00699136  -0.0041038  -0.00201641  -0.000978656  0.00114072  -3.92583e-05  7.43102e-05
0.770044  14.4642  -0.0181516  -0.016747  0.0275294  0.0410472  -0.0171041  -0.00862077  -0.0133284  0.00952434  -0.00600284  -0.00274892  -0.00154152  0.00190752  -8.87037e-05  0.000150657
0.8825  10.7454  -0.0161546  -0.0135221  0.0329127  0.0456959  -0.0206727  -0.0098024  -0.0177224  0.0124163  -0.00833298  -0.00358206  -0.00228414  0.00295296  -0.000164219  0.000268203
1.00271  7.72767  -0.0129158  -0.0095032  0.0384793  0.0495934  -0.0244062  -0.0108019  -0.0227849  0.0156508  -0.011101  -0.00448935  -0.00322958  0.00432407  -0.000269616  0.000433006
1.13068  5.39249  -0.00841947  -0.00472277  0.0441545  0.052585  -0.0282931  -0.0115434  -0.0284996  0.0192184  -0.0143198  -0.00543434  -0.00440905  0.00609324  -0.000407988  0.000667685
1.2664  3.66141  -0.00260083  0.00086189  0.0498814  0.0544555  -0.0323633  -0.0119528  -0.0349162  0.023065  -0.0180192  -0.00640452  -0.00586227  0.00832225  -0.000594388  0.000966441
1.40988  2.4195  0.0043735  0.00714451  0.0555396  0.0551677  -0.0365857  -0.011966  -0.0419422  0.0271319  -0.0221445  -0.00733  -0.0075777  0.0110483  -0.000832003  0.00135704
1.56111  1.56121  0.0126641  0.0143704  0.0611419  0.0544637  -0.0410598  -0.0114163  -0.0498478  0.031423  -0.0268282  -0.00812816  -0.00964949  0.0145068  -0.00117905  0.00191812
1.7201  0.98382  0.0220496  0.02245  0.0665692  0.0523163  -0.0457167  -0.0102559  -0.0585555  0.0358046  -0.032  -0.0087344  -0.0120617  0.0187235  -0.00166323  0.0026824
1.88684  0.606178  0.0324038  0.031404  0.0717657  0.0486512  -0.0505084  -0.00841617  -0.0680736  0.0401489  -0.0375987  -0.00906813  -0.0147893  0.0237225  -0.0023152  0.00369371
2.06134  0.364744  0.0434131  0.0410625  0.0766675  0.0435561  -0.0553496  -0.00593024  -0.0783703  0.0443255  -0.0435854  -0.00911721  -0.0178307  0.0295098  -0.00317372  0.00496731
2.2436  0.214394  0.0548676  0.0513339  0.0812554  0.0370986  -0.0601627  -0.00281698  -0.08942  0.0482255  -0.0499021  -0.00884216  -0.0211695  0.0360922  -0.00427453  0.00655907
2.43361  0.12379  0.0669256  0.0624887  0.0856309  0.0289713  -0.0650005  0.001025  -0.101635  0.0517659  -0.0566984  -0.00820343  -0.0249104  0.0436597  -0.00571458  0.00854593
2.63138  0.0694627  0.0788518  0.0738567  0.0896609  0.0197466  -0.069585  0.00532818  -0.114431  0.0547818  -0.0636418  -0.00724084  -0.028878  0.051881  -0.00743021  0.0108937
2.8369  0.0380587  0.0907401  0.0855799  0.0934374  0.00926605  -0.0739306  0.010129  -0.128042  0.0572215  -0.0707907  -0.00592194  -0.0331257  0.0608466  -0.00947502  0.0136791
3.05018  0.0198955  0.102221  0.0972637  0.0969801  -0.00218833  -0.0778907  0.0152338  -0.142303  0.0590084  -0.07806  -0.00432661  -0.0376318  0.0704849  -0.0118275  0.0169085
3.27121  0.00999048  0.113755  0.109405  0.100431  -0.0152019  -0.081505  0.0208327  -0.157626  0.0600165  -0.0854832  -0.00234839  -0.0424316  0.0808905  -0.0145338  0.0206862
3.5  0.00491121  0.125403  0.122128  0.10385  -0.030072  -0.0848176  0.0269794  -0.174431  0.060188  -0.0932331  5.20637e-05  -0.0477019  0.0923051  -0.0177066  0.0251684
