#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  67.5339  8.79196e-05  -0.00016802  -1.12525e-06  -1.2436e-05  -2.99332e-06  -5.13473e-06  -2.19357e-05  9.48551e-06  2.45115e-05  3.56794e-05  1.92067e-05  7.1388e-06  -3.35502e-07  1.92986e-05
0.0138778  93.3138  0.000113543  -0.000240675  2.99529e-06  -2.80735e-05  6.28826e-06  -7.36651e-07  3.90437e-07  6.62684e-07  3.63213e-05  4.5942e-05  1.65686e-05  -3.56384e-06  -3.59453e-07  1.56217e-05
0.0255111  167.899  0.000164018  -0.000509188  -2.19146e-06  -3.48307e-05  1.70997e-05  1.73041e-05  2.01136e-05  -3.29798e-06  2.74938e-05  2.70914e-05  5.4937e-07  -5.87081e-06  2.52379e-07  -3.67385e-06
0.0449  277.87  9.42791e-05  -0.000993317  2.587e-05  -7.30922e-05  -2.59775e-06  -1.71492e-05  -3.58202e-06  4.66498e-06  4.86987e-06  6.38739e-07  -6.46708e-06  3.20659e-06  6.7165e-07  1.97081e-06
0.0720444  391.012  -0.000422095  -0.00187707  0.000252713  -5.33879e-05  -4.03441e-05  -5.59685e-05  -1.39289e-05  2.01594e-05  -1.34343e-05  -1.36115e-05  -2.01575e-06  -2.89634e-06  -5.33757e-08  -1.83305e-06
0.106944  464.012  -0.00172388  -0.00335867  0.000960271  0.000368388  -0.000122676  -5.58167e-05  -1.96749e-05  4.60056e-05  -4.3369e-05  -3.11957e-05  -1.04193e-05  1.092e-05  -1.33169e-06  -1.94673e-06
0.1496  472.811  -0.0036652  -0.00544521  0.00249685  0.00175121  -0.000359024  -1.88391e-05  -1.40811e-05  3.75165e-05  -9.48846e-05  -6.82714e-05  -3.45912e-05  4.52657e-05  -4.96235e-06  8.35006e-06
0.200011  428.638  -0.00576505  -0.00783757  0.00483525  0.00446567  -0.000907766  -4.82336e-05  -8.1e-06  -3.78661e-07  -8.48732e-05  -8.61799e-05  -4.65743e-05  4.41863e-05  -4.72002e-06  7.82906e-06
0.258178  357.347  -0.00768343  -0.0101349  0.00773022  0.00837651  -0.00196523  -0.000319917  -0.000219369  8.2544e-05  -4.13259e-05  -6.25374e-05  -3.32866e-05  1.65918e-05  -4.0953e-06  6.37967e-06
0.3241  281.486  -0.00934087  -0.0119459  0.0109837  0.0131273  -0.00362911  -0.000934202  -0.000873299  0.000463568  -4.89973e-05  -3.80435e-05  9.94885e-06  -3.89644e-05  1.08909e-06  -4.45328e-06
0.397778  212.881  -0.0107805  -0.0130841  0.0145378  0.0183715  -0.00588485  -0.00189603  -0.00216274  0.00129262  -0.000276685  -8.73964e-05  3.76552e-05  -5.32708e-05  8.18358e-06  -1.3917e-05
0.479211  155.948  -0.011933  -0.0134496  0.0184122  0.0238665  -0.00863076  -0.00312351  -0.00416792  0.0026237  -0.000873852  -0.0002984  -1.20966e-05  4.25668e-05  1.30818e-05  -1.6696e-05
0.5684  111.197  -0.012588  -0.0129912  0.022638  0.0294194  -0.0117499  -0.00450051  -0.00692616  0.00447238  -0.00195179  -0.000708394  -0.000205981  0.000331309  6.05085e-06  3.21218e-07
0.665344  77.4253  -0.0124481  -0.0116498  0.0272159  0.0347927  -0.0151369  -0.00591887  -0.0104035  0.0067909  -0.00352865  -0.00132284  -0.000576535  0.00084002  -1.8325e-05  3.98105e-05
0.770044  52.7148  -0.01134  -0.00945098  0.0320995  0.0397903  -0.0187203  -0.00726975  -0.0145842  0.00955865  -0.00562048  -0.00209306  -0.0011618  0.00164969  -6.99997e-05  0.000118419
0.8825  35.1586  -0.0090715  -0.00639068  0.037234  0.0441404  -0.0224759  -0.0084934  -0.0194568  0.0127009  -0.0082115  -0.00300594  -0.00197528  0.00277782  -0.000152037  0.000229148
1.00271  22.9845  -0.00557106  -0.00247049  0.042537  0.047649  -0.0263798  -0.00946409  -0.0250216  0.0162061  -0.0113173  -0.00398384  -0.00306017  0.00434803  -0.000280194  0.000418928
1.13068  14.7397  -0.00082297  0.00228322  0.047938  0.0501374  -0.0304326  -0.0101254  -0.0312579  0.0199901  -0.014896  -0.00499111  -0.00440909  0.00636582  -0.00045747  0.000683798
1.2664  9.28034  0.005123  0.0078407  0.0533322  0.0514686  -0.0346155  -0.0103697  -0.038155  0.0240017  -0.0189361  -0.00594808  -0.00604579  0.00892509  -0.000703716  0.00106046
1.40988  5.73721  0.0122039  0.0141929  0.058662  0.0515577  -0.0389281  -0.0101454  -0.0457052  0.0281643  -0.0234096  -0.00681055  -0.00797302  0.0120623  -0.00103488  0.00156761
1.56111  3.48559  0.0203681  0.0213574  0.0638886  0.0503162  -0.0433928  -0.00940032  -0.0539857  0.032418  -0.028345  -0.00754382  -0.0102248  0.0158678  -0.00148539  0.00223933
1.7201  2.07956  0.0294443  0.0292844  0.0689319  0.0477231  -0.0479558  -0.008069  -0.0629503  0.0366691  -0.0336666  -0.00805493  -0.0127694  0.0203663  -0.00207064  0.00312675
1.88684  1.21835  0.039274  0.0379123  0.0737508  0.0437834  -0.0525832  -0.00616244  -0.0725947  0.0408023  -0.0393416  -0.0083455  -0.0155984  0.0255328  -0.00281641  0.00420557
2.06134  0.698325  0.049479  0.0469803  0.0782535  0.0387078  -0.0571481  -0.00373832  -0.0827108  0.0447078  -0.0452297  -0.00837149  -0.0186438  0.0313001  -0.0037248  0.00551748
2.2436  0.391953  0.060037  0.056556  0.0824836  0.0324661  -0.0616601  -0.000752549  -0.093459  0.0483698  -0.0513907  -0.00807553  -0.021953  0.0378142  -0.00485105  0.00716258
2.43361  0.216083  0.0709971  0.0667578  0.0864801  0.0248859  -0.0660958  0.00279247  -0.104931  0.051622  -0.057782  -0.00749096  -0.0254991  0.0449553  -0.00621815  0.00906177
2.63138  0.117194  0.0824299  0.0777662  0.0903448  0.0157191  -0.0705212  0.00701349  -0.117663  0.0544848  -0.0646805  -0.00653446  -0.0294871  0.0531589  -0.00796243  0.0114417
2.8369  0.061199  0.0935892  0.0888414  0.0939587  0.00557814  -0.0746529  0.0115984  -0.131059  0.0568024  -0.0717662  -0.005288  -0.033754  0.0620904  -0.0100129  0.0142474
3.05018  0.031155  0.104708  0.100244  0.0973904  -0.00583538  -0.0784677  0.0166127  -0.145201  0.0584272  -0.0789216  -0.00369962  -0.0382341  0.0716113  -0.0123665  0.0174795
3.27121  0.0148285  0.115779  0.111928  0.100793  -0.0186564  -0.0819264  0.0220459  -0.160467  0.0593625  -0.0863471  -0.00178327  -0.0430908  0.0820912  -0.0150748  0.0213173
3.5  0.00676011  0.127525  0.124743  0.104347  -0.0340362  -0.085126  0.0282773  -0.177772  0.0593748  -0.0942528  0.000656456  -0.0485095  0.0938938  -0.0182907  0.0259959
