#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  5.69241  -4.51255e-05  -0.000721014  -9.0154e-07  6.10457e-06  -4.94266e-07  1.52545e-07  -1.13439e-06  6.73612e-08  -3.96794e-07  -6.185e-07  2.029e-07  2.14595e-06  -4.19848e-08  1.76984e-06
0.0138778  5.69229  -6.25027e-05  -0.00100186  -2.46154e-06  1.1972e-05  -6.17609e-07  -3.98441e-07  -1.21445e-06  2.3874e-07  -3.63758e-08  4.38743e-07  3.1636e-07  2.09964e-06  -1.24149e-08  1.44228e-06
0.0255111  5.68936  -0.000116603  -0.00184313  -8.04738e-06  4.34532e-05  -4.09877e-07  -7.18817e-07  -4.84027e-07  6.62124e-07  7.12375e-07  2.54262e-06  4.19714e-07  1.08254e-06  1.48851e-08  4.87359e-07
0.0449  5.68903  -0.000220824  -0.00323647  -2.12919e-05  0.000142885  -3.32901e-06  -2.27393e-06  8.42649e-07  2.76341e-08  1.22229e-06  2.78284e-06  3.49338e-07  3.91122e-07  -1.08534e-08  2.70555e-07
0.0720444  5.6837  -0.000405309  -0.00517192  -5.30029e-05  0.000364192  -1.67873e-05  -1.19293e-05  2.97949e-07  -1.67801e-07  7.37046e-07  9.75841e-07  3.32077e-08  -4.63236e-07  -1.05998e-08  -4.89305e-08
0.106944  5.67289  -0.000745239  -0.00761035  -0.000106088  0.000811142  -5.93271e-05  -4.58025e-05  -4.85127e-06  3.30123e-06  -4.07348e-07  -6.60926e-07  -1.77414e-07  -3.31329e-07  -3.00124e-08  -2.50043e-07
0.1496  5.65083  -0.00137851  -0.0104942  -0.000171468  0.00160397  -0.0001603  -0.000125695  -1.91572e-05  1.30213e-05  -2.07743e-06  -2.96749e-06  -5.29909e-08  -6.76546e-07  -2.16869e-08  -5.55353e-07
0.200011  5.6166  -0.00250393  -0.0136985  -0.000204688  0.00290365  -0.00036886  -0.000291646  -5.973e-05  4.45937e-05  -8.58961e-06  -8.53898e-06  -4.40417e-07  3.07099e-07  -3.2389e-08  1.98168e-07
0.258178  5.55773  -0.00435086  -0.0170726  -0.000111889  0.00489925  -0.000750424  -0.000607099  -0.000159185  0.00011854  -3.0703e-05  -3.15657e-05  -2.91373e-06  7.63841e-10  2.87639e-07  -3.57882e-07
0.3241  5.46191  -0.00711034  -0.0204243  0.000265967  0.00780347  -0.00138184  -0.00114397  -0.000373295  0.000282387  -8.87478e-05  -8.76441e-05  -1.05006e-05  1.34504e-06  9.25885e-07  -1.89216e-06
0.397778  5.31366  -0.0108287  -0.0235243  0.0011486  0.0117974  -0.00233204  -0.00197528  -0.000779902  0.000601812  -0.000217355  -0.000201097  -2.9661e-05  1.2996e-05  1.84378e-06  2.06911e-06
0.479211  5.09636  -0.0153013  -0.0261326  0.00277721  0.016954  -0.00365325  -0.0031592  -0.00148812  0.00116553  -0.000479932  -0.000426538  -7.72527e-05  3.53048e-05  3.06167e-06  2.05432e-06
0.5684  4.79542  -0.0200748  -0.0280348  0.00537138  0.0232277  -0.00539272  -0.00473086  -0.0026323  0.00208386  -0.000961017  -0.000816061  -0.000178721  8.9128e-05  5.89219e-06  -1.34078e-06
0.665344  4.40573  -0.0244913  -0.0290308  0.00903635  0.0303338  -0.00756374  -0.00664033  -0.00434294  0.00347327  -0.00175883  -0.00140719  -0.000370947  0.000217368  1.15818e-05  -2.57985e-06
0.770044  3.93495  -0.0278417  -0.0289573  0.0137596  0.0378308  -0.0101755  -0.00877559  -0.0067432  0.00542489  -0.00297524  -0.00221408  -0.000702832  0.000488081  1.99564e-05  4.28319e-06
0.8825  3.4046  -0.0295083  -0.0276819  0.0194125  0.0451728  -0.0132367  -0.010972  -0.00994785  0.00799646  -0.00470868  -0.00322629  -0.00123016  0.000993624  2.54774e-05  2.7952e-05
1.00271  2.8468  -0.0290846  -0.0251226  0.0257799  0.0518284  -0.0167436  -0.0130347  -0.0140205  0.0111844  -0.00701686  -0.00439545  -0.0019989  0.00183231  2.02217e-05  8.38982e-05
1.13068  2.29666  -0.0264212  -0.0212799  0.0326  0.0573523  -0.0206828  -0.0147919  -0.0190023  0.0149358  -0.009941  -0.00567181  -0.00305299  0.00309948  -1.03098e-05  0.000175725
1.2664  1.78702  -0.0215236  -0.0161491  0.0396233  0.0613962  -0.0250341  -0.0160552  -0.0249242  0.0191832  -0.0135002  -0.00695718  -0.00443058  0.00493177  -9.07724e-05  0.000351906
1.40988  1.3418  -0.014525  -0.00972875  0.0466444  0.0637302  -0.0297602  -0.0166619  -0.0317821  0.0238207  -0.0176658  -0.00813549  -0.00614028  0.00743542  -0.000245364  0.000666634
1.56111  0.972419  -0.00574929  -0.00214096  0.0534632  0.0642533  -0.0347826  -0.0165305  -0.0395402  0.0286878  -0.0223993  -0.00913796  -0.00819334  0.010681  -0.000509964  0.00114467
1.7201  0.680993  0.00450341  0.00653218  0.0599653  0.0629511  -0.0400332  -0.0156156  -0.0481709  0.0336358  -0.0276377  -0.00989817  -0.0105712  0.0146937  -0.00091461  0.00181278
1.88684  0.46047  0.0157584  0.0160426  0.0660225  0.0599561  -0.0453714  -0.0139574  -0.0575245  0.0384752  -0.0332583  -0.0103877  -0.0132261  0.0194097  -0.001478  0.00266606
2.06134  0.30095  0.0277402  0.0262981  0.071628  0.0553644  -0.0507412  -0.0115747  -0.0676307  0.0431164  -0.0392496  -0.0105766  -0.0161685  0.0248836  -0.00223911  0.00375482
2.2436  0.188849  0.0396183  0.0366162  0.0766183  0.0497861  -0.0558485  -0.00873981  -0.0778432  0.0473475  -0.0452299  -0.0105024  -0.0191851  0.0307178  -0.00312486  0.00499736
2.43361  0.114812  0.0520157  0.0477172  0.081301  0.0426645  -0.0609748  -0.00517864  -0.0891127  0.0513036  -0.0516896  -0.0100725  -0.022574  0.037528  -0.00431111  0.00661493
2.63138  0.0673451  0.064521  0.0592784  0.0856338  0.0342405  -0.065939  -0.00102927  -0.101188  0.0548116  -0.0584368  -0.00929518  -0.026245  0.0451381  -0.00579159  0.00860036
2.8369  0.0376159  0.0767033  0.0708986  0.0895978  0.02484  -0.0705586  0.00351461  -0.113778  0.0577412  -0.0652823  -0.00821663  -0.0301096  0.0533588  -0.00753901  0.0109407
3.05018  0.0198718  0.0890103  0.0830591  0.0934167  0.0139581  -0.0749549  0.0086297  -0.127527  0.0600935  -0.0724939  -0.00677936  -0.0343435  0.0625488  -0.00965445  0.0137886
3.27121  0.00976715  0.101661  0.0959948  0.0972309  0.00117802  -0.0790727  0.0144331  -0.142809  0.0617245  -0.0801251  -0.0048889  -0.0390182  0.0729311  -0.0122056  0.0173213
3.5  0.00440622  0.115836  0.110986  0.101438  -0.0151787  -0.0830747  0.0215199  -0.161189  0.0624143  -0.0887014  -0.00229437  -0.0445115  0.0853903  -0.0154345  0.021959
