#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.0606688  -4.53253e-05  -0.000720763  -8.40154e-07  6.33069e-06  -5.12868e-07  1.53873e-07  -1.11978e-06  6.04755e-08  -3.95062e-07  -6.29496e-07  1.96618e-07  2.13587e-06  -4.58851e-08  1.77931e-06
0.0138778  0.0841883  -6.27858e-05  -0.00100156  -2.38218e-06  1.22248e-05  -6.27716e-07  -3.9528e-07  -1.20254e-06  2.26672e-07  -4.1308e-08  4.30008e-07  3.18879e-07  2.10578e-06  -1.78342e-08  1.43704e-06
0.0255111  0.154681  -0.000116372  -0.00184254  -7.90875e-06  4.35958e-05  -4.1544e-07  -7.12381e-07  -4.57009e-07  6.48622e-07  7.04257e-07  2.52993e-06  4.28288e-07  1.07732e-06  1.45347e-08  4.89591e-07
0.0449  0.271953  -0.000220697  -0.00323632  -2.13031e-05  0.000142864  -3.32795e-06  -2.2791e-06  8.65891e-07  1.01613e-08  1.21569e-06  2.77807e-06  3.47097e-07  3.86004e-07  -6.48618e-09  2.74862e-07
0.0720444  0.435171  -0.000405021  -0.00517158  -5.30258e-05  0.000364054  -1.67228e-05  -1.18752e-05  3.05112e-07  -1.70123e-07  7.40884e-07  9.90621e-07  3.54257e-08  -4.67259e-07  -4.14173e-09  -5.48379e-08
0.106944  0.642458  -0.000745247  -0.00761035  -0.000106285  0.000810864  -5.92765e-05  -4.5756e-05  -4.83935e-06  3.29997e-06  -4.06694e-07  -6.60899e-07  -1.63053e-07  -3.2225e-07  -3.74549e-08  -2.49939e-07
0.1496  0.890065  -0.00137778  -0.0104905  -0.000171642  0.00160309  -0.000160191  -0.000125583  -1.90904e-05  1.29824e-05  -2.05874e-06  -2.95794e-06  -5.88663e-08  -6.69475e-07  -2.14752e-08  -5.60547e-07
0.200011  1.17116  -0.00250383  -0.013696  -0.000204395  0.00290345  -0.000368844  -0.000291638  -5.9764e-05  4.46438e-05  -8.60443e-06  -8.54245e-06  -4.44407e-07  3.22487e-07  -3.15555e-08  2.02202e-07
0.258178  1.47454  -0.00435071  -0.0170719  -0.000111863  0.00489908  -0.000750403  -0.000607095  -0.000159187  0.000118531  -3.07225e-05  -3.1582e-05  -2.92419e-06  2.3518e-09  2.95638e-07  -3.62972e-07
0.3241  1.78331  -0.00711009  -0.020424  0.00026598  0.0078033  -0.00138184  -0.00114397  -0.000373331  0.000282395  -8.879e-05  -8.76836e-05  -1.0515e-05  1.33323e-06  9.28196e-07  -1.91517e-06
0.397778  2.07408  -0.0108281  -0.023524  0.00114841  0.0117968  -0.00233197  -0.00197519  -0.000779917  0.000601833  -0.000217416  -0.00020112  -2.96845e-05  1.30169e-05  1.84588e-06  2.06599e-06
0.479211  2.31811  -0.0153016  -0.0261334  0.00277647  0.0169535  -0.00365316  -0.00315898  -0.00148809  0.00116552  -0.000479993  -0.000426505  -7.7294e-05  3.53927e-05  3.06651e-06  2.08869e-06
0.5684  2.48473  -0.0200768  -0.0280364  0.00537054  0.023228  -0.00539263  -0.00473076  -0.00263214  0.00208371  -0.000961  -0.000815998  -0.000178763  8.92072e-05  5.89163e-06  -1.30224e-06
0.665344  2.54849  -0.0244949  -0.0290327  0.00903609  0.0303358  -0.00756345  -0.00664078  -0.00434221  0.00347284  -0.00175838  -0.00140714  -0.000370774  0.000217085  1.16072e-05  -2.61565e-06
0.770044  2.49636  -0.0278422  -0.0289574  0.0137598  0.0378315  -0.0101755  -0.00877577  -0.00674313  0.00542483  -0.00297511  -0.00221411  -0.00070277  0.000488007  1.99432e-05  4.27587e-06
0.8825  2.33253  -0.029505  -0.0276803  0.019413  0.0451711  -0.013237  -0.0109717  -0.00994832  0.0079967  -0.00470883  -0.00322629  -0.00123014  0.000993612  2.54885e-05  2.79254e-05
1.00271  2.07862  -0.0290799  -0.0251198  0.0257805  0.0518255  -0.0167446  -0.0130339  -0.0140222  0.0111852  -0.00701785  -0.00439539  -0.00199932  0.00183318  2.01344e-05  8.40927e-05
1.13068  1.76735  -0.0264156  -0.021276  0.0325997  0.0573473  -0.0206831  -0.0147908  -0.0190023  0.0149353  -0.00994017  -0.00567145  -0.0030524  0.00309874  -1.01295e-05  0.000175462
1.2664  1.43581  -0.0215224  -0.016148  0.0396227  0.0613933  -0.0250351  -0.0160545  -0.0249273  0.0191844  -0.0135026  -0.00695737  -0.00443213  0.00493469  -9.12588e-05  0.000352548
1.40988  1.11704  -0.0145233  -0.00972733  0.046645  0.063729  -0.0297617  -0.0166613  -0.0317856  0.0238225  -0.0176685  -0.00813553  -0.00614188  0.00743851  -0.0002459  0.000667523
1.56111  0.833428  -0.00575531  -0.00214675  0.0534619  0.0642581  -0.0347805  -0.0165321  -0.039537  0.028687  -0.0223982  -0.00913813  -0.00819299  0.0106799  -0.000509877  0.00114476
1.7201  0.597949  0.00451164  0.00653642  0.0599675  0.0629524  -0.0400314  -0.0156158  -0.0481619  0.0336323  -0.0276293  -0.0098973  -0.0105652  0.0146821  -0.000912565  0.00180961
1.88684  0.412325  0.0157616  0.0160432  0.0660268  0.0599592  -0.0453764  -0.0139575  -0.0575371  0.0384828  -0.0332692  -0.010389  -0.0132321  0.0194196  -0.00147963  0.00266832
2.06134  0.273878  0.0277319  0.0262891  0.0716273  0.0553726  -0.0507408  -0.0115775  -0.0676315  0.0431192  -0.0392534  -0.0105776  -0.0161714  0.0248881  -0.00224013  0.00375639
2.2436  0.174335  0.0396422  0.0366381  0.0766231  0.0497709  -0.0558533  -0.00873269  -0.0778484  0.0473464  -0.0452279  -0.0104992  -0.0191825  0.030715  -0.0031248  0.00499635
2.43361  0.107481  0.052221  0.0479283  0.0813594  0.04248  -0.0610517  -0.00509145  -0.0893333  0.0513399  -0.0518011  -0.0100462  -0.0226388  0.0376626  -0.00434509  0.00665741
2.63138  0.0634951  0.064565  0.0593273  0.0856497  0.0341963  -0.0659637  -0.00100799  -0.10126  0.054828  -0.0584811  -0.00929016  -0.0262729  0.0451921  -0.00580494  0.00861742
2.8369  0.0358192  0.0767506  0.0709479  0.0896047  0.0247992  -0.0705714  0.00353459  -0.113804  0.0577397  -0.0652875  -0.00820668  -0.0301114  0.053365  -0.00754373  0.0109443
3.05018  0.0190291  0.0890738  0.0831294  0.0934367  0.0138926  -0.0749881  0.00866023  -0.127628  0.0601127  -0.0725542  -0.00677333  -0.0343817  0.0626189  -0.00967373  0.0138092
3.27121  0.00944434  0.101612  0.0959449  0.0972031  0.00124177  -0.0790532  0.0144077  -0.1427  0.0617094  -0.0800578  -0.00489072  -0.038974  0.0728369  -0.0121868  0.0172917
