#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  0.4239  -5.59286e-06  -0.000729554  4.51125e-06  8.36894e-06  -1.6263e-07  -6.40446e-08  -1.43019e-08  -3.83218e-09  -1.14899e-08  -2.33722e-08  -1.78729e-08  1.78729e-08  -1.60569e-10  2.00229e-09
0.0138778  0.588134  -8.33991e-06  -0.00101219  8.69549e-06  1.61506e-05  -4.25928e-07  -1.77443e-07  -2.61752e-08  3.00075e-08  1.36097e-08  -7.2895e-09  7.40345e-09  3.06661e-09  5.32596e-09  -1.69525e-08
0.0255111  1.07983  -2.0401e-05  -0.00185797  2.9361e-05  5.46225e-05  -2.57773e-06  -1.12226e-06  -5.76018e-08  2.33737e-08  8.11844e-09  -1.84059e-08  7.4047e-09  -1.25186e-08  3.28197e-08  -1.40306e-08
0.0449  1.89362  -6.21907e-05  -0.0032561  9.11573e-05  0.000169659  -1.40187e-05  -5.91108e-06  -5.35547e-07  3.93452e-07  -3.30696e-08  -3.50795e-08  7.40861e-09  -1.7886e-08  -3.25827e-09  -1.28007e-08
0.0720444  3.01263  -0.000194292  -0.00517346  0.000236348  0.000439643  -5.67945e-05  -2.41309e-05  -3.61411e-06  2.66849e-06  -2.64066e-07  -1.83296e-07  6.69849e-09  1.86307e-08  -7.49927e-09  -1.31332e-08
0.106944  4.39654  -0.000545352  -0.0075358  0.000527291  0.000979732  -0.000179211  -7.66556e-05  -1.70023e-05  1.24762e-05  -1.7451e-06  -1.15851e-06  -7.96146e-08  3.97391e-08  -1.7083e-08  -1.93088e-08
0.1496  5.96562  -0.00131709  -0.0102115  0.0010502  0.00194716  -0.00046185  -0.000200088  -6.14715e-05  4.51495e-05  -8.57402e-06  -5.66345e-06  -4.05213e-07  3.00514e-07  1.18741e-08  -2.15494e-09
0.200011  7.5846  -0.0027335  -0.0130092  0.00191663  0.00353744  -0.00100917  -0.000445019  -0.000180496  0.00013251  -3.28159e-05  -2.12759e-05  -2.08694e-06  1.65921e-06  3.82924e-08  -1.13139e-09
0.258178  9.05868  -0.00493103  -0.0156976  0.00325396  0.005956  -0.00192283  -0.000867003  -0.000446401  0.000327767  -0.000100837  -6.42889e-05  -8.20887e-06  6.92576e-06  1.11665e-07  -3.0995e-08
0.3241  10.1596  -0.00784675  -0.0180383  0.00518275  0.0093599  -0.00327004  -0.00151153  -0.000958376  0.000703099  -0.00025861  -0.000161056  -2.60599e-05  2.32813e-05  2.46793e-07  4.6586e-08
0.397778  10.6885  -0.0111863  -0.019818  0.00778761  0.0137909  -0.00506721  -0.00240069  -0.0018311  0.00134046  -0.000570735  -0.000345246  -6.9332e-05  6.56284e-05  4.76008e-07  5.06287e-07
0.479211  10.5502  -0.0144957  -0.0208665  0.0110983  0.0191382  -0.00728682  -0.00352679  -0.00317985  0.00231899  -0.0011132  -0.000650842  -0.000159501  0.000159457  2.76233e-07  2.64606e-06
0.5684  9.79095  -0.0172809  -0.0210627  0.0150894  0.0251485  -0.00987796  -0.00485325  -0.00510838  0.00370521  -0.00196351  -0.00110435  -0.000325524  0.000342585  -1.30441e-06  8.9245e-06
0.665344  8.57602  -0.0191057  -0.0203313  0.0196939  0.0314702  -0.0127865  -0.00631773  -0.00770189  0.00554717  -0.00319333  -0.00171919  -0.000602848  0.000666023  -6.4899e-06  2.41272e-05
0.770044  7.1248  -0.0196393  -0.0186335  0.0248203  0.0377096  -0.0159698  -0.00783574  -0.0110251  0.00787188  -0.00486413  -0.00249304  -0.00103184  0.00119457  -1.89367e-05  5.58952e-05
0.8825  5.64341  -0.0186636  -0.0159532  0.0303638  0.0434778  -0.0194022  -0.00930379  -0.0151238  0.0106836  -0.00702503  -0.00340657  -0.00165596  0.00200661  -4.44279e-05  0.000116492
1.00271  4.28298  -0.0160612  -0.012285  0.0362129  0.0484251  -0.0230746  -0.0106046  -0.0200283  0.0139634  -0.00971211  -0.00442384  -0.0025187  0.00319222  -9.21016e-05  0.000223325
1.13068  3.12833  -0.0117999  -0.00762756  0.042253  0.0522601  -0.0269884  -0.0116146  -0.0257578  0.017669  -0.0129474  -0.00549398  -0.00366031  0.00484881  -0.000175592  0.000399805
1.2664  2.20744  -0.00591965  -0.00198184  0.0483697  0.0547586  -0.0311467  -0.0122131  -0.0323245  0.021736  -0.0167385  -0.0065544  -0.00511428  0.0070745  -0.000314148  0.000675378
1.40988  1.50958  0.00147882  0.00464467  0.054454  0.0557643  -0.035545  -0.0122916  -0.0397364  0.0260798  -0.021079  -0.00753578  -0.00690467  0.00996083  -0.000533072  0.00108476
1.56111  1.00311  0.010244  0.0122328  0.0604083  0.0551837  -0.0401642  -0.0117624  -0.0479985  0.0305986  -0.0259492  -0.00836761  -0.00904488  0.0135858  -0.00086376  0.00166664
1.7201  0.649068  0.0201851  0.0207457  0.0661512  0.0529786  -0.0449682  -0.0105633  -0.0571135  0.0351781  -0.0313179  -0.00898364  -0.011538  0.0180085  -0.00134249  0.00246227
1.88684  0.409676  0.0310841  0.0301251  0.0716212  0.0491558  -0.0499027  -0.00866183  -0.0670805  0.0396956  -0.0371441  -0.00932675  -0.0143784  0.0232663  -0.00200857  0.00351394
2.06134  0.25259  0.0427079  0.0402898  0.0767778  0.043758  -0.0548988  -0.00605501  -0.0778935  0.0440256  -0.0433793  -0.0093521  -0.0175542  0.0293725  -0.00290183  0.00486312
