#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  19.8986  -5.59677e-06  -0.00072956  4.51415e-06  8.37469e-06  -1.56449e-07  -6.32305e-08  -1.3575e-08  -5.14046e-09  -2.64656e-09  -9.45384e-09  -1.10137e-08  9.09904e-09  -2.31168e-09  2.08133e-10
0.0138778  19.898  -8.35084e-06  -0.00101218  8.68514e-06  1.61479e-05  -4.16525e-07  -1.82835e-07  -1.22799e-08  2.4049e-08  2.5891e-10  7.24382e-10  3.8432e-09  3.29543e-09  -9.43854e-10  -1.1033e-08
0.0255111  19.8946  -2.04151e-05  -0.00185797  2.93487e-05  5.46101e-05  -2.58571e-06  -1.11481e-06  -5.54374e-08  4.59187e-08  4.65251e-09  -4.41979e-09  -2.24428e-09  2.42608e-10  8.59817e-09  1.26456e-08
0.0449  19.8841  -6.21942e-05  -0.00325609  9.11701e-05  0.000169657  -1.40153e-05  -5.91627e-06  -5.42703e-07  3.86481e-07  -3.91391e-08  -2.55892e-08  3.26049e-09  -1.02556e-08  5.79091e-09  -7.10228e-09
0.0720444  19.8569  -0.000194296  -0.00517347  0.000236378  0.000439624  -5.68005e-05  -2.41117e-05  -3.62723e-06  2.65916e-06  -2.49563e-07  -1.61854e-07  -1.43912e-09  6.94691e-09  -4.78507e-10  -5.19727e-09
0.106944  19.7928  -0.000545365  -0.00753581  0.000527293  0.000979733  -0.000179193  -7.66579e-05  -1.69997e-05  1.24658e-05  -1.73397e-06  -1.1504e-06  -6.46209e-08  4.4671e-08  -3.57487e-09  -6.20851e-09
0.1496  19.6507  -0.0013171  -0.0102115  0.00105022  0.00194715  -0.000461835  -0.000200076  -6.1485e-05  4.51381e-05  -8.58088e-06  -5.65035e-06  -4.03378e-07  3.17315e-07  1.00358e-09  -3.41618e-09
0.200011  19.3578  -0.0027335  -0.0130092  0.00191663  0.00353743  -0.00100918  -0.000445016  -0.000180497  0.000132509  -3.28076e-05  -2.12866e-05  -2.08749e-06  1.66588e-06  3.29155e-08  -6.04359e-09
0.258178  18.81  -0.00493104  -0.0156975  0.00325396  0.00595601  -0.00192284  -0.00086699  -0.000446402  0.000327767  -0.000100828  -6.42881e-05  -8.20485e-06  6.92836e-06  1.02106e-07  -4.30138e-08
0.3241  17.8971  -0.00784675  -0.0180383  0.00518276  0.00935991  -0.00327003  -0.00151153  -0.00095838  0.000703106  -0.000258611  -0.000161052  -2.60603e-05  2.32887e-05  2.56391e-07  4.15833e-08
0.397778  16.5497  -0.0111863  -0.019818  0.00778761  0.0137909  -0.0050672  -0.00240068  -0.0018311  0.00134046  -0.000570735  -0.000345245  -6.93375e-05  6.56301e-05  4.76747e-07  5.14659e-07
0.479211  14.7838  -0.0144957  -0.0208665  0.0110983  0.0191382  -0.00728682  -0.00352679  -0.00317985  0.00231899  -0.0011132  -0.000650849  -0.000159499  0.000159463  2.79867e-07  2.64143e-06
0.5684  12.7109  -0.0172809  -0.0210627  0.0150894  0.0251485  -0.00987796  -0.00485325  -0.00510838  0.00370521  -0.00196351  -0.00110435  -0.000325524  0.000342587  -1.30501e-06  8.92227e-06
0.665344  10.5052  -0.0191057  -0.0203313  0.0196939  0.0314702  -0.0127865  -0.00631773  -0.00770189  0.00554717  -0.00319333  -0.00171919  -0.000602848  0.000666023  -6.49003e-06  2.41274e-05
0.770044  8.35103  -0.0196393  -0.0186335  0.0248203  0.0377096  -0.0159698  -0.00783574  -0.0110251  0.00787188  -0.00486413  -0.00249304  -0.00103184  0.00119457  -1.89367e-05  5.58952e-05
0.8825  6.3966  -0.0186636  -0.0159532  0.0303638  0.0434778  -0.0194022  -0.00930379  -0.0151238  0.0106836  -0.00702503  -0.00340657  -0.00165596  0.00200661  -4.44279e-05  0.000116492
1.00271  4.73193  -0.0160612  -0.012285  0.0362129  0.0484251  -0.0230746  -0.0106046  -0.0200283  0.0139634  -0.00971211  -0.00442384  -0.0025187  0.00319222  -9.21016e-05  0.000223325
1.13068  3.38895  -0.0117999  -0.00762756  0.042253  0.0522601  -0.0269884  -0.0116146  -0.0257578  0.017669  -0.0129474  -0.00549398  -0.00366031  0.00484881  -0.000175592  0.000399805
1.2664  2.35523  -0.00591965  -0.00198184  0.0483697  0.0547586  -0.0311467  -0.0122131  -0.0323245  0.021736  -0.0167385  -0.0065544  -0.00511428  0.0070745  -0.000314148  0.000675378
1.40988  1.59163  0.00147882  0.00464467  0.054454  0.0557643  -0.035545  -0.0122916  -0.0397364  0.0260798  -0.021079  -0.00753578  -0.00690467  0.00996083  -0.000533072  0.00108476
1.56111  1.0478  0.010244  0.0122328  0.0604083  0.0551837  -0.0401642  -0.0117624  -0.0479985  0.0305986  -0.0259492  -0.00836761  -0.00904488  0.0135858  -0.00086376  0.00166664
1.7201  0.67298  0.0201851  0.0207457  0.0661512  0.0529786  -0.0449682  -0.0105633  -0.0571135  0.0351781  -0.0313179  -0.00898364  -0.011538  0.0180085  -0.00134249  0.00246227
1.88684  0.422258  0.0310841  0.0301251  0.0716212  0.0491558  -0.0499027  -0.00866183  -0.0670805  0.0396956  -0.0371441  -0.00932675  -0.0143784  0.0232663  -0.00200857  0.00351394
2.06134  0.259106  0.0427079  0.0402898  0.0767778  0.043758  -0.0548988  -0.00605501  -0.0778935  0.0440256  -0.0433793  -0.0093521  -0.0175542  0.0293725  -0.00290183  0.00486312
2.2436  0.155632  0.0548193  0.0511357  0.0816004  0.0368544  -0.0598771  -0.00276815  -0.08954  0.0480451  -0.0499686  -0.00902915  -0.0210498  0.0363176  -0.00406001  0.00654912
2.43361  0.0915755  0.0671866  0.0625385  0.0860851  0.0285322  -0.0647535  0.00114863  -0.101999  0.0516385  -0.0568528  -0.00834234  -0.0248481  0.0440701  -0.00551587  0.00860751
2.63138  0.0528206  0.0795908  0.0743572  0.0902412  0.0188907  -0.0694437  0.00562434  -0.11524  0.0547019  -0.0639696  -0.00729052  -0.0289325  0.0525794  -0.00729486  0.011069
2.8369  0.0298824  0.0918313  0.086439  0.0940869  0.00803596  -0.0738688  0.010572  -0.129223  0.0571462  -0.0712547  -0.00588623  -0.0332878  0.0617789  -0.00941312  0.013958
3.05018  0.0165891  0.103729  0.0986237  0.0976452  -0.00392329  -0.0779583  0.0158935  -0.143896  0.0588997  -0.0786432  -0.00415369  -0.0379009  0.0715896  -0.0118761  0.0172918
3.27121  0.00904069  0.115128  0.11075  0.100941  -0.016878  -0.0816537  0.0214841  -0.159198  0.0599091  -0.0860713  -0.00212716  -0.0427605  0.0819235  -0.0146781  0.0210801
3.5  0.00483842  0.125896  0.122658  0.103999  -0.0307209  -0.0849101  0.0272369  -0.175057  0.0601401  -0.093477  0.000151276  -0.0478569  0.0926879  -0.0178017  0.0253239
