#pt  dN/ptdYdptdphi  v1cos  v1sin  v2cos  v2sin  v3cos  v3sin  v4cos  v4sin  v5cos  v5sin  v6cos  v6sin  v7cos  v7sin
0.01  16.0228  -0.00018419  -0.00107652  4.34975e-05  3.68719e-05  -1.49473e-06  -4.05305e-07  -3.68349e-08  1.73393e-08  -2.95338e-09  -1.05545e-08  2.62821e-08  1.31411e-08  6.91549e-09  -1.33575e-09
0.0138778  22.1813  -0.000257755  -0.00149019  8.35301e-05  7.09234e-05  -4.02411e-06  -1.06564e-06  -1.2479e-07  7.74132e-08  -2.83995e-08  9.76731e-09  -6.57126e-09  6.57126e-09  -7.00957e-09  1.19764e-09
0.0255111  40.2816  -0.000492293  -0.00270565  0.000278268  0.000237849  -2.431e-05  -6.52019e-06  -1.31599e-06  8.54604e-07  -6.8563e-08  -5.79942e-08  -2.24506e-08  9.29935e-09  1.16764e-08  4.43565e-09
0.0449  68.403  -0.000949539  -0.00459767  0.000827326  0.000720245  -0.00012319  -3.34186e-05  -1.17045e-05  7.57869e-06  -1.14574e-06  -6.73176e-07  -3.84406e-08  4.2304e-08  1.66393e-08  -9.33609e-09
0.0720444  101.29  -0.00174  -0.00685761  0.00195363  0.0017578  -0.000437445  -0.000120847  -6.5392e-05  4.25227e-05  -9.58874e-06  -5.49438e-06  -6.37067e-07  5.8208e-07  1.62684e-08  9.3159e-09
0.106944  129.955  -0.00290067  -0.00904649  0.00373149  0.00350235  -0.00112116  -0.000315975  -0.000239583  0.000155775  -4.72018e-05  -2.53957e-05  -4.45292e-06  4.51379e-06  3.70694e-10  3.60919e-08
0.1496  145.573  -0.00429278  -0.0108293  0.00601307  0.00588838  -0.00222436  -0.000636884  -0.000625312  0.000405022  -0.000150394  -7.53679e-05  -1.81189e-05  2.04094e-05  -1.12157e-07  4.78594e-07
0.200011  145.026  -0.00574473  -0.0121241  0.00856533  0.00872048  -0.00368116  -0.00106758  -0.0012747  0.000820248  -0.000350369  -0.000163928  -4.98464e-05  6.10616e-05  -1.06276e-06  2.47166e-06
0.258178  131.593  -0.00720184  -0.0130126  0.0112457  0.0118761  -0.00540423  -0.00159275  -0.00220009  0.00140747  -0.000664561  -0.000293856  -0.000105676  0.000137108  -3.81498e-06  7.47057e-06
0.3241  111.17  -0.00867368  -0.0135799  0.0140453  0.0153667  -0.00734488  -0.00221648  -0.00341413  0.00217764  -0.00111154  -0.000471952  -0.000190877  0.000257274  -9.14854e-06  1.65392e-05
0.397778  88.9293  -0.0101217  -0.0138349  0.0170361  0.0192611  -0.0094909  -0.00295426  -0.00495442  0.00315992  -0.00172375  -0.000713501  -0.000314581  0.000433899  -1.79372e-05  3.12043e-05
0.479211  68.1661  -0.0114085  -0.0137097  0.0203073  0.0235912  -0.0118458  -0.00381876  -0.0068842  0.00439911  -0.00254877  -0.00103976  -0.000491941  0.000687119  -3.13357e-05  5.31977e-05
0.5684  50.4743  -0.012312  -0.0130929  0.0239293  0.0282947  -0.014414  -0.00480872  -0.00928311  0.00594741  -0.00364413  -0.00147279  -0.000745623  0.00104706  -5.11263e-05  8.55219e-05
0.665344  36.3009  -0.012569  -0.0118654  0.0279395  0.0332014  -0.0171965  -0.00590026  -0.0122355  0.00785565  -0.00507169  -0.00202925  -0.00110587  0.00155616  -7.97875e-05  0.000132761
0.770044  25.4508  -0.0119218  -0.00992371  0.0323402  0.0380556  -0.0201934  -0.00704154  -0.01582  0.010164  -0.00689211  -0.00271487  -0.00161012  0.00227168  -0.000121016  0.000202207
0.8825  17.4383  -0.0101527  -0.0071871  0.0371017  0.0425559  -0.0234076  -0.00815242  -0.0201018  0.0128935  -0.00915969  -0.00352014  -0.00230101  0.00326706  -0.000180491  0.00030542
1.00271  11.6966  -0.00710387  -0.00359665  0.0421664  0.0463967  -0.0268466  -0.00913007  -0.0251306  0.016041  -0.0119177  -0.0044182  -0.00322266  0.00462968  -0.00026721  0.000459598
1.13068  7.68938  -0.00268714  0.0008892  0.047455  0.0493011  -0.0305192  -0.00985887  -0.0309411  0.0195766  -0.0151949  -0.00536559  -0.00441686  0.00645527  -0.000394554  0.000688181
1.2664  4.95863  0.00311541  0.0062963  0.0528745  0.0510414  -0.0344314  -0.010222  -0.0375566  0.0234449  -0.0190042  -0.00630532  -0.0059181  0.00884039  -0.000581411  0.00102075
1.40988  3.13865  0.0102552  0.0126342  0.0583273  0.0514486  -0.0385787  -0.0101128  -0.0449919  0.0275681  -0.0233425  -0.00717217  -0.00775112  0.0118741  -0.000852661  0.00149187
1.56111  1.95092  0.0186259  0.0198939  0.0637201  0.0504128  -0.0429421  -0.00944387  -0.0532558  0.0318502  -0.0281923  -0.00789874  -0.00992953  0.0156313  -0.00123868  0.00213981
