#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.0666320150e-04	-4.2797454177e-21	-7.1329090295e-21	-3.5664545148e-21	1.2125945350e-20	5.7063272236e-21	-4.2797454177e-21	-9.0944590126e-21	1.1412654447e-20	-1.6049045316e-20	1.7832272574e-20	-2.5678472506e-20	-4.6363908692e-20
4.0000000000e-01	4.4906243870e-05	-5.7063272236e-21	-1.6940658945e-21	-2.1398727089e-21	1.9615499831e-21	2.1398727089e-21	-1.4265818059e-21	-4.0122613291e-21	4.9930363207e-21	-6.7093925559e-21	7.8461999325e-21	-1.1412654447e-20	-1.9972145283e-20
6.0000000000e-01	1.4754446330e-05	-1.2482590802e-21	-1.1145170359e-21	-6.2412954008e-22	1.9615499831e-21	4.4580681434e-22	0.0000000000e+00	-1.2482590802e-21	1.4265818059e-21	-2.4296471382e-21	2.4965181603e-21	-3.5664545148e-21	-6.5087794894e-21
8.0000000000e-01	4.3798001294e-06	-4.4580681434e-22	-8.9161362869e-23	-1.7832272574e-22	5.3496817721e-22	1.5603238502e-22	-1.1145170359e-22	-3.9008096255e-22	4.0122613291e-22	-7.0771831777e-22	8.0245226582e-22	-1.0476460137e-21	-1.9615499831e-21
1.0000000000e+00	1.2369202494e-06	-3.3435511076e-23	4.7366974024e-23	-5.5725851793e-23	6.1298436972e-23	6.1298436972e-23	-2.2290340717e-23	-9.4733948048e-23	1.0030653323e-22	-1.9364733498e-22	2.1175823681e-22	-3.0649218486e-22	-5.5725851793e-22
1.2000000000e+00	3.3935294351e-07	-8.3588777690e-24	-1.6021182391e-23	-1.1145170359e-23	3.3435511076e-23	1.2538316653e-23	-1.1145170359e-23	-2.7862925897e-23	3.3435511076e-23	-4.9804980040e-23	5.2939559203e-23	-8.3588777690e-23	-1.5324609243e-22
1.4000000000e+00	9.1456319560e-08	-3.4828657371e-24	-2.9604358765e-24	-3.4828657371e-24	8.0105911953e-24	5.5725851793e-24	0.0000000000e+00	-7.3140180478e-24	9.7520240638e-24	-1.4802179383e-23	1.5324609243e-23	-2.1593767570e-23	-4.0401242550e-23
1.6000000000e+00	2.4352477767e-08	-1.7414328685e-24	6.9657314741e-25	-6.9657314741e-25	1.2190030080e-24	1.6543612251e-24	-1.7414328685e-25	-2.0461836205e-24	2.4380060159e-24	-3.3740261828e-24	4.0052955976e-24	-5.9208717530e-24	-1.0622740498e-23
1.8000000000e+00	6.4305828999e-09	-6.5303732570e-25	3.2651866285e-25	-2.1767910857e-25	6.5303732570e-25	3.2651866285e-25	4.3535821713e-26	-6.2038545941e-25	7.4010896913e-25	-1.1210474091e-24	1.0013238994e-24	-1.5019858491e-24	-2.8298284114e-24
2.0000000000e+00	1.6877683535e-09	-9.7955598855e-26	-5.9861754856e-26	-7.6187687998e-26	1.9591119771e-25	8.1629665712e-26	-1.0883955428e-26	-1.6325933142e-25	1.5237537600e-25	-2.5441245814e-25	2.5033097485e-25	-4.1903228399e-25	-7.4010896913e-25
2.2000000000e+00	4.4092635682e-10	-2.7209888571e-26	-1.9046922000e-26	-1.6325933142e-26	5.1698788285e-26	1.3604944285e-26	2.7209888571e-27	-3.9454338428e-26	4.8977799427e-26	-7.4827193570e-26	8.1629665712e-26	-1.1292103757e-25	-1.9319020885e-25
2.4000000000e+00	1.1479147402e-10	-1.0203708214e-26	7.1425957498e-27	-3.4012360714e-27	1.2924697071e-26	3.4012360714e-27	-4.0814832856e-27	-1.1904326250e-26	1.0203708214e-26	-1.9046922000e-26	1.9046922000e-26	-2.7890135785e-26	-4.9658046642e-26
2.6000000000e+00	2.9801656277e-11	-3.2311742678e-27	-5.1018541070e-28	-1.0203708214e-27	2.2108034464e-27	1.8706798392e-27	-8.5030901784e-28	-2.0407416428e-27	3.2311742678e-27	-4.4641223437e-27	5.4419777142e-27	-7.3126575534e-27	-1.3434882482e-26
2.8000000000e+00	7.7200587985e-12	-5.9521631249e-28	2.1257725446e-29	-3.4012360714e-28	4.6766995981e-28	3.8263905803e-28	-8.5030901784e-29	-4.8892768526e-28	8.5030901784e-28	-1.0841439977e-27	1.4455253303e-27	-1.9131952901e-27	-3.2736897187e-27
3.0000000000e+00	1.9962438802e-12	-8.5030901784e-29	8.5030901784e-29	-3.1886588169e-29	2.8697929352e-28	8.5030901784e-29	0.0000000000e+00	-1.0097419587e-28	2.1257725446e-28	-3.0823701897e-28	3.6138133258e-28	-4.9955654798e-28	-8.9282446873e-28
3.2000000000e+00	5.1542976093e-13	-3.7201019530e-29	-1.4614686244e-29	-2.1257725446e-29	5.5801529296e-29	2.6572156807e-29	-2.3914941127e-29	-5.0487097934e-29	5.8458744976e-29	-7.5398494941e-29	9.5659764507e-29	-1.2887496052e-28	-2.2852054854e-28
3.4000000000e+00	1.3291865055e-13	-5.3144313615e-30	9.3002548826e-30	-7.3073431220e-30	1.3950382324e-29	5.9787352817e-30	-4.6501274413e-30	-1.1293166643e-29	1.1957470563e-29	-2.0261269566e-29	2.1257725446e-29	-3.1554436209e-29	-5.9787352817e-29
3.6000000000e+00	3.4241638847e-14	-3.3215196009e-30	1.3286078404e-30	-1.8268357805e-30	2.9893676408e-30	1.4946838204e-30	0.0000000000e+00	-3.1554436209e-30	3.9858235211e-30	-5.3974693515e-30	5.9787352817e-30	-7.8886090522e-30	-1.4946838204e-29
3.8000000000e+00	8.8132805580e-15	-6.6430392019e-31	4.5670894513e-31	-1.6607598005e-31	5.8126593016e-31	3.3215196009e-31	-4.1518995012e-31	-7.6810140772e-31	9.1341789026e-31	-1.4012660816e-30	1.4116458304e-30	-2.3873422132e-30	-3.9858235211e-30
4.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
