#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	2.1282600474e-05	-1.4265818059e-21	4.4580681434e-22	-5.3496817721e-22	1.8723886202e-21	7.1329090295e-22	-3.5664545148e-22	-1.8278079388e-21	2.4965181603e-21	-3.1986638929e-21	3.9230999662e-21	-5.6171658607e-21	-9.4511044641e-21
4.0000000000e-01	8.7766068942e-06	-5.3496817721e-22	5.5725851793e-22	-3.5664545148e-22	7.1329090295e-22	2.6748408861e-22	-2.6748408861e-22	-6.2412954008e-22	7.1329090295e-22	-1.2872671764e-21	1.6049045316e-21	-2.1844533903e-21	-3.9230999662e-21
6.0000000000e-01	3.0102872253e-06	-4.2351647363e-22	-3.3435511076e-23	-6.6871022152e-23	3.4550028112e-22	2.1175823681e-22	-1.5603238502e-22	-2.3404857753e-22	2.8977442932e-22	-4.6531086247e-22	4.6809715506e-22	-7.0214573259e-22	-1.3597107838e-21
8.0000000000e-01	1.0098898875e-06	-4.4580681434e-23	6.4084729562e-23	-5.5725851793e-23	6.1298436972e-23	4.4580681434e-23	-1.6717755538e-23	-8.0802485100e-23	8.9161362869e-23	-1.4976322669e-22	1.5603238502e-22	-2.4240745530e-22	-4.4023422917e-22
1.0000000000e+00	3.4199973514e-07	-3.9008096255e-23	-6.9657314741e-24	-1.6717755538e-23	3.6221803665e-23	1.5324609243e-23	-2.7862925897e-24	-3.2738937928e-23	3.3435511076e-23	-5.0501553187e-23	5.5725851793e-23	-8.3588777690e-23	-1.5045979984e-22
1.2000000000e+00	1.1400821542e-07	-9.0554509164e-24	1.3931462948e-24	-4.8760120319e-24	1.1841743506e-23	5.5725851793e-24	-3.4828657371e-24	-9.0554509164e-24	9.7520240638e-24	-1.6804827181e-23	1.8807474980e-23	-2.8559499044e-23	-4.9456693466e-23
1.4000000000e+00	3.6842860573e-08	-3.1345791634e-24	-8.7071643427e-25	-1.3931462948e-24	3.8311523108e-24	1.3931462948e-24	-1.7414328685e-24	-4.0052955976e-24	4.5277254582e-24	-5.9426396639e-24	6.2691583267e-24	-9.4037374901e-24	-1.6369468964e-23
1.6000000000e+00	1.1532134458e-08	-1.3931462948e-24	1.7414328685e-25	-3.4828657371e-25	1.3931462948e-24	4.3535821713e-25	0.0000000000e+00	-1.0883955428e-24	8.7071643427e-25	-1.6652451805e-24	2.0897194422e-24	-2.9169000548e-24	-4.9630836753e-24
1.8000000000e+00	3.5130649746e-09	-1.7414328685e-25	-1.9591119771e-25	-1.5237537600e-25	3.9182239542e-25	1.3060746514e-25	-1.3060746514e-25	-2.5577295257e-25	3.9182239542e-25	-5.0066194970e-25	6.3126941484e-25	-8.5983247884e-25	-1.5672895817e-24
2.0000000000e+00	1.0474027391e-09	-1.3060746514e-25	5.7140765999e-26	-3.8093843999e-26	8.7071643427e-26	3.8093843999e-26	-5.4419777142e-27	-7.3466699141e-26	8.7071643427e-26	-1.5169512878e-25	1.7414328685e-25	-2.5577295257e-25	-4.7889403885e-25
2.2000000000e+00	3.0710828817e-10	-2.1767910857e-26	1.7006180357e-26	-1.3604944285e-26	3.6733349571e-26	9.5234609998e-27	-8.1629665712e-27	-2.5169146928e-26	3.8093843999e-26	-4.8127490410e-26	5.1698788285e-26	-7.2106204713e-26	-1.3877043171e-25
2.4000000000e+00	8.8893619289e-11	-4.0814832856e-27	5.1018541070e-27	-6.1222249284e-27	9.8635846069e-27	3.4012360714e-27	-2.7209888571e-27	-6.9725339463e-27	7.4827193570e-27	-1.1819295348e-26	1.4965438714e-26	-2.2108034464e-26	-3.9454338428e-26
2.6000000000e+00	2.5474583115e-11	-1.3604944285e-27	-1.1054017232e-27	-6.8024721427e-28	2.3808652499e-27	1.1054017232e-27	0.0000000000e+00	-1.9557107410e-27	3.4012360714e-27	-3.6775865022e-27	4.4216068928e-27	-6.4623485356e-27	-1.1394140839e-26
2.8000000000e+00	7.2434975013e-12	-3.4012360714e-28	-1.2754635268e-28	-3.4012360714e-28	5.9521631249e-28	2.9760815624e-28	-2.1257725446e-28	-5.6332972432e-28	7.6527811605e-28	-1.2754635268e-27	1.2754635268e-27	-1.9557107410e-27	-3.2736897187e-27
3.0000000000e+00	2.0469618513e-12	-1.9131952901e-28	1.4348964676e-28	-6.3773176338e-29	1.5943294084e-28	6.3773176338e-29	-1.0628862723e-29	-1.1691748995e-28	2.5509270535e-28	-3.1753727385e-28	3.6138133258e-28	-5.2081427343e-28	-8.9282446873e-28
3.2000000000e+00	5.7561931134e-13	-4.7829882253e-29	6.6430392019e-30	-2.6572156807e-29	3.9858235211e-29	2.9229372488e-29	-2.1257725446e-29	-4.7829882253e-29	5.3144313615e-29	-8.4034445904e-29	9.5659764507e-29	-1.4614686244e-28	-2.5509270535e-28
3.4000000000e+00	1.6122872630e-13	-9.3002548826e-30	5.9787352817e-30	-6.6430392019e-30	1.3950382324e-29	8.6359509624e-30	0.0000000000e+00	-1.2953926444e-29	1.5943294084e-29	-2.2420257306e-29	2.6572156807e-29	-3.9193931291e-29	-7.3073431220e-29
3.6000000000e+00	4.5014690731e-14	-3.6536715610e-30	3.6536715610e-30	-1.3286078404e-30	5.3144313615e-30	2.1589877406e-30	-3.3215196009e-31	-4.3179754812e-30	4.3179754812e-30	-6.7260771919e-30	7.3073431220e-30	-1.0462786743e-29	-1.9596965645e-29
3.8000000000e+00	1.2534990658e-14	-1.9098737705e-30	8.3037990023e-32	-4.1518995012e-31	9.9645588028e-31	4.5670894513e-31	-3.3215196009e-31	-1.1417723628e-30	1.3286078404e-30	-1.7541775392e-30	2.0759497506e-30	-3.0724056309e-30	-5.5635453316e-30
4.0000000000e+00	3.4829872410e-15	-2.0759497506e-31	-7.2658241270e-32	-2.4911397007e-31	4.1518995012e-31	1.4531648254e-31	-1.0379748753e-31	-2.9063296508e-31	3.3215196009e-31	-5.2158237483e-31	5.6050643266e-31	-8.5113939774e-31	-1.5984813079e-30
