#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	4.7585508438e-05	-1.3780713874e-09	-3.4111102044e-09	6.3176366991e-09	9.7249256200e-09	1.4617536784e-09	2.3631540064e-08	2.6161098996e-09	-1.8664614867e-09	3.1146516283e-09	-6.9943676216e-11	-1.0836173798e-09	4.3035185544e-10
4.0000000000e-01	5.1072331512e-05	1.1556563232e-09	8.7914456464e-10	-1.1226180707e-08	-4.1342760418e-08	-3.9991283680e-10	-2.7322408121e-09	-9.5598338195e-10	6.0086238349e-11	2.6017263349e-10	7.9696545596e-11	9.7390005751e-10	-4.5487488291e-10
6.0000000000e-01	2.8659229129e-05	-1.8319754323e-09	3.7007886955e-09	4.6162738146e-10	3.2692849262e-09	-6.0039214857e-10	-1.2281872116e-08	7.0652113301e-10	-1.6919001664e-10	-3.8424091052e-10	-4.6767261663e-11	-6.4682690130e-11	-2.6795670022e-10
8.0000000000e-01	1.1440696444e-05	-1.3461828501e-09	2.9074777363e-09	8.3226214479e-09	3.0316062092e-08	9.3898364702e-11	2.3719174080e-09	1.8499942137e-10	-2.3634816879e-10	1.7539674579e-10	-7.8278134949e-12	-4.7924486741e-11	2.0209816835e-11
1.0000000000e+00	3.9124951760e-06	-2.9135666412e-10	1.7268986050e-09	6.4233189309e-09	2.3954926230e-08	3.2126723064e-10	7.4217091196e-09	-5.5208113272e-11	1.2856476951e-10	4.4281047852e-11	-2.4168505310e-12	-4.1198797501e-12	3.9812600850e-12
1.2000000000e+00	1.2427359727e-06	8.3834532867e-11	9.0659264010e-10	3.1663924494e-09	1.2589265334e-08	2.6125031813e-10	5.6401296910e-09	-8.2614340950e-11	2.2564618258e-10	-4.8555703361e-11	5.3593377089e-12	2.9596346800e-13	-1.4087161457e-14
1.4000000000e+00	3.8082675819e-07	1.2550801902e-10	4.3369777041e-10	1.2621853261e-09	5.5021538160e-09	1.4741669583e-10	3.0149929939e-09	-5.3856206197e-11	1.6590116633e-10	-6.1086952089e-11	7.3084325063e-12	2.8861093913e-12	-2.0858749314e-12
1.6000000000e+00	1.1478774339e-07	8.3425733745e-11	1.9375877045e-10	4.4146093233e-10	2.1734481100e-09	6.9170274151e-11	1.3551294095e-09	-2.6422932031e-11	9.1363501522e-11	-4.3062032399e-11	5.3420955419e-12	2.8646461592e-12	-2.0640670261e-12
1.8000000000e+00	3.4388457919e-08	4.3766713359e-11	8.2264417352e-11	1.4006481150e-10	8.0799656799e-10	2.9109238414e-11	5.4993177192e-10	-1.0984682445e-11	4.3267931165e-11	-2.4089550696e-11	3.0663567450e-12	1.8519059524e-12	-1.2973607069e-12
2.0000000000e+00	1.0299434880e-08	2.0380635463e-11	3.3613338711e-11	4.0617338565e-11	2.8907582268e-10	1.1402296409e-11	2.0893770618e-10	-4.0662326316e-12	1.8660223093e-11	-1.1801117356e-11	1.5465414118e-12	1.0010478450e-12	-6.9649467803e-13
