#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	2.9008219187e-01	-1.9436527644e-03	5.9691364526e-03	4.4888751958e-03	8.7834355521e-03	9.8913161094e-04	1.1425783225e-02	-1.2896465762e-04	1.6574681674e-03	1.3958365877e-06	-1.9967621386e-04	-1.0226334213e-04	6.4543100325e-05
4.0000000000e-01	3.4737975756e-02	-1.8924666200e-04	1.1478470536e-03	8.5469942466e-04	1.6944273977e-03	2.4462797261e-04	2.6876594418e-03	-4.1010295394e-05	4.9143826895e-04	7.7160908065e-07	-7.1206868577e-05	-4.7705920490e-05	3.0350564507e-05
6.0000000000e-01	7.2474197369e-03	-1.9926490961e-05	3.2635931456e-04	2.2624357510e-04	4.5532198519e-04	7.5966105923e-05	7.8645947733e-04	-1.4882471067e-05	1.6536799008e-04	-8.9315710668e-08	-2.5795884072e-05	-1.9742169709e-05	1.2579344554e-05
8.0000000000e-01	1.9486228622e-03	1.7140194471e-06	1.1073551481e-04	7.1418726351e-05	1.4593639575e-04	2.7218922590e-05	2.6268323919e-04	-6.1008943356e-06	6.1671194120e-05	-1.5737736624e-07	-9.9535825909e-06	-8.7047484717e-06	5.5082727791e-06
1.0000000000e+00	6.0564105446e-04	3.1930749905e-06	4.1379526492e-05	2.5086981622e-05	5.1971901023e-05	1.0642933358e-05	9.5205655230e-05	-2.7023635969e-06	2.4523758234e-05	-1.3348014259e-07	-3.9378820217e-06	-3.9801856572e-06	2.4957540247e-06
1.2000000000e+00	2.0669042352e-04	2.1352422237e-06	1.6416588069e-05	9.4592829019e-06	1.9827840686e-05	4.4016706061e-06	3.6476898224e-05	-1.2547425807e-06	1.0181291056e-05	-9.6054215391e-08	-1.5637687049e-06	-1.8561754553e-06	1.1493382871e-06
1.4000000000e+00	7.5299451773e-05	1.2024307066e-06	6.7836048566e-06	3.7508543608e-06	7.9366374042e-06	1.8904692056e-06	1.4555480847e-05	-5.9835662469e-07	4.3605541017e-06	-6.2427546867e-08	-6.1616827510e-07	-8.7483242281e-07	5.3355157109e-07
1.6000000000e+00	2.8788496234e-05	6.3635358603e-07	2.8873914137e-06	1.5442100773e-06	3.2909803506e-06	8.3387897124e-07	5.9927768168e-06	-2.8962700828e-07	1.9128298705e-06	-3.7772752520e-08	-2.3882106661e-07	-4.1530359647e-07	2.4879128516e-07
1.8000000000e+00	1.1423274486e-05	3.2741800957e-07	1.2572128913e-06	6.5445445784e-07	1.4020820861e-06	3.7513716488e-07	2.5297829907e-06	-1.4139370521e-07	8.5529546028e-07	-2.1752659573e-08	-9.0164867961e-08	-1.9828485342e-07	1.1637242382e-07
2.0000000000e+00	4.6689167549e-06	1.6607493274e-07	5.5740649659e-07	2.8387143428e-07	6.1032320397e-07	1.7134592438e-07	1.0900543960e-06	-6.9374595155e-08	3.8849836395e-07	-1.2091857479e-08	-3.2636862830e-08	-9.5162671761e-08	5.4586764378e-08
2.2000000000e+00	1.9550133841e-06	8.3600199015e-08	2.5084245949e-07	1.2548842545e-07	2.7038960843e-07	7.9214544434e-08	4.7784087832e-07	-3.4145231055e-08	1.7881406151e-07	-6.5611448768e-09	-1.0988593400e-08	-4.5895236728e-08	2.5679010957e-08
2.4000000000e+00	8.3533864062e-07	4.1914914247e-08	1.1431098537e-07	5.6359430534e-08	1.2157011302e-07	3.6987402165e-08	2.1256567638e-07	-1.6844138199e-08	8.3238668544e-08	-3.4996811062e-09	-3.1949839190e-09	-2.2239354325e-08	1.2116230012e-08
2.6000000000e+00	3.6311532557e-07	2.0974834253e-08	5.2659010472e-08	2.5655617463e-08	5.5354111158e-08	1.7416105324e-08	9.5768424571e-08	-8.3242657793e-09	3.9129200677e-08	-1.8444202599e-09	-5.9737150457e-10	-1.0825892653e-08	5.7346304096e-09
2.8000000000e+00	1.6020646357e-07	1.0489326178e-08	2.4489009005e-08	1.1815296734e-08	2.5482919314e-08	8.2603391270e-09	4.3630723048e-08	-4.1205024390e-09	1.8552664155e-08	-9.6418123243e-10	1.4027206011e-10	-5.2931965360e-09	2.7229244495e-09
3.0000000000e+00	7.1608616441e-08	5.2464051523e-09	1.1484784690e-08	5.4967998806e-09	1.1845863278e-08	3.9428364605e-09	2.0074885871e-08	-2.0428977023e-09	8.8636576605e-09	-5.0133392157e-10	2.6470098749e-10	-2.5989419326e-09	1.2970991502e-09
3.2000000000e+00	3.2378287587e-08	2.6258896942e-09	5.4269503548e-09	2.5802639905e-09	5.5546413676e-09	1.8927258096e-09	9.3187007197e-09	-1.0144872345e-09	4.2635742697e-09	-2.5980226377e-10	2.1956851528e-10	-1.2812039521e-09	6.1992489682e-10
3.4000000000e+00	1.4791701094e-08	1.3156752228e-09	2.5820568806e-09	1.2209101274e-09	2.6251457549e-09	9.1326070719e-10	4.3604061838e-09	-5.0462936468e-10	2.0634602739e-09	-1.3439807401e-10	1.4934313171e-10	-6.3402062963e-10	2.9724084862e-10
3.6000000000e+00	6.8205701124e-09	6.6006896587e-10	1.2362289719e-09	5.8185731140e-10	1.2495624894e-09	4.4272823278e-10	2.0552060523e-09	-2.5145227567e-10	1.0042393225e-09	-6.9484576054e-11	9.2837095468e-11	-3.1489400144e-10	1.4297587458e-10
3.8000000000e+00	3.1717285267e-09	3.3164822660e-10	5.9530941672e-10	2.7910635136e-10	5.9871019634e-10	2.1555443030e-10	9.7516370805e-10	-1.2552213517e-10	4.9124011715e-10	-3.5933675209e-11	5.4868253103e-11	-1.5693631349e-10	6.8990160851e-11
4.0000000000e+00	1.4863950343e-09	1.6690478978e-10	2.8821415628e-10	1.3467731604e-10	2.8861179526e-10	1.0537091397e-10	4.6555185865e-10	-6.2775835829e-11	2.4142996515e-10	-1.8600114098e-11	3.1415337032e-11	-7.8470167543e-11	3.3391715194e-11
