#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	3.4172249160e+00	-8.5253222044e-04	3.9633260585e-04	3.2838329900e-03	3.6980911321e-03	1.8950917508e-04	2.9525650647e-03	1.0225428364e-04	2.0894109705e-04	6.2564769364e-06	2.5637340731e-06	-8.5787041098e-06	8.1485141666e-06
4.0000000000e-01	8.1203950410e-01	-1.6452779287e-04	2.2616507805e-05	7.6487076593e-04	8.0110931520e-04	3.5864729950e-05	7.6039485732e-04	3.0100887812e-05	6.1722767031e-05	1.7418520072e-06	1.3604399361e-06	-1.6891143603e-06	1.9767313406e-06
6.0000000000e-01	3.1468849157e-01	-9.0606610439e-05	-1.3838189135e-05	3.3424070945e-04	3.1511033800e-04	6.9994666503e-06	3.0021019565e-04	1.2194214125e-05	2.2544317613e-05	7.9914415754e-07	4.4826475667e-07	-7.7458230892e-07	8.3513894159e-07
8.0000000000e-01	1.4205593099e-01	-5.3894615261e-05	-3.1880428046e-06	1.9874213077e-04	1.7196603942e-04	4.8267472515e-08	1.8249130856e-04	6.7652827224e-06	1.1628559481e-05	4.9663800080e-07	2.3229031872e-07	-3.3508888124e-07	3.3750309870e-07
1.0000000000e+00	6.8060910921e-02	-2.5454446039e-05	2.8407448450e-06	1.2130373818e-04	9.9860253195e-05	-2.2544024750e-06	1.3072357377e-04	5.4311418016e-06	8.6079669768e-06	5.4956151367e-07	2.2173739081e-07	-1.8509137543e-07	1.4200091664e-07
1.2000000000e+00	3.3601871300e-02	-8.9599230830e-06	2.7603057017e-06	7.0349289166e-05	5.6422530154e-05	-2.8335365525e-06	9.1298159616e-05	4.7080255458e-06	6.8210482524e-06	5.9842165091e-07	2.0495660934e-07	-1.6439364689e-07	7.6268770137e-08
1.4000000000e+00	1.6913677461e-02	-1.4871166924e-06	1.0256120750e-06	3.8655499621e-05	3.0668195518e-05	-2.5728144249e-06	5.9983076055e-05	3.8209390985e-06	5.0738962104e-06	5.5208530781e-07	1.5834886301e-07	-1.6688009651e-07	5.1574623675e-08
1.6000000000e+00	8.6415183225e-03	1.1044368883e-06	-3.0103412976e-07	2.0301121691e-05	1.6123343908e-05	-1.9991766890e-06	3.7370465861e-05	2.8628302171e-06	3.5013098396e-06	4.4519006740e-07	1.0398628102e-07	-1.5635920036e-07	3.6233025944e-08
1.8000000000e+00	4.4715668580e-03	1.5729305349e-06	-8.9030290583e-07	1.0262473972e-05	8.2532011302e-06	-1.4105906704e-06	2.2365174315e-05	2.0082666884e-06	2.2724072569e-06	3.2548912812e-07	5.8852466183e-08	-1.3208361222e-07	2.3587689057e-08
2.0000000000e+00	2.3403249708e-03	1.3166377372e-06	-9.7640159205e-07	5.0116563766e-06	4.1337719070e-06	-9.3147224459e-07	1.2993307704e-05	1.3387829385e-06	1.4071287142e-06	2.2139914027e-07	2.8049740103e-08	-1.0245295067e-07	1.3804290877e-08
2.2000000000e+00	1.2377702195e-03	9.2338823884e-07	-8.2904056314e-07	2.3646236864e-06	2.0324832293e-06	-5.8611914626e-07	7.3841455535e-06	8.5798501650e-07	8.4062883835e-07	1.4254278320e-07	9.9498170249e-09	-7.4377808893e-08	7.1856195071e-09
2.4000000000e+00	6.6105078645e-04	5.9085795671e-07	-6.1929784386e-07	1.0737863018e-06	9.8269755842e-07	-3.5560374557e-07	4.1276787559e-06	5.3311640464e-07	4.8848190711e-07	8.7919600484e-08	7.8592697785e-10	-5.1284562836e-08	3.2392700690e-09
2.6000000000e+00	3.5627687435e-04	3.5722436549e-07	-4.2760429505e-07	4.6474925762e-07	4.6743674288e-07	-2.0971973931e-07	2.2786195430e-06	3.2319664745e-07	2.7776498286e-07	5.2400098824e-08	-2.9891473758e-09	-3.3952786273e-08	1.1535242257e-09
2.8000000000e+00	1.9366478860e-04	2.0777389861e-07	-2.7983455426e-07	1.8772819699e-07	2.1856433108e-07	-1.2093246162e-07	1.2458883747e-06	1.9206722208e-07	1.5525187781e-07	3.0371080437e-08	-3.9255506343e-09	-2.1757774037e-08	1.9012468982e-10
3.0000000000e+00	1.0611881102e-04	1.1750118714e-07	-1.7615318416e-07	6.7346437503e-08	1.0022568270e-07	-6.8476838035e-08	6.7622579742e-07	1.1229165475e-07	8.5586111252e-08	1.7201408619e-08	-3.5922833555e-09	-1.3578215389e-08	-1.7535389219e-10
3.2000000000e+00	5.8585916395e-05	6.5050442257e-08	-1.0768221711e-07	1.8317458752e-08	4.4873472884e-08	-3.8199696886e-08	3.6496284169e-07	6.4768948849e-08	4.6657463183e-08	9.5558023122e-09	-2.8382316148e-09	-8.2906212419e-09	-2.5988124261e-10
3.4000000000e+00	3.2571962039e-05	3.5418073854e-08	-6.4342633345e-08	4.0932032382e-10	1.9461680150e-08	-2.1046638765e-08	1.9612253083e-07	3.6937996133e-08	2.5204851762e-08	5.2220210358e-09	-2.0634233483e-09	-4.9708706565e-09	-2.3308043976e-10
3.6000000000e+00	1.8228243200e-05	1.9027884551e-08	-3.7756750244e-08	-4.7293243474e-09	8.0587127171e-09	-1.1475210892e-08	1.0504765104e-07	2.0866301398e-08	1.3514874783e-08	2.8136348093e-09	-1.4201552760e-09	-2.9352333167e-09	-1.7576594051e-10
3.8000000000e+00	1.0263747810e-05	1.0110908316e-08	-2.1834604342e-08	-5.1293037830e-09	3.0940726688e-09	-6.2009718729e-09	5.6130164020e-08	1.1692605029e-08	7.2024771978e-09	1.4974606753e-09	-9.3972900311e-10	-1.7109198362e-09	-1.2081581928e-10
4.0000000000e+00	5.8122918240e-06	5.3235669782e-09	-1.2476967207e-08	-4.1081469402e-09	1.0245238879e-09	-3.3251717416e-09	2.9940653027e-08	6.5071953632e-09	3.8191892944e-09	7.8835685836e-10	-6.0355085785e-10	-9.8633341956e-10	-7.8275650353e-11
