#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	3.2147599097e+00	-5.5117616703e-04	-5.0196693253e-04	1.9528518795e-03	1.4539751314e-03	-8.4134800912e-05	1.7206914930e-03	8.9260376539e-05	1.0204942797e-04	1.2700739497e-05	1.3141726611e-06	-7.9858658241e-06	3.3762992620e-06
4.0000000000e-01	7.8860006960e-01	-1.4773081876e-04	-1.4783957003e-04	5.3275419458e-04	3.9827970584e-04	-2.6222848100e-05	4.8243620646e-04	2.6521837253e-05	3.1369396522e-05	4.0704954437e-06	9.0272890924e-07	-1.1840140765e-06	-5.7415846323e-08
6.0000000000e-01	3.0916561093e-01	-8.8673473257e-05	-6.3050085852e-05	2.7263177009e-04	2.0515513947e-04	-1.0799087958e-05	2.2145881075e-04	1.1055824292e-05	1.2777483918e-05	1.6631586672e-06	2.7764091753e-07	-5.5882754198e-07	-2.5691953021e-08
8.0000000000e-01	1.4027920153e-01	-5.3010903968e-05	-2.1294645682e-05	1.7481142939e-04	1.2948341647e-04	-6.7159457592e-06	1.5274981813e-04	6.3569783165e-06	8.0603576777e-06	8.2317074157e-07	1.6218730990e-07	-2.4306217720e-07	-1.7222979367e-08
1.0000000000e+00	6.7402775302e-02	-2.5523641999e-05	-5.7081467035e-06	1.0987248967e-04	7.9776310781e-05	-5.6533898426e-06	1.1567047680e-04	5.2327517297e-06	6.8810246550e-06	6.9527699116e-07	1.9040987081e-07	-1.4685724891e-07	-3.5334735686e-09
1.2000000000e+00	3.3340701615e-02	-9.5034023363e-06	-1.9291232144e-06	6.4644950641e-05	4.6275694649e-05	-4.7533276896e-06	8.2767883170e-05	4.5862748472e-06	5.7741537040e-06	6.8282370801e-07	1.8785992638e-07	-1.4456319304e-07	-2.5734121814e-10
1.4000000000e+00	1.6806034010e-02	-2.0693103581e-06	-1.6463620237e-06	3.5855083691e-05	2.5506749025e-05	-3.6623198482e-06	5.5178044271e-05	3.7435347987e-06	4.4058718442e-06	6.0807595578e-07	1.4688115817e-07	-1.5300197787e-07	-2.6869664301e-09
1.6000000000e+00	8.5960898743e-03	6.5745919542e-07	-1.8038747807e-06	1.8963584443e-05	1.3524518638e-05	-2.5999674355e-06	3.4763108849e-05	2.8160179822e-06	3.0885921248e-06	4.8256035800e-07	9.5552858998e-08	-1.4553432539e-07	-5.6008690610e-09
1.8000000000e+00	4.4520750150e-03	1.2785303990e-06	-1.7143103150e-06	9.6395216462e-06	6.9608146458e-06	-1.7318060725e-06	2.1001168312e-05	1.9816654763e-06	2.0293458811e-06	3.4945178787e-07	5.2679851904e-08	-1.2391704725e-07	-7.1647586782e-09
2.0000000000e+00	2.3318551359e-03	1.1389772080e-06	-1.4173575274e-06	4.7274728761e-06	3.4978155289e-06	-1.0989168942e-06	1.2300071305e-05	1.3244679709e-06	1.2699316334e-06	2.3608790507e-07	2.3719455175e-08	-9.6694043942e-08	-7.2150937245e-09
