#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	5.5098835762e-02	1.4534875704e-04	-1.0215736382e-04	-4.8254818633e-05	-6.8554454698e-05	-3.8575295954e-05	2.2419275662e-04	7.8898118506e-07	7.7413463394e-06	1.7122499155e-06	-2.0742479766e-06	2.7589165102e-06	4.6439539214e-07
4.0000000000e-01	4.2512207144e-02	-3.1165772655e-05	5.2283037821e-05	-1.7247777375e-04	-1.7709747804e-04	7.7416632778e-05	-4.5360835612e-04	-3.4547117966e-06	2.0891764766e-06	-4.3146425656e-06	1.2235553198e-05	-1.7999383927e-05	-4.3342951966e-06
6.0000000000e-01	2.4161435260e-02	-1.8520163104e-04	1.0922898667e-04	5.1797814818e-05	5.8941039815e-05	6.0938592689e-05	-3.5909149213e-04	7.1230302777e-06	-6.4132168071e-05	4.2475688292e-06	-5.7722421811e-06	-5.9275028863e-06	-1.5857793417e-06
8.0000000000e-01	1.2861267469e-02	-1.4386378534e-04	9.2519329385e-05	1.4428583101e-04	1.5655592436e-04	-1.2894939268e-05	8.2827760274e-05	4.4446584217e-06	-3.2645382356e-05	5.4508103487e-06	-1.5090642720e-05	2.7226106268e-05	7.0803682376e-06
1.0000000000e+00	6.6906497779e-03	-7.4193734810e-05	5.9601223418e-05	1.4163917608e-04	1.5147608470e-04	-4.7841628580e-05	2.8462000802e-04	-1.2097736908e-06	9.8323220536e-06	1.8565067101e-06	-4.2054669657e-06	2.3886054037e-05	6.2925783025e-06
1.2000000000e+00	3.4402064915e-03	-2.8223271358e-05	3.0719243116e-05	1.0609645515e-04	1.1361284848e-04	-5.0221391679e-05	2.9353501129e-04	-3.4944715179e-06	2.8677834424e-05	-1.1182427484e-06	4.5085481698e-06	6.5660453832e-06	1.8150454711e-06
1.4000000000e+00	1.7588725083e-03	-5.5510596764e-06	1.2563378104e-05	6.9136997466e-05	7.5611218269e-05	-3.9552778014e-05	2.2951995118e-04	-3.2416502326e-06	3.0021247160e-05	-2.4015227230e-06	6.5741827610e-06	-6.1766330162e-06	-1.5153431844e-06
1.6000000000e+00	8.9773785266e-04	3.2814106608e-06	3.4573669592e-06	4.1285670381e-05	4.7053419839e-05	-2.7183904027e-05	1.5783326417e-04	-2.2099029505e-06	2.4292777403e-05	-2.5054738674e-06	5.2111544747e-06	-1.1243486951e-05	-2.8783859394e-06
1.8000000000e+00	4.5865226203e-04	5.4742696365e-06	-2.3315784668e-07	2.3213848444e-05	2.8114400560e-05	-1.7274954134e-05	1.0094689459e-04	-1.2764111081e-06	1.7410920408e-05	-2.0791024694e-06	3.1898214077e-06	-1.1304507566e-05	-2.9440337247e-06
2.0000000000e+00	2.3495496632e-04	5.0370651632e-06	-1.2970818999e-06	1.2484630528e-05	1.6375711170e-05	-1.0453599428e-05	6.1724211359e-05	-6.5674028475e-07	1.1641535747e-05	-1.5339489924e-06	1.6200715691e-06	-9.2366812560e-06	-2.4455105173e-06
2.2000000000e+00	1.2081691773e-04	3.8592742617e-06	-1.3111170647e-06	6.4818789563e-06	9.3851509070e-06	-6.1284325582e-06	3.6647420521e-05	-3.0689099501e-07	7.4495617159e-06	-1.0535236208e-06	6.6779505397e-07	-6.7620731933e-06	-1.8253524486e-06
2.4000000000e+00	6.2403021163e-05	2.6988257268e-06	-1.0142832011e-06	3.2656368485e-06	5.3243424824e-06	-3.5192388168e-06	2.1331229149e-05	-1.3036019895e-07	4.6276615131e-06	-6.9088616836e-07	1.7955762939e-07	-4.6254479162e-06	-1.2776326441e-06
2.6000000000e+00	3.2388416220e-05	1.7869748120e-06	-6.9808372342e-07	1.5997852153e-06	3.0019735262e-06	-1.9943453022e-06	1.2248468903e-05	-4.9505740644e-08	2.8150733678e-06	-4.3928445624e-07	-3.0877562359e-08	-3.0230380771e-06	-8.5765365636e-07
2.8000000000e+00	1.6895426081e-05	1.1413989160e-06	-4.5004878707e-07	7.6142201016e-07	1.6867145841e-06	-1.1211840770e-06	6.9675375076e-06	-1.6053632797e-08	1.6864514245e-06	-2.7358450012e-07	-9.8404456251e-08	-1.9133347146e-06	-5.5951845770e-07
3.0000000000e+00	8.8588861301e-06	7.1102053888e-07	-2.7845653758e-07	3.5062974470e-07	9.4623655547e-07	-6.2763434802e-07	3.9381785332e-06	-3.9330942464e-09	9.9887835391e-07	-1.6808802751e-07	-1.0256713643e-07	-1.1830083405e-06	-3.5768233661e-07
