#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	5.3674474098e+00	-3.0746309817e-02	2.7882109458e-02	7.7925435282e-02	8.7835879639e-02	-3.0945646497e-02	1.8659128213e-01	-1.3306613065e-03	1.9809342075e-02	-1.7847550646e-03	2.3386253441e-03	-6.2467685511e-03	-1.6431451748e-03
4.0000000000e-01	6.2160681080e-01	-2.4068763680e-03	3.3683167292e-03	1.4326904966e-02	1.6559096009e-02	-7.3275730635e-03	4.4227094809e-02	-3.7789004267e-04	5.9389332342e-03	-6.6904575930e-04	8.5027976436e-04	-2.8106935503e-03	-7.3610041038e-04
6.0000000000e-01	1.3638932267e-01	-1.9901429843e-04	6.4957106980e-04	3.7654652639e-03	4.4775927185e-03	-2.1598278714e-03	1.3013967304e-02	-1.1386297130e-04	1.9594569649e-03	-2.4812754403e-04	2.8697982247e-04	-1.1808962168e-03	-3.1140527709e-04
8.0000000000e-01	4.1380296429e-02	1.3457279057e-05	1.7136667388e-04	1.2697518549e-03	1.5499372351e-03	-7.7689613758e-04	4.6749022326e-03	-3.8253747863e-05	7.3435106866e-04	-9.7351102032e-05	8.9542491409e-05	-4.9472812408e-04	-1.3215838443e-04
1.0000000000e+00	1.5193999873e-02	3.2244529209e-05	5.7214530955e-05	5.1772162739e-04	6.4183627120e-04	-3.3390401539e-04	2.0042273447e-03	-1.6834885236e-05	3.2126866970e-04	-4.2220522658e-05	3.2427078523e-05	-2.1723556258e-04	-5.9010297283e-05
1.2000000000e+00	6.2599626699e-03	3.0060758189e-05	1.9133118179e-05	2.3963189157e-04	2.9958004316e-04	-1.6362845030e-04	9.7695716451e-04	-9.2582254219e-06	1.6130561803e-04	-2.0742652649e-05	1.6478431055e-05	-1.0758744967e-04	-2.9655296310e-05
1.4000000000e+00	2.7680880444e-03	2.4534531154e-05	3.9996900624e-06	1.1843697178e-04	1.5010411140e-04	-8.6423002391e-05	5.1326734701e-04	-5.3599567644e-06	8.8543606746e-05	-1.1395275498e-05	9.8961608328e-06	-6.1119848116e-05	-1.6972313540e-05
1.6000000000e+00	1.2804455361e-03	1.8509584744e-05	-1.5878222188e-06	5.9945980525e-05	7.8179953844e-05	-4.7189146059e-05	2.7968562865e-04	-2.9801844766e-06	5.0841705812e-05	-6.7251480237e-06	5.7314000116e-06	-3.8010189957e-05	-1.0578283943e-05
1.8000000000e+00	6.1054386985e-04	1.3140790473e-05	-2.9684311013e-06	3.0380641563e-05	4.1569576873e-05	-2.6041588961e-05	1.5471176262e-04	-1.5521873553e-06	2.9726897989e-05	-4.0990711268e-06	2.9516259985e-06	-2.4469944339e-05	-6.8246552952e-06
2.0000000000e+00	2.9751072023e-04	8.8987221938e-06	-2.7240983547e-06	1.5252975944e-05	2.2357326147e-05	-1.4382519781e-05	8.5984547609e-05	-7.5459769289e-07	1.7461822911e-05	-2.5173133833e-06	1.2794457865e-06	-1.5765240465e-05	-4.4217708501e-06
2.2000000000e+00	1.4738532296e-04	5.8104645719e-06	-2.0411034396e-06	7.5480975993e-06	1.2108349301e-05	-7.9243743933e-06	4.7804298585e-05	-3.4199163221e-07	1.0243187719e-05	-1.5398233375e-06	3.9712855231e-07	-1.0022910821e-05	-2.8411490358e-06
2.4000000000e+00	7.3985402262e-05	3.6889841948e-06	-1.3840413277e-06	3.6707624217e-06	6.5897615797e-06	-4.3549620549e-06	2.6546888895e-05	-1.4373860942e-07	5.9865491401e-06	-9.3476782473e-07	-2.1565210281e-09	-6.2647953639e-06	-1.8042553246e-06
2.6000000000e+00	3.7552523840e-05	2.2918793240e-06	-8.8450481002e-07	1.7493648940e-06	3.6006323887e-06	-2.3896615941e-06	1.4722044891e-05	-5.5357180687e-08	3.4837361636e-06	-5.6322686031e-07	-1.4362762508e-07	-3.8522106111e-06	-1.1328405554e-06
2.8000000000e+00	1.9243564877e-05	1.4001821012e-06	-5.4388404184e-07	8.1369744789e-07	1.9744901220e-06	-1.3110354509e-06	8.1557640232e-06	-1.9155106505e-08	2.0188505580e-06	-3.3736438065e-07	-1.6532441922e-07	-2.3351188710e-06	-7.0435400280e-07
