#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	5.2849375327e+00	-3.0617968209e-02	2.7737134658e-02	7.7274476433e-02	8.7213248121e-02	-3.0706432271e-02	1.8517980498e-01	-1.3534738548e-03	1.9667181707e-02	-1.7441181423e-03	2.2734053756e-03	-6.2096505000e-03	-1.6305143546e-03
4.0000000000e-01	5.7635590880e-01	-2.3559722524e-03	3.2889557404e-03	1.4378569518e-02	1.6621687867e-02	-7.3668602692e-03	4.4410868858e-02	-3.9789100914e-04	5.8944951295e-03	-6.5122409139e-04	8.1670784018e-04	-2.7638952087e-03	-7.2770507167e-04
6.0000000000e-01	1.1171817809e-01	-1.2090952926e-05	5.3572760156e-04	3.6837871174e-03	4.3900955905e-03	-2.2094316026e-03	1.3295634038e-02	-1.2939747939e-04	2.0098303591e-03	-2.4731507823e-04	2.8529637046e-04	-1.1635042191e-03	-3.0829402238e-04
8.0000000000e-01	2.8391036304e-02	1.5690545525e-04	7.8179456291e-05	1.1166676151e-03	1.3848966020e-03	-7.5983802048e-04	4.5660312121e-03	-4.6163612538e-05	7.6180356459e-04	-1.0084553192e-04	1.0190689793e-04	-5.1703433894e-04	-1.3854634340e-04
1.0000000000e+00	8.4645403972e-03	1.0600097576e-04	-2.2834238146e-06	3.7321296786e-04	4.8749639122e-04	-2.8438447529e-04	1.7098189669e-03	-1.7153990959e-05	3.0928751627e-04	-4.3292558353e-05	3.5630653107e-05	-2.3889153270e-04	-6.4976037101e-05
1.2000000000e+00	2.8063799376e-03	5.8012951139e-05	-1.1408597035e-05	1.3253868218e-04	1.8490914901e-04	-1.1268236155e-04	6.7944479488e-04	-6.4734576755e-06	1.3168843244e-04	-1.9302186856e-05	1.1604391012e-05	-1.1311916262e-04	-3.1313598277e-05
1.4000000000e+00	1.0041559607e-03	2.9931172848e-05	-8.4289999017e-06	4.8943870315e-05	7.4076261475e-05	-4.6538941087e-05	2.8202937688e-04	-2.4551116083e-06	5.8088252370e-05	-8.8610576205e-06	3.1949345634e-06	-5.4446750237e-05	-1.5373619518e-05
1.6000000000e+00	3.8065761543e-04	1.5143248267e-05	-4.9602435421e-06	1.8531796261e-05	3.0953420719e-05	-1.9849121762e-05	1.2107558369e-04	-9.3223478280e-07	2.6340289884e-05	-4.1648939281e-06	4.7923611115e-07	-2.6521838716e-05	-7.6546832664e-06
1.8000000000e+00	1.5101752622e-04	7.6201961453e-06	-2.6854190206e-06	7.1211577063e-06	1.3379589428e-05	-8.6911909425e-06	5.3401713667e-05	-3.5537151207e-07	1.2213366577e-05	-1.9968470397e-06	-2.4845033526e-07	-1.3042710378e-05	-3.8559551738e-06
2.0000000000e+00	6.2168069056e-05	3.8363841187e-06	-1.3985648962e-06	2.7533253121e-06	5.9476132928e-06	-3.8917579517e-06	2.4085936393e-05	-1.3730879007e-07	5.7684656704e-06	-9.7401216875e-07	-3.4104846060e-07	-6.4659468512e-06	-1.9623040415e-06
2.2000000000e+00	2.6391006773e-05	1.9374551164e-06	-7.1416041231e-07	1.0620352038e-06	2.7073745249e-06	-1.7774003343e-06	1.1071349240e-05	-5.4832863305e-08	2.7671544993e-06	-4.8247905615e-07	-2.6866854407e-07	-3.2284358116e-06	-1.0078957333e-06
2.4000000000e+00	1.1499149460e-05	9.8269473324e-07	-3.6100691594e-07	4.0457799538e-07	1.2578950153e-06	-8.2634473632e-07	5.1730509224e-06	-2.3311407283e-08	1.3451865812e-06	-2.4238826836e-07	-1.7965021223e-07	-1.6224409639e-06	-5.2210175625e-07
2.6000000000e+00	5.1242696019e-06	5.0085869781e-07	-1.8161697377e-07	1.5004301484e-07	5.9500972308e-07	-3.9051545022e-07	2.4520661549e-06	-1.0884550628e-08	6.6152306722e-07	-1.2336898430e-07	-1.1118148001e-07	-8.2027329019e-07	-2.7258517278e-07
2.8000000000e+00	2.3287292497e-06	2.5657137269e-07	-9.1216448710e-08	5.2861741950e-08	2.8595762259e-07	-1.8737327821e-07	1.1772365729e-06	-5.6649191850e-09	3.2863673609e-07	-6.3558616563e-08	-6.5864583658e-08	-4.1706372985e-07	-1.4334881626e-07
