#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	3.7671402398e+00	-2.5858265018e-02	2.1641520482e-02	5.2218107708e-02	5.8566726460e-02	-2.2394313152e-02	1.2480244186e-01	-1.3326378003e-03	1.2842190710e-02	-6.7264335191e-04	4.8937988646e-04	-3.5733580584e-03	-1.1425941883e-03
4.0000000000e-01	4.0638587644e-01	-2.1667040947e-03	2.3536376863e-03	9.5679076509e-03	1.1044462263e-02	-5.2954894691e-03	2.9635423599e-02	-3.8132876673e-04	3.8060502349e-03	-2.4799894182e-04	1.5578053090e-04	-1.5608456117e-03	-4.7900697607e-04
6.0000000000e-01	7.8153188247e-02	-1.0373771913e-04	3.3629240604e-04	2.4247421769e-03	2.9016015748e-03	-1.5781393682e-03	8.8570627821e-03	-1.2327887051e-04	1.2971529416e-03	-9.5159094344e-05	4.9315237696e-05	-6.5452445847e-04	-2.0146011314e-04
8.0000000000e-01	1.9717538720e-02	8.7187571701e-05	3.4065218182e-05	7.2710766354e-04	9.1099544381e-04	-5.3926630357e-04	3.0383515759e-03	-4.3553934616e-05	4.9297460291e-04	-3.9686518464e-05	1.4761888586e-05	-2.9289234715e-04	-9.0602695120e-05
1.0000000000e+00	5.8352517433e-03	6.7332062856e-05	-9.9065630396e-06	2.4031636622e-04	3.1910658867e-04	-2.0032180987e-04	1.1347566186e-03	-1.5995830788e-05	2.0044395610e-04	-1.7530607928e-05	3.1435337339e-06	-1.3674080150e-04	-4.2586636162e-05
1.2000000000e+00	1.9195624694e-03	3.7956908505e-05	-1.1052167524e-05	8.4364562900e-05	1.2041673701e-04	-7.8718272182e-05	4.4898693350e-04	-5.9649674081e-06	8.5286036617e-05	-8.0600747076e-06	-3.8797736889e-07	-6.5386793775e-05	-2.0534443033e-05
1.4000000000e+00	6.8113926935e-04	1.9716908905e-05	-6.9754454371e-06	3.0779718931e-05	4.7977079761e-05	-3.2228596181e-05	1.8530705361e-04	-2.2361203232e-06	3.7512111387e-05	-3.8159616773e-06	-1.1100814899e-06	-3.1717764589e-05	-1.0061898318e-05
1.6000000000e+00	2.5593439179e-04	9.9595539636e-06	-3.8277145623e-06	1.1504378185e-05	1.9930519386e-05	-1.3622184512e-05	7.9011582451e-05	-8.3918169712e-07	1.6930288510e-05	-1.8469280247e-06	-9.8158454758e-07	-1.5534276822e-05	-4.9881878308e-06
1.8000000000e+00	1.0059475134e-04	4.9844214726e-06	-1.9857580547e-06	4.3584681489e-06	8.5604805027e-06	-5.9094995549e-06	3.4581715065e-05	-3.1529149993e-07	7.8022005557e-06	-9.0953262535e-07	-6.8894277266e-07	-7.6638181967e-06	-2.4968348034e-06
2.0000000000e+00	4.1009243701e-05	2.4906628010e-06	-1.0033095766e-06	1.6584283234e-06	3.7793256278e-06	-2.6209075053e-06	1.5467140386e-05	-1.1909915916e-07	3.6584638625e-06	-4.5431581274e-07	-4.3678813285e-07	-3.8040275185e-06	-1.2605835454e-06
