#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	4.1724468942e-02	1.1474330339e-04	-8.2717251428e-05	-2.1870257732e-05	-3.9136181526e-05	-2.9846044686e-05	1.6312254132e-04	5.8923477331e-07	3.3655087387e-06	8.6750142340e-07	-4.5794068168e-09	1.0658988244e-06	-4.6690134634e-08
4.0000000000e-01	3.2967396630e-02	-1.9051204397e-05	2.9803499603e-05	-1.4212523880e-04	-1.4117760305e-04	5.9248834966e-05	-3.2461584611e-04	-3.5367545847e-06	5.1199855110e-06	-1.5183335939e-06	3.8154316224e-06	-1.0568166176e-05	-2.6524793182e-06
6.0000000000e-01	1.8784118759e-02	-1.6123353007e-04	1.0808887931e-04	3.3853990610e-05	3.8830052910e-05	5.3759612929e-05	-2.8835940614e-04	7.6499195018e-06	-4.7198874572e-05	1.6968533591e-06	-9.1257265233e-07	-5.4294374434e-06	-1.6467186201e-06
8.0000000000e-01	9.9248347914e-03	-1.2449665776e-04	8.6308279117e-05	1.1199211207e-04	1.1805256919e-04	-9.8954489066e-06	5.5969140220e-05	4.6220909113e-06	-2.5447261631e-05	1.9007647626e-06	-5.4460108911e-06	1.7258762588e-05	5.3032928182e-06
1.0000000000e+00	5.1048609827e-03	-6.2213443011e-05	4.8907365402e-05	1.0823410187e-04	1.1363334651e-04	-3.9716833487e-05	2.1555064351e-04	-1.3876520755e-06	6.6544453102e-06	7.3371701854e-07	-1.6013126172e-06	1.6024440529e-05	4.9607373307e-06
1.2000000000e+00	2.5901042098e-03	-2.2546887243e-05	2.1985247096e-05	7.8593559959e-05	8.3757463497e-05	-4.0825573285e-05	2.2150397654e-04	-3.6650058989e-06	2.1044297427e-05	-2.8528613312e-07	1.7063051676e-06	4.6765018499e-06	1.4423785056e-06
1.4000000000e+00	1.3050970199e-03	-3.8947849754e-06	7.4899637027e-06	4.9587572944e-05	5.4715862746e-05	-3.1301778818e-05	1.7083455443e-04	-3.3241616110e-06	2.2029942072e-05	-8.1149808812e-07	2.3561939698e-06	-3.8635979960e-06	-1.1807862142e-06
1.6000000000e+00	6.5591865667e-04	2.9114136236e-06	1.1614397762e-06	2.8709875743e-05	3.3456788358e-05	-2.0952623328e-05	1.1549270092e-04	-2.2517484805e-06	1.7645308248e-05	-9.3446625052e-07	1.6806276940e-06	-7.2610949018e-06	-2.2145518470e-06
1.8000000000e+00	3.2975718038e-04	4.3565727399e-06	-9.8353236995e-07	1.5674372881e-05	1.9665183360e-05	-1.2991292143e-05	7.2522565873e-05	-1.3134831098e-06	1.2461080323e-05	-8.3352833021e-07	8.3840883009e-07	-7.2961437011e-06	-2.2238314430e-06
2.0000000000e+00	1.6614747536e-04	3.8349649209e-06	-1.3558228597e-06	8.1927717153e-06	1.1276473948e-05	-7.6836069916e-06	4.3513697787e-05	-6.9759848867e-07	8.1902545584e-06	-6.5007407998e-07	2.5627526291e-07	-5.9204061888e-06	-1.8106495780e-06
2.2000000000e+00	8.3999172422e-05	2.8423820752e-06	-1.1324510221e-06	4.1354548786e-06	6.3652445552e-06	-4.4091010309e-06	2.5346769648e-05	-3.4764688564e-07	5.1445577659e-06	-4.6694579622e-07	-4.2577216137e-08	-4.2928361760e-06	-1.3231787201e-06
2.4000000000e+00	4.2644824840e-05	1.9318865754e-06	-7.9972501287e-07	2.0250079131e-06	3.5572986926e-06	-2.4810881582e-06	1.4474171046e-05	-1.6537569870e-07	3.1347370093e-06	-3.1747482176e-07	-1.5282670620e-07	-2.9038483682e-06	-9.0617826054e-07
2.6000000000e+00	2.1750268387e-05	1.2465396891e-06	-5.1853868249e-07	9.6316907656e-07	1.9758284191e-06	-1.3788397840e-06	8.1542720155e-06	-7.6295955118e-08	1.8698384769e-06	-2.0792314990e-07	-1.6549614920e-07	-1.8749764029e-06	-5.9492277829e-07
2.8000000000e+00	1.1147491918e-05	7.7727761178e-07	-3.1945725033e-07	4.4417396122e-07	1.0935449766e-06	-7.6050835759e-07	4.5514427399e-06	-3.4740456337e-08	1.0983107588e-06	-1.3264846962e-07	-1.3905182183e-07	-1.1715306022e-06	-3.7947143382e-07
3.0000000000e+00	5.7418540926e-06	4.7327231657e-07	-1.9034781588e-07	1.9743032651e-07	6.0418558291e-07	-4.1776587039e-07	2.5245159703e-06	-1.6028332802e-08	6.3785795002e-07	-8.3082315636e-08	-1.0366305704e-07	-7.1469376151e-07	-2.3715673617e-07
3.2000000000e+00	2.9723231325e-06	2.8326149197e-07	-1.1084340379e-07	8.3530710409e-08	3.3366378728e-07	-2.2913553188e-07	1.3944119651e-06	-7.7578185834e-09	3.6731867043e-07	-5.1365750254e-08	-7.1992527957e-08	-4.2828022814e-07	-1.4602819205e-07
3.4000000000e+00	1.5462749116e-06	1.6739863296e-07	-6.3495945085e-08	3.2760030629e-08	1.8435506702e-07	-1.2571141183e-07	7.6816044817e-07	-4.0875907901e-09	2.1017742054e-07	-3.1470537240e-08	-4.7703198144e-08	-2.5318978016e-07	-8.8926502207e-08
