#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	3.1669537650e-03	1.6935830649e-06	-3.2470699409e-06	6.9079422245e-07	3.0047005271e-07	5.0636326628e-07	2.3284207527e-06	4.3606286025e-09	-6.1417957231e-08	-1.1750246697e-07	2.0745814276e-07	1.8301108407e-08	-5.1956891534e-08
4.0000000000e-01	2.9948126745e-03	1.5399830584e-06	4.4072197811e-06	-7.5979263155e-06	-1.1509364112e-05	-7.9130997348e-07	-3.3331619556e-06	2.9849114414e-08	3.1568615152e-07	-4.2960884060e-08	-3.5186107406e-08	-6.5875869668e-09	-7.8888494848e-09
6.0000000000e-01	1.7935683130e-03	-4.1330632265e-06	1.8304541694e-06	-3.2926269540e-07	-7.9277239854e-08	-1.4453131712e-06	-6.9506658094e-06	-7.8910737603e-08	-6.2848995281e-07	-3.4150952322e-08	-5.6352495163e-09	1.1655989590e-09	3.4181504816e-08
8.0000000000e-01	8.9517751405e-04	-3.6282058628e-06	1.6658634318e-06	5.2025664588e-06	7.9742611479e-06	-4.1927406014e-08	-2.4314136604e-07	-6.3998498858e-08	-5.3914776880e-07	4.4427881735e-08	-7.6643698435e-09	1.2121421089e-08	-2.8509318008e-08
1.0000000000e+00	4.1626954446e-04	-1.5397809492e-06	2.2828439648e-06	5.3253556911e-06	8.2575107665e-06	8.2012801395e-07	3.8744152659e-06	2.4870568440e-09	7.3931621424e-09	2.4042291156e-08	-5.9385992415e-09	1.1765532399e-08	-4.5406750304e-08
1.2000000000e+00	1.8803677737e-04	-2.6761797051e-07	2.1854373172e-06	3.6303758274e-06	5.8666226874e-06	9.0811698770e-07	4.2291981762e-06	3.9210003074e-08	3.0976464185e-07	-5.3599683662e-09	-1.3900778058e-09	5.5873420207e-09	-1.9912356508e-08
1.4000000000e+00	8.3964128270e-05	1.9729659474e-07	1.6446219803e-06	2.0791836684e-06	3.5535188745e-06	6.8412651797e-07	3.1207920567e-06	4.2537305172e-08	3.4905553679e-07	-1.8656116158e-08	2.3911490868e-09	-7.5793478553e-10	5.2946575186e-09
1.6000000000e+00	3.7361721782e-05	2.6964826398e-07	1.0743938484e-06	1.0834087208e-06	1.9780403862e-06	4.3601557189e-07	1.9403847237e-06	3.2124844844e-08	2.7428290123e-07	-1.9630846739e-08	4.0091795250e-09	-4.1634104004e-09	1.7234388573e-08
1.8000000000e+00	1.6633649949e-05	2.1402698376e-07	6.4329355154e-07	5.3291438345e-07	1.0475953894e-06	2.5354325978e-07	1.0976943320e-06	2.0440591956e-08	1.8293841412e-07	-1.5520014549e-08	4.0278898316e-09	-4.8184583198e-09	1.8555900355e-08
2.0000000000e+00	7.4248042407e-06	1.4156187232e-07	3.6405870494e-07	2.5232461461e-07	5.3776930339e-07	1.3941682300e-07	5.8617940844e-07	1.1745424610e-08	1.1108542459e-07	-1.0668909534e-08	3.3001304984e-09	-4.1023909853e-09	1.5052334721e-08
2.2000000000e+00	3.3265827813e-06	8.5308319315e-08	1.9837948598e-07	1.1628006787e-07	2.7049627974e-07	7.3941546084e-08	3.0158998344e-07	6.3010728556e-09	6.3549014186e-08	-6.7467892440e-09	2.4083455560e-09	-3.0074525050e-09	1.0579447325e-08
2.4000000000e+00	1.4968158450e-06	4.8613396002e-08	1.0531437392e-07	5.2495863384e-08	1.3422646252e-07	3.8273975288e-08	1.5136291191e-07	3.2175740243e-09	3.4925289454e-08	-4.0393653482e-09	1.6237613482e-09	-2.0095920163e-09	6.8115049232e-09
2.6000000000e+00	6.7654600114e-07	2.6705488026e-08	5.4890840834e-08	2.3303853722e-08	6.5997612244e-08	1.9482772388e-08	7.4693680990e-08	1.5803716502e-09	1.8662075223e-08	-2.3288739335e-09	1.0359018219e-09	-1.2635236109e-09	4.1318058361e-09
2.8000000000e+00	3.0719153443e-07	1.4303198225e-08	2.8236867971e-08	1.0191653860e-08	3.2250411762e-08	9.8013943835e-09	3.6434793222e-08	7.5218862481e-10	9.7733008672e-09	-1.3061490802e-09	6.3403798137e-10	-7.5985735350e-10	2.4022150081e-09
3.0000000000e+00	1.4011077187e-07	7.5225240918e-09	1.4388772086e-08	4.3932529692e-09	1.5694596650e-08	4.8898941647e-09	1.7630779143e-08	3.4815598187e-10	5.0433452592e-09	-7.1757970084e-10	3.7587159986e-10	-4.4231464003e-10	1.3535876366e-09
3.2000000000e+00	6.4183647396e-08	3.9036275128e-09	7.2818489752e-09	1.8651214645e-09	7.6172623474e-09	2.4249704649e-09	8.4851415866e-09	1.5700928756e-10	2.5742845900e-09	-3.8800432217e-10	2.1736630083e-10	-2.5108318802e-10	7.4441532099e-10
3.4000000000e+00	2.9524793757e-08	2.0054398496e-09	3.6669633808e-09	7.7841432461e-10	3.6910416898e-09	1.1974654060e-09	4.0688367613e-09	6.8945787955e-11	1.3033279882e-09	-2.0713644667e-10	1.2303879224e-10	-1.3984406857e-10	4.0205655424e-10
3.6000000000e+00	1.3634443645e-08	1.0224439593e-09	1.8399633261e-09	3.1792627478e-10	1.7868693418e-09	5.8947941948e-10	1.9465689368e-09	2.9325746498e-11	6.5579934624e-10	-1.0949424171e-10	6.8579949986e-11	-7.6556173897e-11	2.1409252050e-10
3.8000000000e+00	6.3186447957e-09	5.1819117161e-10	9.2082653629e-10	1.2617031370e-10	8.6471263111e-10	2.8956096783e-10	9.3003922140e-10	1.2010411076e-11	3.2844351143e-10	-5.7448883450e-11	3.7745381493e-11	-4.1522791175e-11	1.1269137962e-10
4.0000000000e+00	2.9376457823e-09	2.6135822074e-10	4.6001504350e-10	4.8219593983e-11	4.1845440329e-10	1.4203703870e-10	4.4434151269e-10	4.6943494375e-12	1.6388673261e-10	-2.9989712330e-11	2.0509055665e-11	-2.2279741248e-11	5.8723888107e-11
