#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.9734703866e+00	-1.4067944049e-02	1.1577173976e-02	2.4464766929e-02	2.8117566240e-02	-1.1579398794e-02	5.9741560059e-02	-7.5170701598e-04	5.9946507867e-03	-1.0221847068e-04	-2.1931114400e-04	-1.4095113609e-03	-4.9832146850e-04
4.0000000000e-01	2.2740169454e-01	-1.2054618049e-03	1.1830219486e-03	4.3410427166e-03	5.1799670405e-03	-2.6777493069e-03	1.3879123708e-02	-2.1433744256e-04	1.7588687176e-03	-3.7835983336e-05	-8.3598333082e-05	-6.1094999781e-04	-2.1463091788e-04
6.0000000000e-01	5.0648888366e-02	-1.6618664320e-04	2.1570040530e-04	1.1262946929e-03	1.3968484561e-03	-7.7303159959e-04	4.0376219080e-03	-6.4960149188e-05	5.7381941394e-04	-1.4904114961e-05	-3.3333290684e-05	-2.5683850303e-04	-9.0430854225e-05
8.0000000000e-01	1.5649565514e-02	-3.4377324392e-05	6.0693477903e-05	3.9206203991e-04	4.9660132457e-04	-2.8045796600e-04	1.4706169690e-03	-2.2057559528e-05	2.1432067669e-04	-6.7481864645e-06	-1.5510567483e-05	-1.0686510954e-04	-3.7663983049e-05
1.0000000000e+00	5.8098050815e-03	-3.1521343025e-06	1.8477592384e-05	1.6697593836e-04	2.1300779235e-04	-1.2548742326e-04	6.5666223104e-04	-1.0070004728e-05	9.6453137109e-05	-3.2071377514e-06	-7.4737759667e-06	-4.6535890431e-05	-1.6433451908e-05
1.2000000000e+00	2.3952769533e-03	6.5899545154e-06	3.4605325049e-06	7.8912238548e-05	1.0175988958e-04	-6.3829180413e-05	3.3339625726e-04	-5.6838511333e-06	5.0876752935e-05	-1.5579354906e-06	-3.6506474760e-06	-2.3770267141e-05	-8.4328037522e-06
1.4000000000e+00	1.0500585764e-03	8.2867235149e-06	-1.5444836785e-06	3.8722376332e-05	5.1357026274e-05	-3.4244863004e-05	1.7932150424e-04	-3.2983487797e-06	2.9157215418e-05	-8.3103173620e-07	-1.9655227338e-06	-1.4439622940e-05	-5.1371620278e-06
1.6000000000e+00	4.7811693033e-04	7.0237392025e-06	-2.5612836886e-06	1.9075864964e-05	2.6617624667e-05	-1.8621769274e-05	9.8206152059e-05	-1.8245585448e-06	1.7151955021e-05	-5.1093831279e-07	-1.2315865517e-06	-9.5750512307e-06	-3.4021769441e-06
1.8000000000e+00	2.2324362825e-04	5.1056065078e-06	-2.2091734248e-06	9.2979526637e-06	1.3975052500e-05	-1.0104705949e-05	5.3846782254e-05	-9.5217773841e-07	1.0086043804e-05	-3.4850322836e-07	-8.5841129778e-07	-6.4261873178e-06	-2.2760754803e-06
2.0000000000e+00	1.0613418747e-04	3.4143148565e-06	-1.5693944246e-06	4.4571350204e-06	7.3864961707e-06	-5.4479555133e-06	2.9392203020e-05	-4.7209882234e-07	5.8755726670e-06	-2.4613648411e-07	-6.1650258933e-07	-4.2244230990e-06	-1.4926653729e-06
