#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.8360855085e+00	-6.1958939743e-03	-1.8903419560e-02	2.4317134593e-02	2.6382588760e-02	-1.0256205208e-02	5.8679933778e-02	-6.4222175404e-04	6.2826307320e-03	-9.9504377066e-05	-2.5673476306e-04	-1.4001713499e-03	-4.8431703785e-04
4.0000000000e-01	2.1361152684e-01	-2.2262300211e-04	-2.7222369355e-03	4.3049638675e-03	4.8920359619e-03	-2.3829363035e-03	1.3640825217e-02	-1.8307881710e-04	1.8415747166e-03	-3.6837420409e-05	-9.7020805468e-05	-6.0691517909e-04	-2.0857266689e-04
6.0000000000e-01	4.7828739504e-02	5.4374992469e-05	-6.7126022057e-04	1.1146736154e-03	1.3275579003e-03	-6.9402113699e-04	3.9728175644e-03	-5.5515849271e-05	5.9922876010e-04	-1.4538578801e-05	-3.8184100304e-05	-2.5515229994e-04	-8.7897152026e-05
8.0000000000e-01	1.4845965841e-02	3.6392483573e-05	-2.2448786641e-04	3.8821162798e-04	4.7268767534e-04	-2.5303610247e-04	1.4480468505e-03	-1.8866671879e-05	2.2310570540e-04	-6.6072776657e-06	-1.7279659029e-05	-1.0620575892e-04	-3.6663997002e-05
1.0000000000e+00	5.5424640300e-03	2.2886312318e-05	-8.8726382258e-05	1.6546830335e-04	2.0285316211e-04	-1.1312646911e-04	6.4661452022e-04	-8.6352440009e-06	1.0037868336e-04	-3.1460869897e-06	-8.2256092269e-06	-4.6272775112e-05	-1.6028985881e-05
1.2000000000e+00	2.2991970468e-03	1.6556069628e-05	-3.9128226380e-05	7.8119936288e-05	9.7220446594e-05	-5.7586233080e-05	3.2834673385e-04	-4.8921604730e-06	5.3007978043e-05	-1.5272905105e-06	-4.0545165514e-06	-2.3635561826e-05	-8.2264429022e-06
1.4000000000e+00	1.0139709578e-03	1.2174742983e-05	-1.8781520084e-05	3.8231773857e-05	4.9349073494e-05	-3.1060324710e-05	1.7671970199e-04	-2.8478057919e-06	3.0371509797e-05	-8.1362625889e-07	-2.2121060856e-06	-1.4352299130e-05	-5.0051275290e-06
1.6000000000e+00	4.6416194242e-04	8.5736720391e-06	-9.5907305061e-06	1.8768158909e-05	2.5751173157e-05	-1.7033617549e-05	9.6881116625e-05	-1.5784622481e-06	1.7828374359e-05	-5.0033543339e-07	-1.3841388246e-06	-9.5155498691e-06	-3.3126016612e-06
1.8000000000e+00	2.1772946507e-04	5.7403405735e-06	-5.0899155772e-06	9.1127553827e-06	1.3610452519e-05	-9.3327553095e-06	5.3184989235e-05	-8.2440146055e-07	1.0448937409e-05	-3.4190266904e-07	-9.4983104870e-07	-6.3874567474e-06	-2.2174383959e-06
2.0000000000e+00	1.0391717157e-04	3.6820238008e-06	-2.7554766947e-06	4.3508042899e-06	7.2365855183e-06	-5.0805410437e-06	2.9067556305e-05	-4.0858106844e-07	6.0637203947e-06	-2.4205704089e-07	-6.6919040172e-07	-4.2007306853e-06	-1.4563625947e-06
2.2000000000e+00	5.0258778616e-05	2.2837422844e-06	-1.5033696130e-06	2.0363517932e-06	3.8592454716e-06	-2.7465379523e-06	1.5798285388e-05	-1.9398240931e-07	3.4801088132e-06	-1.6989037917e-07	-4.6518880959e-07	-2.6850625293e-06	-9.3229250623e-07
2.4000000000e+00	2.4571041779e-05	1.3804669505e-06	-8.2116364484e-07	9.3159742324e-07	2.0620227689e-06	-1.4763973008e-06	8.5439537135e-06	-8.9043541781e-08	1.9776512395e-06	-1.1631013892e-07	-3.1445082673e-07	-1.6704588595e-06	-5.8288041586e-07
2.6000000000e+00	1.2123817328e-05	8.1821204541e-07	-4.4763254646e-07	4.1472948254e-07	1.1035232390e-06	-7.9056139744e-07	4.6030053281e-06	-3.9920711440e-08	1.1147382986e-06	-7.7504436678e-08	-2.0627958424e-07	-1.0155921912e-06	-3.5741198359e-07
2.8000000000e+00	6.0310777527e-06	4.7771724814e-07	-2.4323872799e-07	1.7827283605e-07	5.9155170273e-07	-4.2241021134e-07	2.4731908590e-06	-1.7721596593e-08	6.2430829880e-07	-5.0414902990e-08	-1.3167957602e-07	-6.0595354380e-07	-2.1582981902e-07
3.0000000000e+00	3.0224160264e-06	2.7571540868e-07	-1.3173108280e-07	7.2930708700e-08	3.1769465458e-07	-2.2555494616e-07	1.3266270482e-06	-7.9534783946e-09	3.4790506026e-07	-3.2145316628e-08	-8.2120655587e-08	-3.5612627518e-07	-1.2879688734e-07
3.2000000000e+00	1.5249644061e-06	1.5772307215e-07	-7.1123298166e-08	2.7564193008e-08	1.7097256615e-07	-1.2051046704e-07	7.1101720721e-07	-3.7178146719e-09	1.9314229235e-07	-2.0170114197e-08	-5.0227658718e-08	-2.0679459330e-07	-7.6160875178e-08
3.4000000000e+00	7.7428941115e-07	8.9611905087e-08	-3.8299762683e-08	8.9345579729e-09	9.2220438297e-08	-6.4487299072e-08	3.8101575184e-07	-1.8717943940e-09	1.0692234930e-07	-1.2495993206e-08	-3.0232094612e-08	-1.1893603852e-07	-4.4719559902e-08
3.6000000000e+00	3.9546657724e-07	5.0648369914e-08	-2.0579745140e-08	1.8398113547e-09	4.9863310638e-08	-3.4587793668e-08	2.0425138332e-07	-1.0371122078e-09	5.9070551126e-08	-7.6640488366e-09	-1.7958501699e-08	-6.7886245309e-08	-2.6115021731e-08
3.8000000000e+00	2.0310763992e-07	2.8512642477e-08	-1.1038714787e-08	-5.0113175951e-10	2.7029579266e-08	-1.8604021961e-08	1.0957745482e-07	-6.2938147164e-10	3.2587848428e-08	-4.6630790026e-09	-1.0552920208e-08	-3.8514793518e-08	-1.5185591796e-08
4.0000000000e+00	1.0486150060e-07	1.6003328279e-08	-5.9125058631e-09	-1.0187682866e-09	1.4690466225e-08	-1.0038976367e-08	5.8849638134e-08	-4.0735854255e-10	1.7961408948e-08	-2.8190928036e-09	-6.1463358185e-09	-2.1746967282e-08	-8.8006822903e-09
