#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.8012568569e-02	-3.0560780436e-07	-8.5384569101e-06	1.0681329727e-04	2.2132238330e-04	3.9745889608e-05	1.7842219475e-04	1.6527305843e-06	1.4301301379e-05	-3.8449952099e-06	-6.5469467169e-08	-1.8251500928e-07	4.7591110150e-07
4.0000000000e-01	1.7476204518e-03	2.7727161426e-06	3.6431492672e-06	1.8044006287e-05	3.9819681039e-05	9.0102038148e-06	3.9972996590e-05	5.0024446489e-07	4.0717315165e-06	-1.3497417353e-06	4.3019574630e-09	-3.2159757560e-08	2.8771325277e-07
6.0000000000e-01	3.0173890586e-04	1.2952524214e-06	1.9545539749e-06	4.1369684754e-06	9.9563924634e-06	2.5787808115e-06	1.1278997005e-05	1.7464143177e-07	1.3433576986e-06	-5.0188956291e-07	2.1248587063e-09	-1.4006279698e-08	1.1549791328e-07
8.0000000000e-01	6.8115772226e-05	5.5124033024e-07	8.5508870430e-07	1.0817374221e-06	2.9376191011e-06	8.3343375197e-07	3.5689711273e-06	6.8776178621e-08	4.9033344234e-07	-2.0471015164e-07	1.6405377131e-09	-6.2893883685e-09	5.1035958774e-08
1.0000000000e+00	1.7989196620e-05	2.3170648465e-07	3.5875798435e-07	2.9902462169e-07	9.5453932380e-07	2.8708353052e-07	1.1936518463e-06	2.9140406550e-08	1.8759253254e-07	-8.7080144605e-08	1.2742098683e-09	-2.9049047432e-09	2.3389655859e-08
1.2000000000e+00	5.2691120933e-06	9.7562472179e-08	1.4892809538e-07	8.3687895419e-08	3.3037838180e-07	1.0278423613e-07	4.1178606978e-07	1.2893916519e-08	7.3483160280e-08	-3.7688080895e-08	8.8559881381e-10	-1.3671747110e-09	1.0771087538e-08
1.4000000000e+00	1.6613265369e-06	4.1292457805e-08	6.1837858871e-08	2.2757030869e-08	1.1955589130e-07	3.7798098974e-08	1.4497951777e-07	5.8423183155e-09	2.9185660996e-08	-1.6406810860e-08	5.7091472083e-10	-6.4028016266e-10	4.9057470037e-09
1.6000000000e+00	5.5357282207e-07	1.7577424155e-08	2.5799776612e-08	5.6186841760e-09	4.4720604124e-08	1.4184755335e-08	5.1830140239e-08	2.6804236798e-09	1.1707098868e-08	-7.1567535493e-09	3.4343952551e-10	-2.9817622043e-10	2.2011672441e-09
1.8000000000e+00	1.9258686591e-07	7.5245189387e-09	1.0838387671e-08	1.0281133163e-09	1.7162801574e-08	5.4109681789e-09	1.8761192162e-08	1.2370995371e-09	4.7352346247e-09	-3.1238807470e-09	1.9599573129e-10	-1.3885390703e-10	9.7271907566e-10
2.0000000000e+00	6.9366696621e-08	3.2379808285e-09	4.5886153087e-09	-4.3298853872e-11	6.7235121630e-09	2.0924686043e-09	6.8630010412e-09	5.7239086187e-10	1.9297956108e-09	-1.3640574441e-09	1.0732485717e-10	-6.4777159666e-11	4.2402802290e-10
2.2000000000e+00	2.5709992986e-08	1.4001300421e-09	1.9583629326e-09	-1.9596975803e-10	2.6789112626e-09	8.1865015994e-10	2.5332464876e-09	2.6511192740e-10	7.9208300512e-10	-5.9593684944e-10	5.6935443624e-11	-3.0379184872e-11	1.8273124479e-10
2.4000000000e+00	9.7611652714e-09	6.0815391855e-10	8.4252033600e-10	-1.5168798073e-10	1.0827481262e-09	3.2351981255e-10	9.4219860167e-10	1.2285174369e-10	3.2730845201e-10	-2.6055876858e-10	2.9478847115e-11	-1.4357784332e-11	7.8001259469e-11
2.6000000000e+00	3.7829571278e-09	2.6526390626e-10	3.6529674875e-10	-9.1790879867e-11	4.4303925890e-10	1.2897228486e-10	3.5261338589e-10	5.6956114265e-11	1.3612131181e-10	-1.1404111813e-10	1.4980207259e-11	-6.8430665692e-12	3.3041128972e-11
2.8000000000e+00	1.4924422942e-09	1.1616009055e-10	1.5957121233e-10	-5.0275948002e-11	1.8324906316e-10	5.1807982425e-11	1.3258684782e-10	2.6422335683e-11	5.6954056562e-11	-4.9976918932e-11	7.5035873026e-12	-3.2892614618e-12	1.3908919735e-11
3.0000000000e+00	5.9805846239e-10	5.1057691738e-11	7.0201763057e-11	-2.6139140074e-11	7.6525827364e-11	2.0949246467e-11	5.0007157225e-11	1.2268523655e-11	2.3965951043e-11	-2.1933562478e-11	3.7173011275e-12	-1.5927318518e-12	5.8252031025e-12
3.2000000000e+00	2.4299125985e-10	2.2522415466e-11	3.1092776569e-11	-1.3177304308e-11	3.2235002580e-11	8.5196404025e-12	1.8883033745e-11	5.7031842579e-12	1.0138525669e-11	-9.6414240703e-12	1.8260583570e-12	-7.7580564003e-13	2.4293586957e-12
3.4000000000e+00	9.9952811441e-11	9.9690757856e-12	1.3858596751e-11	-6.5139469397e-12	1.3685627092e-11	3.4817193858e-12	7.1226082631e-12	2.6549024277e-12	4.3103011221e-12	-4.2453698571e-12	8.9129052790e-13	-3.7950660149e-13	1.0095091973e-12
