#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	5.7626663522e-04	-3.2653760339e-07	1.2979318454e-06	7.8921296751e-09	-5.0714746232e-07	2.3507157835e-07	1.3194428050e-06	-4.6531898717e-09	-1.5855063651e-08	1.8032485908e-08	-1.3605870545e-08	-2.0847121222e-08	3.2195924261e-08
4.0000000000e-01	4.5934543047e-04	8.3409794784e-07	9.1538665809e-07	-1.8411762132e-06	-2.7444746401e-06	-4.2814223263e-07	-2.5363054251e-06	6.4343365284e-09	1.8266551183e-07	-4.1075409574e-08	-2.5565050000e-08	-6.7099937508e-09	5.7368926293e-09
6.0000000000e-01	2.6295439791e-04	1.3809086892e-07	-2.8145127877e-06	2.7938469929e-07	6.2584335050e-07	-5.1808747580e-07	-3.5196099960e-06	-3.4183224638e-08	-5.2530358784e-07	3.9346337950e-08	5.7892374338e-09	-9.6157499181e-09	2.8558375142e-08
8.0000000000e-01	1.4062244055e-04	1.9027104831e-07	-2.0683475775e-06	1.3693380976e-06	2.1609117011e-06	6.9115621063e-08	4.6259182010e-07	-2.9323145534e-08	-3.1984364339e-07	6.3688881601e-08	4.6376943223e-08	1.5606335285e-08	-4.4607067078e-08
1.0000000000e+00	7.2876429679e-05	3.4413405899e-07	-6.6704575407e-07	1.2917531371e-06	2.1186366572e-06	3.4929985022e-07	2.3342375626e-06	6.8147523790e-09	7.3582850392e-08	2.7469275746e-08	1.7947128428e-08	1.7077092558e-08	-4.9012272922e-08
1.2000000000e+00	3.6882793316e-05	3.6074519030e-07	6.7411527051e-08	8.8080765493e-07	1.5697028133e-06	3.5279393044e-07	2.2456585846e-06	2.0596228278e-08	2.4327241427e-07	-9.6786003799e-09	-1.1046104052e-08	4.5829810314e-09	-1.3087884288e-08
1.4000000000e+00	1.8340420489e-05	2.8955352857e-07	2.8104515560e-07	5.1746463903e-07	1.0186635290e-06	2.6074793253e-07	1.5653345968e-06	1.9074244144e-08	2.4156040282e-07	-2.6456032968e-08	-1.9482190602e-08	-4.4799903022e-09	1.2936394123e-08
1.6000000000e+00	9.0087941870e-06	2.0120131424e-07	2.6890357061e-07	2.7837982940e-07	6.1190920392e-07	1.6728768828e-07	9.4344877563e-07	1.3030104841e-08	1.8013972755e-07	-2.8152523013e-08	-1.6252289919e-08	-7.4153376667e-09	2.1497087512e-08
1.8000000000e+00	4.3890370950e-06	1.2796840429e-07	1.9606375488e-07	1.4117054095e-07	3.4964893874e-07	9.9017752439e-08	5.2504432461e-07	7.6217651588e-09	1.1734843491e-07	-2.3056130864e-08	-1.0402639089e-08	-6.7385914369e-09	1.9589307768e-08
2.0000000000e+00	2.1272906050e-06	7.6761642152e-08	1.2645710370e-07	6.8545146728e-08	1.9308665756e-07	5.5732504371e-08	2.7853375219e-07	4.0397017833e-09	7.0726196509e-08	-1.6529141914e-08	-5.6754708854e-09	-4.9315979055e-09	1.4348812817e-08
2.2000000000e+00	1.0279736861e-06	4.4211873812e-08	7.6097952454e-08	3.2121049913e-08	1.0409327444e-07	3.0321524294e-08	1.4336465750e-07	1.9896015257e-09	4.0583504858e-08	-1.0903451225e-08	-2.7474155011e-09	-3.2025678169e-09	9.3309605206e-09
2.4000000000e+00	4.9602259105e-07	2.4740718087e-08	4.3822186257e-08	1.4581030107e-08	5.5153656260e-08	1.6111261046e-08	7.2345266652e-08	9.1502958168e-10	2.2549808199e-08	-6.7951345996e-09	-1.1951968269e-09	-1.9448233181e-09	5.6356544863e-09
2.6000000000e+00	2.3925281353e-07	1.3551553283e-08	2.4499040116e-08	6.4153786167e-09	2.8853787224e-08	8.4188872997e-09	3.6029653544e-08	3.9302473564e-10	1.2252426471e-08	-4.0653952192e-09	-4.5263901209e-10	-1.1273778911e-09	3.2385985933e-09
2.8000000000e+00	1.1544728190e-07	7.3043898272e-09	1.3413882412e-08	2.7277622076e-09	1.4953576692e-08	4.3448336634e-09	1.7785858948e-08	1.5411730847e-10	6.5524647058e-09	-2.3595328253e-09	-1.3342511774e-10	-6.3292873120e-10	1.7956173787e-09
3.0000000000e+00	5.5758315911e-08	3.8892704815e-09	7.2341696920e-09	1.1111965596e-09	7.6952206092e-09	2.2218450952e-09	8.7278090577e-09	5.1508451931e-11	3.4639821532e-09	-1.3377115035e-09	-1.3224109796e-11	-3.4785100106e-10	9.6951390402e-10
3.2000000000e+00	2.6964698679e-08	2.0514220247e-09	3.8578623637e-09	4.2617817616e-10	3.9392155688e-09	1.1283350069e-09	4.2659117753e-09	1.1295721378e-11	1.8157164644e-09	-7.4468250685e-10	2.2403566399e-11	-1.8841175329e-10	5.1329911355e-10
3.4000000000e+00	1.3060279099e-08	1.0741223699e-09	2.0400417337e-09	1.4796928692e-10	2.0085465210e-09	5.7000364211e-10	2.0796811754e-09	-2.2716280615e-12	9.4567511865e-10	-4.0859343214e-10	2.6374283851e-11	-1.0101184571e-10	2.6769071203e-10
3.6000000000e+00	6.3365258169e-09	5.5918449742e-10	1.0718454648e-09	4.1587428194e-11	1.0211212384e-09	2.8678546226e-10	1.0122360563e-09	-5.3797559696e-12	4.9015066384e-10	-2.2158549528e-10	2.0925968901e-11	-5.3763391660e-11	1.3798519596e-10
3.8000000000e+00	3.0798842704e-09	2.8980011247e-10	5.6036081883e-10	4.8015865053e-12	5.1799601731e-10	1.4384336645e-10	4.9223053300e-10	-4.9338193424e-12	2.5310796567e-10	-1.1904512036e-10	1.4344997458e-11	-2.8460300409e-11	7.0475106751e-11
4.0000000000e+00	1.4997697728e-09	1.4965577650e-10	2.9182888755e-10	-5.4590281988e-12	2.6235114477e-10	7.1976200128e-11	2.3925869290e-10	-3.6384446208e-12	1.3032641305e-10	-6.3464968180e-11	9.0998102954e-12	-1.5002430611e-11	3.5729439313e-11
