#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.5532707684e-01	-2.0209460921e-03	5.0384240622e-03	2.3835625634e-03	4.5955969139e-03	4.9282855810e-04	5.2324109327e-03	-8.9797528506e-05	7.2409472507e-04	4.0059143310e-05	-8.0626854126e-05	-5.4586209069e-05	2.5001243674e-05
4.0000000000e-01	1.9072441150e-02	-2.3375582227e-04	8.2709487306e-04	4.4051983783e-04	8.5095306566e-04	1.1736824621e-04	1.2057830940e-03	-2.7049289465e-05	2.1158239752e-04	1.4390174737e-05	-2.8681717149e-05	-2.3560391050e-05	1.0826985728e-05
6.0000000000e-01	4.3816922814e-03	-4.7519119235e-05	2.1776279511e-04	1.1926070168e-04	2.3060325821e-04	3.5634306191e-05	3.4639471147e-04	-9.2924628977e-06	6.8395510803e-05	5.3097293247e-06	-1.0294846177e-05	-9.8987248230e-06	4.5466136261e-06
8.0000000000e-01	1.3913885636e-03	-1.4110147078e-05	7.4785008378e-05	4.2418545302e-05	8.1720327593e-05	1.3228121725e-05	1.2543130019e-04	-3.6844086897e-06	2.5279717297e-05	2.0384455416e-06	-3.6350810166e-06	-4.0829692466e-06	1.8450616939e-06
1.0000000000e+00	5.3573157386e-04	-4.9867886311e-06	3.1260941228e-05	1.8214222119e-05	3.5008471716e-05	5.8297909436e-06	5.6260529418e-05	-1.6406610843e-06	1.1369881887e-05	8.9837317961e-07	-1.5272926995e-06	-1.7558693239e-06	7.7413074355e-07
1.2000000000e+00	2.3025317181e-04	-1.6918034099e-06	1.4873193509e-05	8.7389312593e-06	1.6837223355e-05	2.9450204858e-06	2.8670124652e-05	-8.2999645096e-07	6.0399311704e-06	4.8107431680e-07	-8.6034042946e-07	-8.9859560816e-07	3.9644314243e-07
1.4000000000e+00	1.0503736485e-04	-4.0233469032e-07	7.5725633658e-06	4.4352617741e-06	8.5810816012e-06	1.6192720226e-06	1.5364029562e-05	-4.7433198957e-07	3.4789305203e-06	2.9235769071e-07	-5.5268582445e-07	-5.5424400376e-07	2.4987001253e-07
1.6000000000e+00	4.9464607252e-05	5.9511780306e-08	3.9651868326e-06	2.3084092336e-06	4.4765390363e-06	9.2426397341e-07	8.3234053253e-06	-2.9201765064e-07	2.0428932187e-06	1.8441674893e-07	-3.4886216372e-07	-3.7205127626e-07	1.6992253223e-07
1.8000000000e+00	2.3701802225e-05	1.7837967974e-07	2.0926335282e-06	1.2132967162e-06	2.3497045270e-06	5.3185504443e-07	4.4912156156e-06	-1.8391440303e-07	1.1907351526e-06	1.1541164056e-07	-2.0713856901e-07	-2.5041554478e-07	1.1390816903e-07
2.0000000000e+00	1.1471392461e-05	1.7075675289e-07	1.1033989803e-06	6.3951811558e-07	1.2318513749e-06	3.0427745296e-07	2.4040480619e-06	-1.1491119161e-07	6.8346418955e-07	7.0692428789e-08	-1.1557574841e-07	-1.6379370383e-07	7.3253735580e-08
