#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	8.5935536216e-02	1.5716588317e-04	-2.5193259821e-04	2.5964912918e-05	-5.0933462716e-06	-4.1151379262e-05	1.7873969729e-04	1.4682023276e-07	1.8688275450e-07	-2.7006373177e-07	3.1954203011e-06	-5.3299837212e-06	-1.9078087143e-06
4.0000000000e-01	7.7109162178e-02	5.8655547544e-05	-1.4002155388e-05	-2.6901130468e-04	-2.6327360026e-04	7.3248373283e-05	-3.2469205200e-04	-7.8750928151e-07	1.6380374293e-05	2.7234334576e-06	-7.6662230470e-06	-4.4695963437e-06	-1.3651758640e-06
6.0000000000e-01	4.5702462226e-02	-3.0813631748e-04	4.5322710585e-04	-6.1105673867e-06	1.2491006957e-05	1.1717887399e-04	-4.8248572780e-04	-2.5258043054e-07	-4.6696369458e-05	-6.4256421799e-07	3.0641694165e-06	-5.5772103453e-06	-2.2307099932e-06
8.0000000000e-01	2.3417633759e-02	-2.6069568129e-04	3.8730870971e-04	1.8686258042e-04	1.8888668688e-04	-9.8373961927e-07	7.1997298350e-06	2.6131396474e-07	-3.3693544746e-05	-4.0529922274e-06	1.0044561385e-05	8.3692750923e-06	3.6692079500e-06
1.0000000000e+00	1.1377431919e-02	-1.2112528540e-04	2.0267453861e-04	1.8650354366e-04	1.9202223111e-04	-6.9036674845e-05	2.8718745927e-04	-5.4665032967e-07	2.1331331035e-06	-2.2461596556e-06	5.4371748313e-06	1.0341886251e-05	4.4567487075e-06
1.2000000000e+00	5.4123063445e-03	-3.3752056622e-05	8.0597285529e-05	1.2464310621e-04	1.3754285095e-04	-7.5123865370e-05	3.1476214996e-04	-4.8314463429e-07	2.0975505993e-05	3.7106858667e-07	-6.1725984605e-07	4.2320675861e-06	1.8186188248e-06
1.4000000000e+00	2.5544347788e-03	2.1929805081e-06	2.3585556615e-05	6.9706938758e-05	8.5069315169e-05	-5.6923610328e-05	2.4176804125e-04	1.1604272283e-07	2.3656645223e-05	1.6198485677e-06	-3.7678858745e-06	-1.4164634112e-06	-6.1966629193e-07
1.6000000000e+00	1.2036672052e-03	1.1661414284e-05	2.3503032095e-06	3.5143761501e-05	4.8789913788e-05	-3.6826688390e-05	1.5901433077e-04	5.8136603418e-07	1.9190975090e-05	1.7247685330e-06	-4.3481824535e-06	-4.0519010217e-06	-1.7468067469e-06
1.8000000000e+00	5.6811946622e-04	1.1139799104e-05	-3.5262602176e-06	1.6474944958e-05	2.6818909363e-05	-2.1858249871e-05	9.6086012983e-05	7.3929269374e-07	1.3404269944e-05	1.3522695010e-06	-3.6808300707e-06	-4.3864368562e-06	-1.8821493790e-06
2.0000000000e+00	2.6907594723e-04	8.1238568907e-06	-3.9746162606e-06	7.2634831304e-06	1.4377913757e-05	-1.2317711032e-05	5.5157979230e-05	6.8072647963e-07	8.5987713472e-06	9.1179565099e-07	-2.6924563763e-06	-3.6513620591e-06	-1.5602930991e-06
2.2000000000e+00	1.2801037791e-04	5.2685583470e-06	-3.0015364001e-06	3.0044631429e-06	7.5933846597e-06	-6.7169245032e-06	3.0639684646e-05	5.3303459481e-07	5.2275965276e-06	5.6111559971e-07	-1.8075768528e-06	-2.6628521045e-06	-1.1337954860e-06
2.4000000000e+00	6.1204425613e-05	3.2019347352e-06	-1.9620506681e-06	1.1437649527e-06	3.9745378983e-06	-3.5851942247e-06	1.6653207807e-05	3.7797025023e-07	3.0655281090e-06	3.2459461766e-07	-1.1474880557e-06	-1.7918612779e-06	-7.6066563546e-07
2.6000000000e+00	2.9417007039e-05	1.8690423618e-06	-1.1912325879e-06	3.7862967450e-07	2.0696757026e-06	-1.8868811243e-06	8.9189814017e-06	2.5075409993e-07	1.7529168082e-06	1.7947278197e-07	-7.0073500628e-07	-1.1427109339e-06	-4.8402069266e-07
2.8000000000e+00	1.4214402455e-05	1.0622139109e-06	-6.9223983756e-07	8.8355001851e-08	1.0748604611e-06	-9.8399707355e-07	4.7290919718e-06	1.5866334403e-07	9.8435456659e-07	9.5788813310e-08	-4.1610835165e-07	-7.0162846078e-07	-2.9679062235e-07
3.0000000000e+00	6.9049481730e-06	5.9262718471e-07	-3.9110928556e-07	-7.6713376950e-09	5.5762619832e-07	-5.1017813346e-07	2.4904933880e-06	9.6942274746e-08	5.4547986759e-07	4.9635490665e-08	-2.4200523818e-07	-4.1901256738e-07	-1.7717473321e-07
3.2000000000e+00	3.3717209076e-06	3.2633180396e-07	-2.1682195154e-07	-3.0230586508e-08	2.8930252436e-07	-2.6360757205e-07	1.3056375802e-06	5.7681633670e-08	2.9931504711e-07	2.5041402096e-08	-1.3854288399e-07	-2.4507002656e-07	-1.0368733175e-07
3.4000000000e+00	1.6547881246e-06	1.7800538763e-07	-1.1863379375e-07	-2.8501888591e-08	1.5021119471e-07	-1.3597127054e-07	6.8249530954e-07	3.3618843373e-08	1.6303357779e-07	1.2307662604e-08	-7.8351722559e-08	-1.4106013908e-07	-5.9778613733e-08
3.6000000000e+00	8.1611748877e-07	9.6433995369e-08	-6.4311424292e-08	-2.1044484317e-08	7.8095247435e-08	-7.0101859349e-08	3.5614929881e-07	1.9279734874e-08	8.8315458766e-08	5.8815628555e-09	-4.3891203011e-08	-8.0190557196e-08	-3.4073087607e-08
