#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	5.6875937701e+00	-3.0874700406e-02	5.7773181640e-02	4.8890590860e-02	5.8740042255e-02	-2.5308820185e-02	1.0994797331e-01	3.2137518444e-04	8.8869468673e-03	5.2001017307e-04	-1.5840572428e-03	-1.4614721229e-03	-5.8881521117e-04
4.0000000000e-01	6.0857526228e-01	-2.6639502900e-03	6.7325831732e-03	8.7578596544e-03	1.0979020723e-02	-5.8996210031e-03	2.5721834076e-02	8.7424931819e-05	2.5531823822e-03	1.7506067937e-04	-5.3594660979e-04	-5.9478289465e-04	-2.5248379670e-04
6.0000000000e-01	1.1642870967e-01	-1.4155547879e-04	1.1215648737e-03	2.2295844863e-03	2.9416875113e-03	-1.8107344330e-03	7.9241234333e-03	3.5753832938e-05	8.8852707136e-04	6.6234741265e-05	-2.0694665491e-04	-2.4822285871e-04	-1.0550980549e-04
8.0000000000e-01	2.9061436282e-02	1.1454967232e-04	1.7867017528e-04	6.6185872319e-04	9.3756032478e-04	-6.4197302248e-04	2.8235958007e-03	1.7091292473e-05	3.5166714486e-04	2.8370026834e-05	-8.9875496998e-05	-1.1459236058e-04	-4.8723059539e-05
1.0000000000e+00	8.4623157496e-03	9.1296524533e-05	8.3945435347e-06	2.1124856816e-04	3.2958183878e-04	-2.4535702252e-04	1.0871552088e-03	8.9015962613e-06	1.4891210584e-04	1.2872012633e-05	-4.1651893820e-05	-5.6198281765e-05	-2.3895396429e-05
1.2000000000e+00	2.7259586566e-03	5.1641813396e-05	-1.4669989544e-05	6.9761443309e-05	1.2345874396e-04	-9.7992802212e-05	4.3844041386e-04	4.8092944809e-06	6.5453395998e-05	5.9681333139e-06	-1.9936956456e-05	-2.8342162542e-05	-1.2051714129e-05
1.4000000000e+00	9.4321927102e-04	2.6468890453e-05	-1.1852876705e-05	2.3278279624e-05	4.8397863585e-05	-4.0296453413e-05	1.8240672113e-04	2.6198109061e-06	2.9430220225e-05	2.7781639029e-06	-9.6952122239e-06	-1.4441851563e-05	-6.1393068059e-06
1.6000000000e+00	3.4429604344e-04	1.3035066415e-05	-6.9689884619e-06	7.6889640379e-06	1.9644358578e-05	-1.6930950842e-05	7.7645957307e-05	1.4197353812e-06	1.3438078086e-05	1.2884404080e-06	-4.7521698143e-06	-7.3727350026e-06	-3.1326645820e-06
1.8000000000e+00	1.3101898363e-04	6.3044425696e-06	-3.6904761690e-06	2.4493521565e-06	8.1987026077e-06	-7.2369634443e-06	3.3654018784e-05	7.6160485778e-07	6.2065012241e-06	5.9352019386e-07	-2.3390582658e-06	-3.7578205342e-06	-1.5957903109e-06
2.0000000000e+00	5.1554498764e-05	3.0246624157e-06	-1.8649856197e-06	7.1794350417e-07	3.5014418490e-06	-3.1385823308e-06	1.4806091181e-05	4.0403619073e-07	2.8928194980e-06	2.7120791504e-07	-1.1541504766e-06	-1.9101583097e-06	-8.1078900208e-07
2.2000000000e+00	2.0853284104e-05	1.4468524615e-06	-9.2058092325e-07	1.7072117178e-07	1.5247456474e-06	-1.3786217428e-06	6.5977236546e-06	2.1212835122e-07	1.3587186671e-06	1.2284345713e-07	-5.7047427956e-07	-9.6832353214e-07	-4.1094545636e-07
2.4000000000e+00	8.6329751097e-06	6.9200119861e-07	-4.4890762749e-07	1.4081797282e-08	6.7517372425e-07	-6.1255282678e-07	2.9731359403e-06	1.1037237917e-07	6.4245612954e-07	5.5106166288e-08	-2.8238837875e-07	-4.8974894094e-07	-2.0790253708e-07
2.6000000000e+00	3.6456665499e-06	3.3145426038e-07	-2.1758295400e-07	-2.0405796066e-08	3.0337113284e-07	-2.7505271244e-07	1.3532551352e-06	5.6996072358e-08	3.0560254530e-07	2.4447729232e-08	-1.3998165237e-07	-2.4727249897e-07	-1.0506098071e-07
2.8000000000e+00	1.5663687037e-06	1.5914245054e-07	-1.0519978458e-07	-2.0937104203e-08	1.3807995332e-07	-1.2471976458e-07	6.2154818509e-07	2.9251253649e-08	1.4616383841e-07	1.0702610763e-08	-6.9490836515e-08	-1.2470305546e-07	-5.3066873684e-08
3.0000000000e+00	6.8330055284e-07	7.6637207071e-08	-5.0847383649e-08	-1.4730395182e-08	6.3574118547e-08	-5.7073094383e-08	2.8784729705e-07	1.4937378614e-08	7.0260937364e-08	4.6066880655e-09	-3.4550244231e-08	-6.2850132313e-08	-2.6808239824e-08
3.2000000000e+00	3.0213537404e-07	3.7027935006e-08	-2.4602162740e-08	-9.0832357098e-09	2.9575079121e-08	-2.6343569370e-08	1.3432595193e-07	7.5975966651e-09	3.3934101913e-08	1.9382210855e-09	-1.7205985473e-08	-3.1671112202e-08	-1.3551733312e-08
3.4000000000e+00	1.3522738869e-07	1.7953071152e-08	-1.1926246661e-08	-5.2452043139e-09	1.3888415775e-08	-1.2259357887e-08	6.3129188542e-08	3.8521151320e-09	1.6462298240e-08	7.8949282833e-10	-8.5832011673e-09	-1.5963028929e-08	-6.8577700104e-09
3.6000000000e+00	6.1192605923e-08	8.7360320359e-09	-5.7955434678e-09	-2.9158323840e-09	6.5783342748e-09	-5.7495785386e-09	2.9865416473e-08	1.9482805518e-09	8.0201737814e-09	3.0593601168e-10	-4.2893781439e-09	-8.0502021023e-09	-3.4751811734e-09
3.8000000000e+00	2.7969071774e-08	4.2665204709e-09	-2.8241695752e-09	-1.5823996594e-09	3.1406461239e-09	-2.7165775621e-09	1.4216550075e-08	9.8348298571e-10	3.9231413462e-09	1.0876588273e-10	-2.1475730266e-09	-4.0630659063e-09	-1.7639624893e-09
4.0000000000e+00	1.2901374661e-08	2.0913066555e-09	-1.3803362249e-09	-8.4505540199e-10	1.5104374570e-09	-1.2926703103e-09	6.8069375806e-09	4.9568249597e-10	1.9264578771e-09	3.2233500290e-11	-1.0772660349e-09	-2.0527689541e-09	-8.9699614810e-10
