#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.2044090768e+01	-5.0477112969e-02	9.2694086280e-02	5.5295449651e-02	6.5473089426e-02	-2.8229896441e-02	1.2079075146e-01	8.4255781519e-04	9.2833167327e-03	5.5360701674e-04	-1.6925601452e-03	-1.4559486961e-03	-6.3374069087e-04
4.0000000000e-01	2.1701847061e+00	-8.0640798747e-03	1.6399049731e-02	1.0146707195e-02	1.2511897139e-02	-6.5953429416e-03	2.8241133668e-02	2.6132620590e-04	2.6888628293e-03	1.9337818105e-04	-5.9070028976e-04	-6.1767772893e-04	-2.6077232691e-04
6.0000000000e-01	7.1336275097e-01	-3.0511069056e-03	6.1884126310e-03	3.1005885805e-03	3.8744805985e-03	-2.0524414164e-03	8.7709318681e-03	1.0796861861e-04	8.9019461443e-04	7.1963027718e-05	-2.2262307794e-04	-2.6215472504e-04	-1.1071784076e-04
8.0000000000e-01	2.8688666006e-01	-1.4447707678e-03	2.8854653645e-03	1.4068359802e-03	1.6925604972e-03	-8.9614802450e-04	3.7594186722e-03	6.3866577953e-05	3.4964313464e-04	2.7635199019e-05	-8.9534434153e-05	-1.0973802477e-04	-4.6268602496e-05
1.0000000000e+00	1.2547145939e-01	-6.3893003568e-04	1.3082548385e-03	7.2630262883e-04	8.5932593902e-04	-5.0032167655e-04	2.0517767247e-03	4.7015263831e-05	1.7732194711e-04	1.3602059161e-05	-4.4361771363e-05	-4.8246823510e-05	-2.0224482837e-05
1.2000000000e+00	5.7395837170e-02	-2.4953201257e-04	5.5085549819e-04	3.6952807794e-04	4.5136261545e-04	-2.9891401121e-04	1.2121363310e-03	3.5828398823e-05	1.0732844190e-04	9.1421047727e-06	-2.8230822123e-05	-2.6564190309e-05	-1.1050231449e-05
1.4000000000e+00	2.7051329111e-02	-8.1637527752e-05	2.1218425567e-04	1.7879303888e-04	2.3604574461e-04	-1.7589602755e-04	7.1325321708e-04	2.6321415817e-05	6.8242679143e-05	6.7563367813e-06	-2.0058141260e-05	-1.8331059680e-05	-7.5779147727e-06
1.6000000000e+00	1.3046693544e-02	-1.7772423447e-05	7.2016798780e-05	8.1801334354e-05	1.2196256057e-04	-1.0014106326e-04	4.0905734481e-04	1.8383166394e-05	4.2810807252e-05	4.7951528272e-06	-1.4207687582e-05	-1.3624112180e-05	-5.6014072413e-06
1.8000000000e+00	6.4154941913e-03	2.5696808260e-06	1.8851797626e-05	3.5236236056e-05	6.2318728461e-05	-5.5289426576e-05	2.2857442756e-04	1.2244562555e-05	2.6071666451e-05	3.1822069085e-06	-9.6649137974e-06	-9.9012906901e-06	-4.0469486974e-06
2.0000000000e+00	3.2091900692e-03	6.7633973746e-06	1.0981784904e-06	1.4094134784e-05	3.1573363772e-05	-2.9790544906e-05	1.2502954758e-04	7.8330999082e-06	1.5422121000e-05	1.9886623197e-06	-6.2930409718e-06	-6.8543791582e-06	-2.7836978808e-06
2.2000000000e+00	1.6304372507e-03	5.9477640526e-06	-3.4152339982e-06	5.0407142348e-06	1.5901005664e-05	-1.5757826288e-05	6.7281290006e-05	4.8468877486e-06	8.9028034437e-06	1.1845316058e-06	-3.9454216752e-06	-4.5250446651e-06	-1.8255557359e-06
2.4000000000e+00	8.4025944454e-04	4.1633383178e-06	-3.5772553326e-06	1.4332996016e-06	7.9762799338e-06	-8.2217182577e-06	3.5765717293e-05	2.9186495182e-06	5.0403365411e-06	6.7952264723e-07	-2.3987696848e-06	-2.8706355079e-06	-1.1505496909e-06
2.6000000000e+00	4.3879602157e-04	2.6309085891e-06	-2.6677607838e-06	1.4469323968e-07	3.9912163193e-06	-4.2468290780e-06	1.8842031229e-05	1.7189566188e-06	2.8103152437e-06	3.7840769389e-07	-1.4231178378e-06	-1.7637673163e-06	-7.0254580841e-07
2.8000000000e+00	2.3197375494e-04	1.5692265956e-06	-1.7477595521e-06	-2.2336565424e-07	1.9944634003e-06	-2.1777632639e-06	9.8614952410e-06	9.9416935497e-07	1.5482929151e-06	2.0573378965e-07	-8.2796695186e-07	-1.0564917683e-06	-4.1844649191e-07
3.0000000000e+00	1.2403919932e-04	9.0231828898e-07	-1.0695119356e-06	-2.6304581505e-07	9.9614175871e-07	-1.1110213964e-06	5.1371600579e-06	5.6645827813e-07	8.4503838412e-07	1.0965151650e-07	-4.7424247707e-07	-6.2016743378e-07	-2.4441109729e-07
3.2000000000e+00	6.7028826019e-05	5.0609621865e-07	-6.2777744192e-07	-2.0861101196e-07	4.9756872918e-07	-5.6481945022e-07	2.6673979427e-06	3.1879250377e-07	4.5782435141e-07	5.7452885307e-08	-2.6824219288e-07	-3.5820094020e-07	-1.4057853116e-07
3.4000000000e+00	3.6576611520e-05	2.7889824901e-07	-3.5843932724e-07	-1.4350553002e-07	2.4866390991e-07	-2.8649931772e-07	1.3820144502e-06	1.7757496238e-07	2.4660664720e-07	2.9647962503e-08	-1.5018688731e-07	-2.0421493152e-07	-7.9879194248e-08
3.6000000000e+00	2.0139943602e-05	1.5172895981e-07	-2.0072723503e-07	-9.1705279429e-08	1.2437575128e-07	-1.4514321057e-07	7.1509762879e-07	9.8065683570e-08	1.3223140787e-07	1.5083563979e-08	-8.3394387793e-08	-1.1520270598e-07	-4.4952915676e-08
3.8000000000e+00	1.1181938568e-05	8.1759548468e-08	-1.1083416498e-07	-5.6036348634e-08	6.2275019168e-08	-7.3497225153e-08	3.6977095981e-07	5.3765764830e-08	7.0651205812e-08	7.5676683358e-09	-4.5993589988e-08	-6.4431538446e-08	-2.5104497249e-08
4.0000000000e+00	6.2558942525e-06	4.3741402444e-08	-6.0557939612e-08	-3.3237055273e-08	3.1217804692e-08	-3.7223634667e-08	1.9117885319e-07	2.9297656894e-08	3.7644978205e-08	3.7425461263e-09	-2.5225564533e-08	-3.5782401893e-08	-1.3934668934e-08
