#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	8.5544561035e-02	1.5669493675e-04	-2.4995058274e-04	2.6162976571e-05	-4.9979211141e-06	-4.0987432658e-05	1.7799638312e-04	1.7160703211e-07	1.5135398062e-07	-2.0738731815e-07	3.1437925407e-06	-5.4056572589e-06	-2.0184513208e-06
4.0000000000e-01	7.6762303504e-02	5.8006024415e-05	-1.4784139750e-05	-2.6800203946e-04	-2.6246620591e-04	7.2971363003e-05	-3.2335625425e-04	-8.6925749810e-07	1.6251027399e-05	2.7616359353e-06	-7.7380152989e-06	-4.4813256829e-06	-1.3074295871e-06
6.0000000000e-01	4.5496721684e-02	-3.0715399485e-04	4.5001261370e-04	-6.1509675735e-06	1.2391662467e-05	1.1678534319e-04	-4.8046564773e-04	-1.3359565128e-07	-4.6374554294e-05	-6.6526839748e-07	3.0410486538e-06	-5.5625554268e-06	-2.2398165497e-06
8.0000000000e-01	2.3311246975e-02	-2.5978190271e-04	3.8457625814e-04	1.8611422809e-04	1.8823909440e-04	-9.9773632985e-07	7.1944684103e-06	3.7793566122e-07	-3.3457207094e-05	-4.0333392308e-06	1.0069730536e-05	8.3393814635e-06	3.6817880775e-06
1.0000000000e+00	1.1324953541e-02	-1.2077621540e-04	2.0104725712e-04	1.8570233916e-04	1.9136329766e-04	-6.8810481613e-05	2.8599315473e-04	-5.3871102842e-07	2.1159148950e-06	-2.2364873988e-06	5.4454290193e-06	1.0315743269e-05	4.4521966748e-06
1.2000000000e+00	5.3868315605e-03	-3.3733555238e-05	7.9753886482e-05	1.2403883486e-04	1.3704838688e-04	-7.4855629762e-05	3.1341505721e-04	-5.4952105512e-07	2.0833816629e-05	3.7242566896e-07	-6.2573874201e-07	4.2171133534e-06	1.8181628244e-06
1.4000000000e+00	2.5421140662e-03	2.0902303162e-06	2.3179414892e-05	6.9314272539e-05	8.4739878440e-05	-5.6704977819e-05	2.4070614107e-04	3.8761124314e-08	2.3494271130e-05	1.6143109393e-06	-3.7829357626e-06	-1.4151016621e-06	-6.2115856523e-07
1.6000000000e+00	1.1976967341e-03	1.1548155158e-05	2.1616398048e-06	3.4906992502e-05	4.8582790325e-05	-3.6674208121e-05	1.5829667417e-04	5.1780309879e-07	1.9058053053e-05	1.7204385735e-06	-4.3604878527e-06	-4.0409392632e-06	-1.7478245308e-06
1.8000000000e+00	5.6521247497e-04	1.1050665459e-05	-3.6119719998e-06	1.6339121076e-05	2.6693310549e-05	-2.1760811375e-05	9.5638550725e-05	6.9521424287e-07	1.3309864119e-05	1.3497092761e-06	-3.6890286235e-06	-4.3726276809e-06	-1.8820498557e-06
2.0000000000e+00	2.6765206127e-04	8.0625742083e-06	-4.0131212126e-06	7.1878340309e-06	1.4303212119e-05	-1.2258906162e-05	5.4892188689e-05	6.5294528747e-07	8.5369842855e-06	9.1109452652e-07	-2.6972541003e-06	-3.6385162185e-06	-1.5594250080e-06
2.2000000000e+00	1.2730820641e-04	5.2293917655e-06	-3.0185852957e-06	2.9632250381e-06	7.5496629733e-06	-6.6825648633e-06	3.0486387359e-05	5.1650982217e-07	5.1890115591e-06	5.6141266723e-07	-1.8100012609e-06	-2.6523810713e-06	-1.1325652210e-06
2.4000000000e+00	6.0855683418e-05	3.1779610783e-06	-1.9694931882e-06	1.1216845383e-06	3.9492028448e-06	-3.5655762817e-06	1.6566398895e-05	3.6857687036e-07	3.0421883719e-06	3.2530012569e-07	-1.1485076982e-06	-1.7840564188e-06	-7.5944987824e-07
2.6000000000e+00	2.9242570083e-05	1.8547573725e-06	-1.1944094597e-06	3.6697305336e-07	2.0551128915e-06	-1.8758507845e-06	8.8704017812e-06	2.4556310070e-07	1.7390843962e-06	1.8021122762e-07	-7.0105043511e-07	-1.1372246491e-06	-4.8299028119e-07
2.8000000000e+00	1.4126522277e-05	1.0538552550e-06	-6.9354915703e-07	8.2284505614e-08	1.0665466408e-06	-9.7785332412e-07	4.7020961251e-06	1.5586025874e-07	9.7627403843e-07	9.6413620794e-08	-4.1610648122e-07	-6.9793074609e-07	-2.9598747754e-07
3.0000000000e+00	6.8603629100e-06	5.8779338304e-07	-3.9161915878e-07	-1.0795525752e-08	5.5290202849e-07	-5.0677644814e-07	2.4755560072e-06	9.5455616943e-08	5.4080648069e-07	5.0106276391e-08	-2.4189054820e-07	-4.1659765551e-07	-1.7658491785e-07
3.2000000000e+00	3.3489462858e-06	3.2355876637e-07	-2.1699963629e-07	-3.1818155494e-08	2.8662830550e-07	-2.6173172443e-07	1.2973907250e-06	5.6904391621e-08	2.9663238134e-07	2.5373992328e-08	-1.3840941171e-07	-2.4353100619e-07	-1.0327456851e-07
3.4000000000e+00	1.6430773030e-06	1.7642312043e-07	-1.1868046658e-07	-2.9297790186e-08	1.4870269583e-07	-1.3493830077e-07	6.7794641846e-07	3.3217560325e-08	1.6150099149e-07	1.2530833262e-08	-7.8235459092e-08	-1.4009792458e-07	-5.9498736278e-08
3.6000000000e+00	8.1005783199e-07	9.5534490876e-08	-6.4311646445e-08	-2.1437778767e-08	7.7246191163e-08	-6.9533305252e-08	3.5364042666e-07	1.9074843020e-08	8.7443368003e-08	6.0266893906e-09	-4.3802298006e-08	-7.9598185347e-08	-3.3888192908e-08
3.8000000000e+00	4.0122791940e-07	5.1472040876e-08	-3.4621943303e-08	-1.4167447611e-08	4.0191848720e-08	-3.5844376396e-08	1.8430643382e-07	1.0810029847e-08	4.7148758242e-08	2.8101781840e-09	-2.4340684749e-08	-4.4783298065e-08	-1.9131409694e-08
4.0000000000e+00	1.9961265810e-07	2.7630222669e-08	-1.8552321310e-08	-8.8392061663e-09	2.0950096207e-08	-1.8497735980e-08	9.6031536555e-08	6.0599850216e-09	2.5341529494e-08	1.2596200150e-09	-1.3444463609e-08	-2.4997988348e-08	-1.0725749300e-08
