#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	6.2375561680e+00	-1.9671709120e-02	3.4781526096e-02	6.1190092788e-03	6.4426787370e-03	-2.7441603406e-03	1.0118957861e-02	5.6727906592e-04	3.7870896004e-04	4.7590538696e-05	-1.3789510286e-04	-4.7967527147e-05	-1.8682809709e-05
4.0000000000e-01	1.4815087666e+00	-5.4664288609e-03	9.6494281569e-03	1.6410580911e-03	1.7706830949e-03	-7.5045119345e-04	2.7701477539e-03	1.7171972683e-04	1.1307819301e-04	1.5826579034e-05	-4.4687982130e-05	-1.7492559504e-05	-5.7402702011e-06
6.0000000000e-01	5.5038952661e-01	-2.6061730824e-03	4.6079545317e-03	8.8007851428e-04	9.2129047345e-04	-3.5686425345e-04	1.3225433046e-03	7.1452064856e-05	4.6925692955e-05	6.2699799412e-06	-1.8090043166e-05	-7.8559322884e-06	-2.5401877752e-06
8.0000000000e-01	2.3402808778e-01	-1.2992682886e-03	2.3155314533e-03	5.6135739803e-04	5.6901908822e-04	-2.5422034623e-04	9.3305657953e-04	4.6199119321e-05	3.1662120979e-05	3.3709890115e-06	-9.5372024443e-06	-3.4053330991e-06	-1.0936278775e-06
1.0000000000e+00	1.0544156099e-01	-6.0845243397e-04	1.0944227968e-03	3.3029021333e-04	3.3963537507e-04	-1.8695672463e-04	6.8192872286e-04	3.8543232847e-05	2.6585910997e-05	3.0010623726e-06	-8.1721698773e-06	-2.3879092640e-06	-7.8860806147e-07
1.2000000000e+00	4.9160768967e-02	-2.6664978590e-04	4.8327612696e-04	1.7586096844e-04	1.9138966528e-04	-1.2644636136e-04	4.6184181667e-04	3.1425480376e-05	2.1173414146e-05	2.8385682656e-06	-7.7300426996e-06	-2.4913108489e-06	-8.3666083223e-07
1.4000000000e+00	2.3504345615e-02	-1.0973594855e-04	1.9957253290e-04	8.6071820668e-05	1.0309641321e-04	-7.9023832498e-05	2.9070422014e-04	2.3528251833e-05	1.5346612987e-05	2.3936086714e-06	-6.6410442772e-06	-2.5122573666e-06	-8.4069417698e-07
1.6000000000e+00	1.1473577730e-02	-4.2120902547e-05	7.6204669321e-05	3.9045917244e-05	5.3782117575e-05	-4.6553579142e-05	1.7324182212e-04	1.6338511596e-05	1.0299594572e-05	1.8064091753e-06	-5.1384757500e-06	-2.2325934552e-06	-7.3903445084e-07
1.8000000000e+00	5.7035007624e-03	-1.4676149234e-05	2.5870245534e-05	1.6324061427e-05	2.7424145393e-05	-2.6273604849e-05	9.9254675961e-05	1.0712922677e-05	6.5296461056e-06	1.2528055156e-06	-3.6635760786e-06	-1.7806382638e-06	-5.8159987881e-07
2.0000000000e+00	2.8819643099e-03	-4.2773168343e-06	6.8520291389e-06	6.1072315189e-06	1.3753647775e-05	-1.4369360880e-05	5.5268436630e-05	6.7279151874e-06	3.9690531197e-06	8.1584952463e-07	-2.4566319446e-06	-1.3083591473e-06	-4.2107540327e-07
2.2000000000e+00	1.4781735369e-03	-7.1079149916e-07	4.7245978749e-07	1.8579777658e-06	6.8118729865e-06	-7.6771254463e-06	3.0139667153e-05	4.0888074595e-06	2.3374615942e-06	5.0661259319e-07	-1.5726598706e-06	-9.0347548771e-07	-2.8619897719e-07
2.4000000000e+00	7.6865983984e-04	2.9878372970e-07	-1.1786186925e-06	2.6982085747e-07	3.3407409881e-06	-4.0298990592e-06	1.6183686999e-05	2.4223836092e-06	1.3435084820e-06	3.0326904649e-07	-9.7147545716e-07	-5.9474307172e-07	-1.8526187292e-07
2.6000000000e+00	4.0481486233e-04	4.4538305791e-07	-1.2623819691e-06	-2.1701041141e-07	1.6251451058e-06	-2.0870756226e-06	8.5898870349e-06	1.4064744345e-06	7.5761722833e-07	1.7639701256e-07	-5.8357213108e-07	-3.7707056616e-07	-1.1539823464e-07
2.8000000000e+00	2.1571153462e-04	3.5541945421e-07	-9.5055584050e-07	-2.9272192940e-07	7.8498559694e-07	-1.0697380825e-06	4.5197796290e-06	8.0348360565e-07	4.2076305825e-07	1.0027751940e-07	-3.4285510319e-07	-2.3199519927e-07	-6.9695532827e-08
3.0000000000e+00	1.1619713362e-04	2.3683129135e-07	-6.2687478182e-07	-2.4164735516e-07	3.7667452503e-07	-5.4391407252e-07	2.3626823369e-06	4.5297867378e-07	2.3080890723e-07	5.5960183049e-08	-1.9786037073e-07	-1.3930621050e-07	-4.1048443701e-08
3.2000000000e+00	6.3220396597e-05	1.4461535793e-07	-3.8558045141e-07	-1.6978307872e-07	1.7956629304e-07	-2.7483748013e-07	1.2290474203e-06	2.5260246381e-07	1.2532846954e-07	3.0760178772e-08	-1.1253375503e-07	-8.1996574210e-08	-2.3680368641e-08
3.4000000000e+00	3.4714853102e-05	8.3870307092e-08	-2.2726233896e-07	-1.0997367756e-07	8.5009734457e-08	-1.3820318610e-07	6.3703535850e-07	1.3958783284e-07	6.7480205208e-08	1.6698454762e-08	-6.3242818181e-08	-4.7472314672e-08	-1.3426676546e-08
3.6000000000e+00	1.9224167409e-05	4.7020051416e-08	-1.3018805636e-07	-6.7834002428e-08	3.9932326204e-08	-6.9235300308e-08	3.2932717155e-07	7.6549094873e-08	3.6076787711e-08	8.9710170833e-09	-3.5191476513e-08	-2.7106999581e-08	-7.5028837388e-09
3.8000000000e+00	1.0728840117e-05	2.5739152881e-08	-7.3093317244e-08	-4.0509838112e-08	1.8585348560e-08	-3.4583885948e-08	1.6994554926e-07	4.1708769245e-08	1.9172789489e-08	4.7774740367e-09	-1.9421283597e-08	-1.5299031897e-08	-4.1411148253e-09
4.0000000000e+00	6.0304710762e-06	1.3843729792e-08	-4.0436235773e-08	-2.3650017591e-08	8.5515520772e-09	-1.7236400096e-08	8.7597618521e-08	2.2601178014e-08	1.0137823007e-08	2.5253442013e-09	-1.0644218639e-08	-8.5497783405e-09	-2.2615590230e-09
