#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.1993994772e+01	-5.0453922522e-02	9.1850980185e-02	5.5008515843e-02	6.5200939310e-02	-2.8124698795e-02	1.2027696276e-01	8.1383448406e-04	9.2160353934e-03	5.5537881162e-04	-1.6968311343e-03	-1.4482209965e-03	-6.3316108217e-04
4.0000000000e-01	2.1614095005e+00	-8.0700229528e-03	1.6255063980e-02	1.0090899130e-02	1.2455849253e-02	-6.5699665433e-03	2.8119488117e-02	2.5358739121e-04	2.6695929375e-03	1.9387876785e-04	-5.9253376521e-04	-6.1538900026e-04	-2.6055462076e-04
6.0000000000e-01	7.1054498494e-01	-3.0508447486e-03	6.1409057619e-03	3.0833740708e-03	3.8562174506e-03	-2.0440234213e-03	8.7323583124e-03	1.0536251076e-04	8.8376783008e-04	7.2188563151e-05	-2.2322215563e-04	-2.6111345705e-04	-1.1063898856e-04
8.0000000000e-01	2.8577596072e-01	-1.4433275748e-03	2.8652990344e-03	1.3993231787e-03	1.6845702509e-03	-8.9227150085e-04	3.7426816885e-03	6.2698968789e-05	3.4712420010e-04	2.7738193520e-05	-8.9719696041e-05	-1.0928562796e-04	-4.6219301524e-05
1.0000000000e+00	1.2499483001e-01	-6.3806985393e-04	1.2993739406e-03	7.2247104149e-04	8.5534512889e-04	-4.9810849059e-04	2.0426170209e-03	4.6279399790e-05	1.7608453405e-04	1.3646751707e-05	-4.4407398937e-05	-4.8032327189e-05	-2.0195703517e-05
1.2000000000e+00	5.7182006796e-02	-2.4923287109e-04	5.4705119672e-04	3.6750584359e-04	4.4929962103e-04	-2.9756674701e-04	1.2067051493e-03	3.5301901838e-05	1.0660604481e-04	9.1540822901e-06	-2.8229726207e-05	-2.6445251360e-05	-1.1033837708e-05
1.4000000000e+00	2.6952628051e-02	-8.1613488475e-05	2.1062730035e-04	1.7773461764e-04	2.3496668742e-04	-1.7508380189e-04	7.1003154015e-04	2.5953055951e-05	6.7794452821e-05	6.7552338937e-06	-2.0042205330e-05	-1.8252666669e-05	-7.5685479401e-06
1.6000000000e+00	1.3000167891e-02	-1.7839132948e-05	7.1417080648e-05	8.1257506721e-05	1.2139690038e-04	-9.9664697408e-05	4.0718682131e-04	1.8139324820e-05	4.2532474004e-05	4.7916583104e-06	-1.4189155150e-05	-1.3567650041e-05	-5.5952197412e-06
1.8000000000e+00	6.3931887217e-03	2.4930484542e-06	1.8641271294e-05	3.4962068822e-05	6.2021812579e-05	-5.5017478817e-05	2.2751236720e-04	1.2091162496e-05	2.5901992073e-05	3.1799290832e-06	-9.6484952312e-06	-9.8599410412e-06	-4.0422431723e-06
2.0000000000e+00	3.1983412303e-03	6.7025438398e-06	1.0366713233e-06	1.3958332594e-05	3.1417171460e-05	-2.9638664963e-05	1.2443736299e-04	7.7404476920e-06	1.5320733087e-05	1.9879431096e-06	-6.2801688653e-06	-6.8247179182e-06	-2.7799242799e-06
2.2000000000e+00	1.6250933382e-03	5.9058405949e-06	-3.4247121923e-06	4.9745668371e-06	1.5818612049e-05	-1.5674394151e-05	6.6955517130e-05	4.7926494433e-06	8.8432330956e-06	1.1847834345e-06	-3.9360520110e-06	-4.5044190470e-06	-1.8225541345e-06
2.4000000000e+00	8.3759692810e-04	4.1365340458e-06	-3.5716406890e-06	1.4016270461e-06	7.9326812103e-06	-8.1764371784e-06	3.5588208183e-05	2.8876441772e-06	5.0057918304e-06	6.8017326619e-07	-2.3922947414e-06	-2.8567344030e-06	-1.1482471722e-06
2.6000000000e+00	4.3745556164e-04	2.6145254283e-06	-2.6598819059e-06	1.2980740122e-07	3.9680681678e-06	-4.2224617899e-06	1.8745936330e-05	1.7015545380e-06	2.7904811169e-06	3.7910735958e-07	-1.4188121299e-06	-1.7546549420e-06	-7.0084848123e-07
2.8000000000e+00	2.3129236792e-04	1.5594994277e-06	-1.7413109278e-06	-2.3021081035e-07	1.9821331950e-06	-2.1647226209e-06	9.8096919175e-06	9.8454094561e-07	1.5369891190e-06	2.0632838866e-07	-8.2518733286e-07	-1.0506589470e-06	-4.1724088959e-07
3.0000000000e+00	1.2368972448e-04	8.9665363867e-07	-1.0650306754e-06	-2.6610755884e-07	9.8955178641e-07	-1.1040662107e-06	5.1093023397e-06	5.6119110011e-07	8.3863240380e-07	1.1010093926e-07	-4.7248957256e-07	-6.1650748490e-07	-2.4358178216e-07
3.2000000000e+00	6.6848083874e-05	5.0284080833e-07	-6.2489848646e-07	-2.0992976329e-07	4.9403506371e-07	-5.6111584270e-07	2.6524346694e-06	3.1593686092e-07	4.5420915926e-07	5.7769489012e-08	-2.6715735448e-07	-3.5594231828e-07	-1.4002313049e-07
3.4000000000e+00	3.6482403322e-05	2.7704452682e-07	-3.5667132797e-07	-1.4404221008e-07	2.4676284722e-07	-2.8452772028e-07	1.3739788019e-06	1.7603810399e-07	2.4457283642e-07	2.9860786125e-08	-1.4952567216e-07	-2.0284030985e-07	-7.9515182022e-08
3.6000000000e+00	2.0090479888e-05	1.5067995747e-07	-1.9967174571e-07	-9.1903360897e-08	1.2334964323e-07	-1.4409280973e-07	7.1078008301e-07	9.7243589367e-08	1.3108998822e-07	1.5222026530e-08	-8.2996406266e-08	-1.1437577224e-07	-4.4718691244e-08
3.8000000000e+00	1.1155789729e-05	8.1168453244e-08	-1.1021572494e-07	-5.6095455286e-08	6.1719367831e-08	-7.2936723606e-08	3.6744876370e-07	5.3328275441e-08	7.0011751925e-08	7.6555802288e-09	-4.5756482752e-08	-6.3938910763e-08	-2.4956068547e-08
4.0000000000e+00	6.2419820170e-06	4.3409242447e-08	-6.0200210247e-08	-3.3244048897e-08	3.0915931741e-08	-3.6923880067e-08	1.8992811241e-07	2.9065895867e-08	3.7287204442e-08	3.7973832143e-09	-2.5085532206e-08	-3.5491320255e-08	-1.3841815705e-08
