# pT 	1/Nev dN/dpT (2to2) 	error (2to2) 	1/Nev dN/dpT (Brems) 	error (Brems) 
0.02	0.0288429389448	0.00064202363509	131.688700332	0.0697080165377
0.06	0.342387932001	0.00219748278638	46.7977152583	0.0243750330655
0.1	0.761863980294	0.00287080033996	28.1367461496	0.0161034886289
0.14	1.02182015533	0.00331534244129	18.6049193983	0.0127936592988
0.18	1.12724408071	0.00308243091112	12.9579271322	0.0100084479157
0.22	1.12711621528	0.00286185816983	9.31359752605	0.00844155567083
0.26	1.06907768563	0.00245646777049	6.85392380016	0.00672821370841
0.3	0.986095654738	0.00230017952409	5.12020413877	0.00561518075268
0.34	0.890889078245	0.00200233541843	3.88509252004	0.00462805829114
0.38	0.800649365352	0.00170598187077	2.97530399402	0.00408442419956
0.42	0.710072274896	0.00156379034554	2.29331173227	0.00370799958924
0.46	0.629653743221	0.00144547510891	1.78747113303	0.00321614399875
0.5	0.553901565504	0.00119070449504	1.39545731819	0.00250369953627
0.54	0.489061794921	0.00108634246335	1.0965149263	0.00224011099002
0.58	0.431135081152	0.000917373232342	0.8661852497	0.00208762134305
0.62	0.379667861605	0.000812409994514	0.689314371548	0.00186392355444
0.66	0.334998828876	0.000727518719637	0.54893280742	0.00162022859923
0.7	0.295749335987	0.000663017531153	0.438481525686	0.00138346829015
0.74	0.259761670141	0.00058883614468	0.351158796531	0.00120644980318
0.78	0.229724244771	0.000557751858212	0.282458402034	0.0010799229137
0.82	0.202573599379	0.000509535100538	0.226649265048	0.000939368606442
0.86	0.178431911849	0.000444662616886	0.18383535937	0.000917780133499
0.9	0.157345250237	0.000356355684805	0.147907895355	0.000779882713157
0.94	0.139258810241	0.000370400170798	0.11981036751	0.000692577096559
0.98	0.123180414412	0.000341338576191	0.0982613198977	0.00064658985714
1.02	0.10950679672	0.000288263738804	0.0794744041594	0.000578802669784
1.06	0.096623708676	0.000278621352497	0.0653835656877	0.000511975185892
1.1	0.0853460952816	0.00024601946788	0.0529417710694	0.000457187710044
1.14	0.0756510350118	0.000218451952285	0.0444200466641	0.000436677682938
1.18	0.0675728256491	0.000198164768472	0.0357143556276	0.000378054459365
1.22	0.0593856100573	0.000189644864851	0.0297466886525	0.000337635521746
1.26	0.0527323352276	0.000173514393143	0.0243970359325	0.000316423102057
1.3	0.046867886008	0.000169065281837	0.0198458811856	0.000284852148266
1.34	0.0416725474695	0.000146913411196	0.0163032364532	0.000251879616435
1.38	0.0367600049389	0.00013272629921	0.013901120411	0.000228588284353
1.42	0.0327502676419	0.000118023248436	0.0111695695525	0.000199373116711
1.46	0.0292873882637	0.000104095093831	0.00901467532244	0.000187848555782
1.5	0.0260517098478	0.000102204474955	0.00751998691127	0.000161746417859
1.54	0.0232327061506	9.88753669443e-05	0.00641706466448	0.00015737634752
1.58	0.0206009879468	8.42970052697e-05	0.00519232450436	0.000141568704534
1.62	0.0183488965591	7.8924082078e-05	0.00470123732462	0.000146074617128
1.66	0.0163211889759	7.52501327006e-05	0.00375966826826	0.000124291523863
1.7	0.0146066728739	6.83967200962e-05	0.00308744409377	0.000107438948204
1.74	0.0130279631714	5.88370957872e-05	0.00260854226349	9.78806503718e-05
1.78	0.0114847524995	5.73990022023e-05	0.0021007959522	8.39377339131e-05
1.82	0.0102732434485	5.17140368473e-05	0.00174919366427	8.01783751799e-05
1.86	0.0091751037942	5.11431050978e-05	0.00147697175732	7.52376537017e-05
1.9	0.00819205784064	4.55916823482e-05	0.00133613740043	7.20064503314e-05
1.94	0.0073035367556	4.37785924697e-05	0.00113033207621	7.18736905852e-05
1.98	0.00642690783231	3.82148247711e-05	0.000910644034454	6.56224984531e-05
2.02	0.00584754554415	3.56254222044e-05	0.000728795129238	5.38672832303e-05
2.06	0.00520111638922	3.6639215046e-05	0.000638483703514	5.65320069772e-05
2.1	0.00462384046248	3.19083476666e-05	0.000507472107031	4.81991864914e-05
2.14	0.00414363223509	2.83259325426e-05	0.000485291673443	4.58258319836e-05
2.18	0.00376568465365	2.98709261301e-05	0.000331020230835	3.1427238538e-05
2.22	0.00327883351497	2.60147176864e-05	0.000309032554822	3.16423757878e-05
2.26	0.00292476602335	2.24801062261e-05	0.000324886462943	4.03254586807e-05
2.3	0.00259865732848	2.0913985679e-05	0.000222840818895	2.77289615714e-05
2.34	0.00234720615315	2.0405193106e-05	0.000199912483273	3.00500236189e-05
2.38	0.00212506244918	2.16020430592e-05	0.000173295920812	2.4491691786e-05
2.42	0.00184111600389	1.77604568352e-05	0.000160838280043	2.78038106339e-05
2.46	0.00171434166431	1.90281067503e-05	9.27425988974e-05	1.80455004305e-05
2.5	0.0015676028391	1.71852762933e-05	7.78643573681e-05	1.82166663186e-05
2.54	0.00132676294453	1.42551996986e-05	8.40054720824e-05	1.63026509681e-05
2.58	0.00122380654956	1.45832067364e-05	6.0809339369e-05	1.80200351006e-05
2.62	0.00107028207431	1.24384355845e-05	7.47668699499e-05	1.91159485678e-05
2.66	0.000958834356086	1.35459939742e-05	5.27225657048e-05	1.51108463671e-05
2.7	0.000858520261464	1.1089006261e-05	3.26291901774e-05	9.45246772709e-06
2.74	0.000769021196542	1.09664482533e-05	3.12337244456e-05	9.49217996469e-06
2.78	0.000689953759917	1.12257099347e-05	3.51722590882e-05	1.01887422423e-05
2.82	0.000625093186143	9.85958904207e-06	2.00124564778e-05	5.37206652385e-06
2.86	0.00055848693548	8.31109884534e-06	2.9884110575e-05	9.68177969874e-06
2.9	0.000493657777131	8.57072789512e-06	8.94067595522e-06	3.39383827712e-06
2.94	0.000443682063223	7.36119532052e-06	2.767408184e-05	1.26079773154e-05
2.98	0.000404044579202	7.50016424425e-06	4.56864490729e-05	1.92120484517e-05
3.02	0.000360513043641	6.24814943858e-06	2.05564825264e-05	1.14575969667e-05
3.06	0.000324513042982	6.367209851e-06	1.41154283832e-05	8.47491819003e-06
3.1	0.000290072065352	6.5915888863e-06	3.92844986668e-06	2.05098054271e-06
3.14	0.000251702706824	5.34067141054e-06	1.55749347085e-05	1.09484840279e-05
3.18	0.000241568735972	5.73594211186e-06	1.99958017509e-06	1.05911718565e-06
3.22	0.000203084928434	4.81766726188e-06	3.32667396399e-06	1.53153358025e-06
3.26	0.000189526474366	5.33218056283e-06	6.6977949102e-06	4.29159202078e-06
3.3	0.000162544360088	4.52530387476e-06	6.83973335423e-07	6.51656286981e-07
3.34	0.000151203673378	4.3142465542e-06	7.8859744079e-06	4.36846242951e-06
3.38	0.00013760228868	4.33917252391e-06	1.4691816398e-06	1.11410381065e-06
3.42	0.000125970794605	4.4068240214e-06	2.63078104065e-07	2.61333649161e-07
3.46	0.000105741990847	3.31148533054e-06	1.43834911461e-06	1.43549305999e-06
3.5	9.78530750132e-05	2.71546484924e-06	2.1487462011e-06	1.25650442161e-06
3.54	7.90524621956e-05	2.7031935316e-06	1.64007463492e-06	1.049389914e-06
3.58	7.37700160448e-05	2.86816962324e-06	7.51340027603e-08	7.35913206401e-08
3.62	7.38156985132e-05	2.62876312514e-06	2.26224570483e-07	1.63758211234e-07
3.66	6.40648435156e-05	2.57691855865e-06	0.0	0.0
3.7	6.10958452314e-05	2.61434323421e-06	4.53295952748e-07	3.18704820636e-07
3.74	4.84596722883e-05	2.06237563744e-06	0.0	0.0
3.78	4.57952437538e-05	2.17211441163e-06	0.0	0.0
3.82	4.1209091238e-05	2.05111927313e-06	2.32191466849e-07	2.32191466849e-07
3.86	3.62849046988e-05	1.81153846378e-06	0.0	0.0
3.9	3.35288589444e-05	2.06897381136e-06	4.10978671137e-09	4.10978671137e-09
3.94	3.02702529471e-05	1.67463869686e-06	4.06580380742e-06	4.06580380742e-06
3.98	2.73329121318e-05	1.74339016935e-06	2.65093432485e-08	2.65093432485e-08
