# pT 	1/Nev dN/dpT (2to2) 	error (2to2) 	1/Nev dN/dpT (Brems) 	error (Brems) 
0.02	0.0296978150278	0.000499660407973	131.810528409	0.0515587656037
0.06	0.349784049352	0.00156945996225	46.7864551471	0.0166052069701
0.1	0.762781082242	0.00208597793848	28.1258587726	0.0116039371139
0.14	1.02385709329	0.00223640098695	18.6345796636	0.00885317949809
0.18	1.12606368652	0.00209104849675	12.9762596003	0.00692284672461
0.22	1.12925274788	0.00202950440757	9.33420575421	0.00578171021138
0.26	1.06826521651	0.00175985748615	6.86335587503	0.00464869793924
0.3	0.986551966376	0.00162954450512	5.1303005588	0.0040833051342
0.34	0.893945117135	0.00139300060294	3.88439845141	0.0035489749507
0.38	0.798097966126	0.00127430100937	2.97041014884	0.00285956172536
0.42	0.710814593824	0.00110760118314	2.29296482652	0.00240983776367
0.46	0.628991560091	0.000998945702848	1.78346018806	0.0021527936242
0.5	0.55614936986	0.000836032326987	1.39719253178	0.00182251076106
0.54	0.490848318304	0.000770012720667	1.09651946144	0.00159074045234
0.58	0.432889341239	0.000678523140883	0.866933892816	0.00142126503136
0.62	0.38105494647	0.0006169759778	0.687361501548	0.00124642033364
0.66	0.335337758177	0.000526011364308	0.546953672273	0.00106872038859
0.7	0.295576551013	0.000495579483101	0.437692198256	0.000985327953714
0.74	0.260737007161	0.000429147100718	0.349630343246	0.000844648142642
0.78	0.229073049274	0.000376728490879	0.281598134956	0.000779446578953
0.82	0.202389855391	0.000341340599929	0.226556154898	0.000685328167705
0.86	0.178743823987	0.000311322568852	0.183329299971	0.000607351085072
0.9	0.157988957587	0.000272909700952	0.148128253813	0.000565777145265
0.94	0.139364108238	0.00025661860178	0.120198427741	0.000489332193748
0.98	0.123363673417	0.000238294054436	0.0985018772616	0.000452108484475
1.02	0.109466115846	0.000233213205867	0.0796979808047	0.000412191184354
1.06	0.0965486014108	0.000194708792892	0.0652830412558	0.000366370601759
1.1	0.085250104222	0.000171899316221	0.0526209380484	0.000329182674652
1.14	0.075764192196	0.00015165591297	0.0435851270913	0.000295435730836
1.18	0.067102228705	0.000141287066875	0.0360185762626	0.000277613061318
1.22	0.0598207228682	0.000128576894174	0.0289619763415	0.00022945177824
1.26	0.0527394130058	0.000117767260014	0.0240986830453	0.000211372277435
1.3	0.0468067218819	0.000111319631458	0.0197844679901	0.000198150483805
1.34	0.0416403765725	0.00010126279825	0.0167374072935	0.000186455679149
1.38	0.037082389993	9.57128458851e-05	0.0139078313413	0.000158135699393
1.42	0.0327952628773	8.46719296933e-05	0.0109632441014	0.000144085627166
1.46	0.0291488712958	7.90609039895e-05	0.00915860472088	0.000130512626899
1.5	0.02596002491	7.39140165042e-05	0.0076323786562	0.000121340471961
1.54	0.0231538627165	6.91008477804e-05	0.00633684895134	0.000113601233059
1.58	0.020564525508	6.07368318569e-05	0.0053262625503	0.000100521087777
1.62	0.0183693544932	5.71900358064e-05	0.00459091252168	9.41622972593e-05
1.66	0.0163954384616	5.36310036756e-05	0.00370558573456	8.53996918874e-05
1.7	0.0144256377965	4.6944259001e-05	0.00301724552415	7.54694746364e-05
1.74	0.0129459998625	4.36145523122e-05	0.00250342100728	7.03118128496e-05
1.78	0.0116107103421	4.49252762764e-05	0.00217289897761	6.61774877055e-05
1.82	0.0102653531082	3.82409928934e-05	0.00179883631022	6.19084621982e-05
1.86	0.00916316475607	3.50652493173e-05	0.00143014266645	4.9410365614e-05
1.9	0.008161326704	3.37994873694e-05	0.00123825887001	4.92653476723e-05
1.94	0.00730131104099	3.02283913585e-05	0.00102517035464	4.36855369544e-05
1.98	0.00654015321353	2.91470664898e-05	0.000978012870476	4.40552016482e-05
2.02	0.00589802495448	2.83506187542e-05	0.000693597207351	3.52188352722e-05
2.06	0.00521897450114	2.50940464564e-05	0.000591173823063	3.10879877919e-05
2.1	0.00463125698548	2.26011713305e-05	0.000487345218828	3.12494501363e-05
2.14	0.00414487132497	2.22889474569e-05	0.000441654949047	2.97237970947e-05
2.18	0.00367682676642	1.93258461639e-05	0.000349979464867	2.49558811569e-05
2.22	0.00329773275631	1.79171900377e-05	0.000298071428359	2.20316010849e-05
2.26	0.00292012950667	1.60482848739e-05	0.000255860166032	2.20006271353e-05
2.3	0.00264268357402	1.66769772543e-05	0.000246891094478	2.29311944424e-05
2.34	0.00237716298336	1.52401857984e-05	0.00014845749228	1.45967678307e-05
2.38	0.00212381293918	1.50392362523e-05	0.000142673249849	1.48250936455e-05
2.42	0.00191332827702	1.37142698495e-05	0.000120219695217	1.41393568943e-05
2.46	0.00168887773685	1.24035644154e-05	0.000116313544977	1.77355705738e-05
2.5	0.00151638059103	1.16620996342e-05	9.77341183808e-05	1.35526013156e-05
2.54	0.00135217696758	1.10301665427e-05	5.14766797989e-05	7.57276717214e-06
2.58	0.00120115821758	9.85263410831e-06	7.01934869146e-05	1.10423263857e-05
2.62	0.00105302868974	8.76185583408e-06	4.79926652985e-05	8.82203306003e-06
2.66	0.000976493776729	8.82995825757e-06	4.51401317561e-05	8.25345028533e-06
2.7	0.000869296959759	7.67078341629e-06	2.76835890472e-05	6.87965871652e-06
2.74	0.000777885169369	9.31918897463e-06	4.58236798112e-05	1.19058259554e-05
2.78	0.000690494207375	7.03819924158e-06	3.64310387018e-05	9.80910140662e-06
2.82	0.000615474872964	6.19253717867e-06	1.04862048936e-05	2.37996187996e-06
2.86	0.000550556732697	5.90306482558e-06	1.94764095568e-05	5.92614155639e-06
2.9	0.000503464160326	7.10961210997e-06	1.80558873325e-05	4.38127675293e-06
2.94	0.000440239451806	5.0996700964e-06	1.95769379574e-05	6.99261254356e-06
2.98	0.000396287175363	5.23569506628e-06	1.27894173842e-05	4.4708748585e-06
3.02	0.000357250461313	4.93949966398e-06	6.73725560446e-06	3.77339920479e-06
3.06	0.000323646393925	4.55728019672e-06	6.89754900492e-06	3.43872887296e-06
3.1	0.000286684933946	4.08643492843e-06	7.07849411578e-06	3.07062749693e-06
3.14	0.000253793986136	3.7896925369e-06	1.4488357532e-05	6.5188207174e-06
3.18	0.000234230061819	4.06732803051e-06	3.78170412647e-06	1.65391114482e-06
3.22	0.000208371770259	3.47776307186e-06	3.86983895645e-06	1.84127846809e-06
3.26	0.000192334817422	3.41089489071e-06	3.95719862591e-06	2.03407434727e-06
3.3	0.000165836811616	3.159448776e-06	2.96159169408e-06	1.66837766767e-06
3.34	0.000146181277244	2.80871544153e-06	2.19228611278e-06	1.16855150045e-06
3.38	0.000131384182107	2.73926710668e-06	4.69121002058e-06	3.70665820307e-06
3.42	0.000121537262335	2.47900179133e-06	7.73895053976e-06	5.6818909334e-06
3.46	0.000107646497152	2.39247577813e-06	5.61887486873e-07	4.68805445433e-07
3.5	9.76488028201e-05	2.28251838799e-06	1.01444423785e-06	6.64856889415e-07
3.54	8.69246120142e-05	2.06908996832e-06	2.61657204267e-07	2.16737865005e-07
3.58	7.86985280028e-05	2.0282759743e-06	3.47519898519e-07	3.0117737952e-07
3.62	7.22188542418e-05	2.08160172303e-06	1.29017127156e-06	7.14801770065e-07
3.66	6.23506548557e-05	1.83527738445e-06	8.5834092996e-07	6.0093112975e-07
3.7	5.91877745286e-05	1.6602481759e-06	4.07985884706e-07	2.62177562799e-07
3.74	5.18170279267e-05	1.69865554345e-06	0.0	0.0
3.78	4.806384097e-05	1.54786087016e-06	1.2727873794e-06	1.26998538882e-06
3.82	3.94950313982e-05	1.40017933502e-06	6.56134877872e-08	6.40312700179e-08
3.86	3.65151845986e-05	1.43274504977e-06	1.24269334523e-06	1.15957528474e-06
3.9	3.2356060193e-05	1.30809918334e-06	0.0	0.0
3.94	2.91478663458e-05	1.15892992103e-06	4.00034776476e-07	4.00034776476e-07
3.98	2.47585576535e-05	1.0824422197e-06	1.23405692936e-07	1.23405692936e-07
