# t 	dNdt (2to2) 	error (2to2) 	dNdt (Brems) 	error (Brems) 
0.25	0.0	0.0	0.0129374830334	6.82209388416e-05
0.75	8.59867355505e-06	1.6991688865e-06	0.172104667173	0.000232982265896
1.25	4.30427272406e-05	4.15371083798e-06	0.328312129687	0.00032160859491
1.75	9.32699599457e-05	7.74447551188e-06	0.17216727004	0.000209815174025
2.25	0.000181090184761	9.37527448533e-06	0.0856508248864	0.000136577968843
2.75	0.000276260227653	1.09788052027e-05	0.0470715419312	0.000101686505525
3.25	0.000471856655853	1.6346889269e-05	0.0287123339232	6.70583508857e-05
3.75	0.000725353231495	2.11915996425e-05	0.019062294853	5.59543094173e-05
4.25	0.00105627888629	2.52511954683e-05	0.0132416686151	4.46476555879e-05
4.75	0.00138152672566	2.92942356598e-05	0.00986336561391	3.84621563298e-05
5.25	0.00176044334856	3.22739342814e-05	0.0076183874529	3.10319443488e-05
5.75	0.00225488692858	3.45998277616e-05	0.00568224821159	2.56410823539e-05
6.25	0.00291605950196	4.23633646515e-05	0.00479870430002	2.35228446043e-05
6.75	0.00360902297192	4.58955290561e-05	0.00359116926014	2.08034477029e-05
7.25	0.00435785075531	5.37618954748e-05	0.00319692412989	1.93814445634e-05
7.75	0.00557004576286	5.77525657979e-05	0.00245965535956	1.50197519926e-05
8.25	0.00755792838969	6.98717860678e-05	0.00217514361341	1.4309781544e-05
8.75	0.00946519322902	7.77766320065e-05	0.00189048045892	1.44661722963e-05
9.25	0.0112690080296	8.33309534777e-05	0.00149500206269	1.1391516187e-05
9.75	0.0139892950885	9.28157081246e-05	0.0014139337761	1.15232611419e-05
10.25	0.0156348825277	0.000103438148869	0.00119111577265	8.90437518684e-06
10.75	0.0164888961077	0.000111072164887	0.000994286853077	8.93777878417e-06
11.25	0.0168186111531	0.000116285137736	0.000921318856265	8.30416044572e-06
11.75	0.0168907768556	0.00012044874991	0.000868287989902	8.15992992383e-06
12.25	0.0166841593873	0.00011642040005	0.000742230198977	7.17864961746e-06
12.75	0.0164869962028	0.000125461216651	0.0006270881998	5.8561224676e-06
13.25	0.0160317871857	0.000120290243378	0.000601049033674	6.04118984252e-06
13.75	0.0149740349119	0.000116901080459	0.000570639076324	6.14792783198e-06
14.25	0.014552593081	0.00011837201063	0.000479303852524	5.47332863651e-06
14.75	0.0140055925184	0.00012032514671	0.000418355285394	5.2969631101e-06
15.25	0.0131850450607	0.0001100059822	0.000402438913123	5.3155221465e-06
15.75	0.0126313561211	0.000104513806408	0.00038620211558	5.03555059174e-06
16.25	0.0118758580959	0.000108423124142	0.0003586938951	4.29513809725e-06
16.75	0.011220923932	0.000108582336549	0.000309053982198	4.11327630019e-06
17.25	0.0105334323047	0.000108162547271	0.00028315520393	4.03481743135e-06
17.75	0.00968743943546	9.49350554402e-05	0.000258765970532	3.83290541846e-06
18.25	0.009374064048	9.52529570205e-05	0.00025521019807	3.63116830782e-06
18.75	0.00879992021451	9.3720076451e-05	0.000247693305678	3.80042746145e-06
19.25	0.00815850987938	8.98596323407e-05	0.00022555869574	3.76458244583e-06
19.75	0.00765838908108	8.86808731888e-05	0.000202094082512	2.9875902002e-06
20.25	0.00710386070196	8.32050544255e-05	0.000179386952318	2.93343725914e-06
20.75	0.00693267499781	8.54053729232e-05	0.000170980311752	2.88222630342e-06
21.25	0.00647469316028	7.95319911196e-05	0.000170604903042	2.65506195271e-06
21.75	0.00610011440484	8.26594434558e-05	0.000166450417042	2.57568306901e-06
22.25	0.00570778108649	7.81667470754e-05	0.000154641396549	2.56344004563e-06
22.75	0.00524972025836	7.42061556008e-05	0.000144156267345	2.56555424185e-06
23.25	0.00495081520222	7.15166242262e-05	0.000129247792917	2.46400912326e-06
23.75	0.00479240828645	6.85090372372e-05	0.000114549425269	2.11848379527e-06
24.25	0.00443958190359	6.77827883806e-05	0.000113357776426	2.179244346e-06
24.75	0.00450681352836	7.45518320619e-05	0.000112051252364	2.32543716165e-06
25.25	0.00417600619155	6.79662914992e-05	0.00010850290588	2.0822855433e-06
25.75	0.00378575537487	6.30682808327e-05	0.000109465685552	2.40058060162e-06
26.25	0.00364643597217	6.38402736721e-05	9.76262371819e-05	1.80608372721e-06
26.75	0.0034590224329	5.85446526508e-05	9.10642607827e-05	1.99607229624e-06
27.25	0.00327767490703	6.10813760449e-05	8.28075697554e-05	1.7157627262e-06
27.75	0.00317990743697	5.75873639101e-05	7.77545902633e-05	1.72020179271e-06
