# integrated v2 already divided by Nevents
# t 	v2_int (2to2) 	v2_int_error (2to2) 	v2_int (brems) 	v2_int_error (brems) 	v2_int (tot) 	v2_int_error (tot) 
0	0	0	0	0	0	0
#1	0.0120881199929	0.02755019541	0.0456916539128	0.0317268863886	0.0472803268131	0.0268456922177
2	-0.00288859028226	0.00989996176639	0.0100197736983	0.0129235449157	0.00878562293761	0.0126143781426
3	-0.000565494507945	0.00733783979459	0.0175924884587	0.00783965864993	0.0166962524122	0.00765528170059
5	0.00925126113148	0.00444739787649	0.0387974132756	0.00314134916609	0.0379703158447	0.00305541182568
10	0.0120266261117	0.00127818708618	0.0317699646513	0.000830538850306	0.0311787033345	0.000804561108625
20	0.00854866043687	0.000697655051428	0.0265018228972	0.000398321090178	0.0259328974293	0.000387379307332
50	0.00833740125226	0.000541391748182	0.0270040304768	0.00029312890859	0.0265044211906	0.00028651055898
100	0.00776864524073	0.000522654741958	0.0271069417694	0.000264263163498	0.0266332411419	0.000258407749686
200	0.00753556397814	0.000500590300231	0.0264767105628	0.000246348430824	0.0260344822521	0.000241497037916
500	0.00744965694094	0.000499868284324	0.0257672274273	0.000236930087587	0.0253486952459	0.000232706965763
10000	0.00740991824841	0.000498365594363	0.0256173932627	0.000235062154631	0.0252018522471	0.000230848929214
