# pT 	1/Nev dN/dpT (2to2) 	error (2to2) 	1/Nev dN/dpT (Brems) 	error (Brems) 
0.015	2.71430688016	0.415259206876	61.728972573	0.0275116413685
0.045	2.43158250407	0.3525020977	19.4850941893	0.00871797663442
0.075	1.56404925379	0.199985660383	11.5467384226	0.00587298662855
0.105	1.1297503994	0.117793961668	7.67548269203	0.00439568991606
0.135	0.91072707628	0.0727303163671	5.38637563333	0.00331747976977
0.165	0.781683365021	0.046254270673	3.91311737603	0.00277025128103
0.195	0.699702829216	0.0307057108622	2.91079955624	0.00231749999755
0.225	0.634223045825	0.020903414378	2.20462931594	0.00193395744972
0.255	0.571737779388	0.0144860155433	1.68839745449	0.0016779593652
0.285	0.524584669013	0.0103720879009	1.31252845043	0.00140102323206
0.315	0.476632134659	0.00753257841306	1.0253615358	0.0012179321337
0.345	0.431696490294	0.00547874233855	0.809732787845	0.00103972213535
0.375	0.391882895787	0.00413377004022	0.641626152501	0.000950698375486
0.405	0.354101405451	0.00306570123175	0.512904476458	0.000795520825298
0.435	0.319393171591	0.00237355431235	0.410559371809	0.000697782032615
0.465	0.288187191927	0.00189847310381	0.331420171565	0.000620592914412
0.495	0.25937167746	0.00145807443589	0.267527952058	0.000570162360857
0.525	0.232990181744	0.00119848745639	0.216365431186	0.000491305074952
0.555	0.210292101635	0.00093921434366	0.176386098302	0.000439809379237
0.585	0.188805634326	0.000778252939222	0.144698592732	0.000409124284144
0.615	0.170113587344	0.00065590412241	0.118328542759	0.000361780244323
0.645	0.153297115094	0.000554073993799	0.0969029630125	0.000314214311095
0.675	0.137370483801	0.000492251339574	0.079742217742	0.000296351162796
0.705	0.123845637094	0.000410821102363	0.0658066937125	0.000251743906155
0.735	0.11140958992	0.000361933065751	0.0538642410594	0.000229853283061
0.765	0.100381919269	0.000313767089132	0.045451684413	0.000219872069777
0.795	0.090053474446	0.000273557887952	0.0372464676962	0.000192233507537
0.825	0.0810201024994	0.000264786340866	0.0309226902133	0.000164173971352
0.855	0.0722366685155	0.000231430997328	0.0256432308681	0.000161283599603
0.885	0.0654613792946	0.000207015187755	0.0213201409038	0.000140676555419
0.915	0.0592061495779	0.0001919789801	0.0176967837411	0.000134472035519
0.945	0.0529435500042	0.000167814404655	0.0149346561824	0.000117092256961
0.975	0.0476218878314	0.000160557674843	0.0125741141919	0.000103393723387
1.005	0.0428326173159	0.000147988727862	0.0105792171143	0.000100566365161
1.035	0.0387296984997	0.000129738341056	0.00903856294879	8.59527044778e-05
1.065	0.0349393190676	0.000125220947322	0.00743705046575	8.09262169592e-05
1.095	0.0315612076444	0.000113588869486	0.00628678172747	7.78135850412e-05
1.125	0.0281887427003	0.000104401459216	0.00523079579454	7.01173624079e-05
1.155	0.0253707843126	9.52254507975e-05	0.00438672370274	6.21613036816e-05
1.185	0.0229604116146	9.23437515904e-05	0.00363499955259	5.49143472693e-05
1.215	0.0207228365868	8.46629928885e-05	0.0030755268368	5.2221314411e-05
1.245	0.0186198176592	7.48079485029e-05	0.00261712314914	4.79962229611e-05
1.275	0.0168754120516	6.79772966653e-05	0.00224838834985	4.55076056645e-05
1.305	0.0152791392565	6.55650724308e-05	0.00187925105532	4.09211710869e-05
1.335	0.0137813153214	6.32283925758e-05	0.00159404588469	3.71614561049e-05
1.365	0.0124055783324	5.97993926567e-05	0.00132868067019	3.59478526588e-05
1.395	0.0112296145074	5.2904423051e-05	0.00110914785136	3.06241821389e-05
1.425	0.0100742546476	5.07909624277e-05	0.000986194021929	2.97458073496e-05
1.455	0.00915112998703	4.44372514563e-05	0.000836457411202	2.50682980379e-05
1.485	0.00817349200114	4.07297369848e-05	0.000699690538238	2.52085772347e-05
1.515	0.0074142042419	3.95188079536e-05	0.000603291209766	2.40285584052e-05
1.545	0.00671062308398	3.55424074845e-05	0.00051344991731	2.0343529962e-05
1.575	0.00606476182389	3.46448413033e-05	0.000445748286417	1.90686247698e-05
1.605	0.00548451060308	3.5415496521e-05	0.000373250841056	1.85257758948e-05
1.635	0.00496289478168	2.95586876462e-05	0.000339432865164	1.63513642948e-05
1.665	0.00447159240759	2.6559231054e-05	0.000278891188674	1.46489734753e-05
1.695	0.00403287679226	2.63474401376e-05	0.000224249614002	1.45477133823e-05
1.725	0.00363407719745	2.42241443686e-05	0.000175285906633	1.17353836279e-05
1.755	0.00328458791656	2.34975525267e-05	0.000169774116053	1.14945721864e-05
1.785	0.0029505853178	2.03257830738e-05	0.000150526187164	1.15710063417e-05
1.815	0.00267024884622	2.1637374733e-05	0.000121037537499	9.67584923738e-06
1.845	0.00242402415813	2.01518176798e-05	0.00011412890824	9.90865166363e-06
1.875	0.00222159795492	1.86378932647e-05	8.21337883198e-05	8.37849974144e-06
1.905	0.0020265278401	1.76589677503e-05	7.95993828671e-05	7.91504341134e-06
1.935	0.00178741338533	1.49902590539e-05	8.34429939051e-05	8.51810721969e-06
1.965	0.00164385012748	1.47210782944e-05	5.35792360141e-05	7.09424885098e-06
1.995	0.00146112143322	1.44478420306e-05	4.80649901066e-05	5.74724004083e-06
2.025	0.0013421231627	1.29707366616e-05	3.84807210392e-05	5.62885642898e-06
2.055	0.00120337644707	1.20746167444e-05	2.82978498928e-05	4.81969003841e-06
2.085	0.00108591192571	1.07584816105e-05	2.79914618786e-05	4.56103554843e-06
2.115	0.000991865321209	1.12904102756e-05	2.55625693443e-05	4.84021271322e-06
2.145	0.00090218281699	1.0850307192e-05	2.32176230896e-05	3.97403559877e-06
2.175	0.000808444400376	9.78938111779e-06	1.78683299593e-05	4.05345747437e-06
2.205	0.000731140776703	9.32977787253e-06	1.56858997122e-05	3.45695969408e-06
2.235	0.00067668347714	8.72715969049e-06	1.56924583508e-05	3.59441305424e-06
2.265	0.000615227235679	8.2710684241e-06	9.73110389908e-06	2.7102185047e-06
2.295	0.000550857726942	8.66749626176e-06	8.06030686585e-06	2.08054091648e-06
2.325	0.000487531486576	7.2340000056e-06	6.9212989642e-06	2.59230252179e-06
2.355	0.000452695345883	7.06475000053e-06	8.05279196362e-06	2.57267465464e-06
2.385	0.000404753197487	6.53930977453e-06	7.63233817872e-06	2.35526559888e-06
2.415	0.000369214712561	6.78841616293e-06	1.18390603096e-06	8.0665247707e-07
2.445	0.000328252998808	6.01504830343e-06	4.3941031067e-06	1.5957873806e-06
2.475	0.000312497475681	7.30835710534e-06	2.84871097254e-06	1.27960208251e-06
2.505	0.000276048441694	5.44779398799e-06	4.61481196274e-06	2.07290520059e-06
2.535	0.000236647143296	4.33815873032e-06	2.36621954244e-06	1.31674019984e-06
2.565	0.000223908171018	4.38137755836e-06	3.95050579751e-06	2.06720365432e-06
2.595	0.000202857421613	4.85164598679e-06	2.01109830217e-06	1.2770753714e-06
2.625	0.000179967421044	3.98288158329e-06	6.75104892527e-07	3.5113072832e-07
2.655	0.000171866160057	5.08823874892e-06	3.52707020418e-07	2.41993056055e-07
2.685	0.000148609488843	3.59698370253e-06	2.07764199582e-09	2.07764199582e-09
2.715	0.000137003693901	3.62665360211e-06	5.05709371099e-08	4.63523354489e-08
2.745	0.000122986971444	3.37111680531e-06	1.43621386858e-06	9.92644401106e-07
2.775	0.000113378445163	3.23836958574e-06	1.28934426839e-06	1.28934426839e-06
2.805	0.000108625751484	3.74385217442e-06	1.23353574585e-06	1.04700860879e-06
2.835	0.000102137212543	3.01415017624e-06	1.36895295311e-06	8.57963346608e-07
2.865	8.31587804771e-05	2.56263686638e-06	5.66509394328e-07	4.02669651443e-07
2.895	7.01700014455e-05	2.18079883846e-06	1.59485269473e-09	1.59485269473e-09
2.925	7.12385601512e-05	2.76284924545e-06	1.02597661888e-06	7.55684285533e-07
2.955	6.29078881631e-05	2.26416650665e-06	0.0	0.0
2.985	5.96290049702e-05	2.74091659476e-06	1.68581685191e-07	1.68581685191e-07
