#arXiv:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d15/plain.txt
#Path: /HepData/8463/d15-x1-y1
#pT-differential invariant yield of kaon+ and kaon- for centrality 30-40%
#Location: Figure 4B
#CENTRALITY : 30.0 - 40.0 pct
#RE : PB PB --> K+ X : PB PB --> K- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x: PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	xlow	xhigh	y	dy+	dy+	y	dy+	dy+
0.225	0.2	0.25	13.88	0.22	1.57	14.67	0.26	1.63
0.275	0.25	0.3	12.53	0.15	0.89	12.87	0.16	1.01
0.325	0.3	0.35	12.31	0.13	0.83	12.34	0.13	0.83
0.375	0.35	0.4	11.38	0.11	0.73	11.52	0.12	0.74
0.425	0.4	0.45	10.27	0.17	0.86	10.7	0.21	0.73
0.475	0.45	0.5	9.457	0.091	1.018	9.347	0.104	0.918
0.525	0.5	0.55	8.128	0.133	0.477	8.229	0.15	0.487
0.575	0.55	0.6	7.306	0.108	0.472	7.315	0.121	0.523
0.625	0.6	0.65	6.584	0.098	0.411	6.41	0.107	0.422
0.675	0.65	0.7	5.957	0.089	0.347	5.694	0.096	0.351
0.725	0.7	0.75	5.327	0.081	0.315	5.06	0.086	0.315
0.775	0.75	0.8	4.643	0.073	0.271	4.557	0.082	0.277
0.825	0.8	0.85	4.119	0.066	0.252	4.099	0.075	0.26
0.875	0.85	0.9	3.648	0.062	0.209	3.635	0.071	0.221
0.925	0.9	0.95	3.199	0.057	0.184	3.195	0.066	0.207
0.975	0.95	1	2.786	0.052	0.166	2.802	0.06	0.17
1.05	1	1.1	2.315	0.033	0.13	2.284	0.037	0.135
1.15	1.1	1.2	1.815	0.028	0.103	1.763	0.032	0.104
1.25	1.2	1.3	1.409	0.016	0.117	1.363	0.017	0.123
1.35	1.3	1.4	1.078	0.013	0.091	1.051	0.014	0.096
1.45	1.4	1.5	0.8349	0.0112	0.0717	0.8261	0.0123	0.077
1.55	1.5	1.6	0.639	0.0093	0.0564	0.6301	0.0102	0.0603
1.65	1.6	1.7	0.4973	0.0079	0.0453	0.4824	0.0085	0.0476
1.75	1.7	1.8	0.3773	0.0064	0.0356	0.3585	0.0065	0.0367
1.85	1.8	1.9	0.3027	0.0056	0.0297	0.2888	0.0059	0.0309
1.95	1.9	2	0.2324	0.0047	0.0238	0.2187	0.0047	0.0245
2.05	2	2.1	0.1863	0.0041	0.02	0.1802	0.0044	0.0212
2.15	2.1	2.2	0.136	0.0031	0.0153	0.1322	0.0034	0.0164
2.25	2.2	2.3	0.1084	0.0026	0.0129	0.1056	0.0029	0.0139
2.35	2.3	2.4	0.08324	0.00217	0.01043	0.08829	0.0027	0.01229
2.45	2.4	2.5	0.06523	0.00178	0.00864	0.06453	0.00205	0.00953
2.55	2.5	2.6	0.05212	0.00156	0.0073	0.05583	0.00204	0.00876
2.65	2.6	2.7	0.04635	0.00159	0.00687	0.04158	0.00157	0.00694
2.75	2.7	2.8	0.03331	0.00114	0.00523	0.03353	0.00134	0.00596
2.85	2.8	2.9	0.02907	0.00111	0.00483	0.02551	0.00107	0.00482
2.95	2.9	3	0.0216	+8.2E-4	0.0038	0.02113	+9.8E-4	0.00425

