#arXiv:1208.2711
#http://hepdata.cedar.ac.uk/view/ins1127497/d5/plain.txt
#Path: /HepData/8210/d5-x1-y1
#Normalized differential primary charged particle yield  in the centrality interval 30-40%
#Location: F 1
#CENTRALITY : 30.0 - 40.0 pct
#ETARAP : -0.8 - 0.8
#RE : PB PB --> CHARGED X
#SQRT(S)/NUCLEON : 2760.0 GeV
#x: PT IN GEV
#y : (1/Nevt)*(1/*(2PI*PT))*D2(N)/DETARAP/DPT IN GEV**-2
#x	y	dy+	dy+
0.175	506	0.7	64.5
0.225	406.7	0.4	44.6
0.275	326.6	0.3	32.4
0.325	260.7	0.2	23.6
0.375	208.2	0.2	18.1
0.425	167.9	0.1	14.4
0.475	136.2	0.1	11.6
0.525	111.6	0.1	9.4
0.575	92.13	0.09	7.77
0.625	76.48	0.08	6.42
0.675	64.04	0.07	5.36
0.725	53.84	0.06	4.49
0.775	45.45	0.06	3.78
0.825	38.41	0.05	3.19
0.875	32.85	0.05	2.72
0.925	28.05	0.05	2.32
0.975	23.99	0.04	1.98
1.05	19	0.03	1.57
1.15	14.19	0.02	1.18
1.25	10.7	0.01	0.89
1.35	8.031	0.011	0.67
1.45	6.08	0.01	0.509
1.55	4.624	0.008	0.398
1.65	3.566	0.007	0.306
1.75	2.754	0.006	0.237
1.85	2.165	0.005	0.186
1.95	1.685	0.004	0.144
2.1	1.177	0.002	0.1
2.3	0.7309	0.0012	0.062
2.5	0.4604	+8.0E-4	0.0389
2.7	0.2943	+5.0E-4	0.0248
2.9	0.1907	+4.0E-4	0.016
3.1	0.125	+4.0E-4	0.0105
3.3	0.08338	+2.7E-4	0.00695
3.5	0.05653	+1.9E-4	0.00469
3.7	0.0389	+1.3E-4	0.00322
3.9	0.02727	+1.0E-4	0.00225
4.25	0.01515	+6.0E-5	0.00124
4.75	0.007038	+3.1E-5	+5.78E-4
5.25	0.003573	+1.7E-5	+2.93E-4
5.75	0.001949	+1.1E-5	+1.6E-4
6.25	0.001135	+7.0E-6	+9.3E-5
6.75	6.974E-4	+5.0E-6	+5.73E-5
7.5	3.686E-4	+2.5E-6	+3.03E-5
8.5	1.734E-4	+1.5E-6	+1.43E-5
9.5	8.897E-5	+9.8E-7	+7.32E-6
10.5	4.967E-5	+6.8E-7	+4.11E-6
11.5	2.843E-5	+4.9E-7	+2.36E-6
12.5	1.77E-5	+3.7E-7	+1.48E-6
13.5	1.071E-5	+2.7E-7	+9.0E-7
14.5	7.14E-6	+2.13E-7	+6.04E-7
15.5	4.601E-6	+1.65E-7	+3.91E-7
17	2.867E-6	+8.8E-8	+2.45E-7
19	1.417E-6	+5.8E-8	+1.22E-7
21	7.756E-7	+4.1E-8	+6.68E-8
23	4.396E-7	+2.94E-8	+3.87E-8
25	2.63E-7	+2.18E-8	+2.37E-8
27	1.863E-7	+1.76E-8	+1.69E-8
29	1.035E-7	+1.26E-8	+9.4E-9
31	6.195E-8	+9.45E-9	+5.67E-9
33	4.992E-8	+8.21E-9	+4.6E-9
35	4.565E-8	+7.61E-9	+4.22E-9
38	1.975E-8	+3.39E-9	+1.84E-9
42.5	9.478E-9	+1.977E-9	+8.9E-10
47.5	7.298E-9	+1.632E-9	+6.94E-10
