#arXiv:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d1/plain.txt
#Path: /HepData/8463/d2-x1-y1
#pT-differential invariant yield of pion+ and pion- for centrality 5-10%
#Location: Figure 4A
#CENTRALITY : 0.0 - 5.0 pct
#CENTRALITY : 5.0 - 10.0 pct
#RE : PB PB --> PI+ X : PB PB --> PI- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x : PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	y	dy+	dy+	y	dy+	dy+
0.11	1408.5	11	188	1361	10.5	177.5
0.13	1271.5	7	157	1235	7	152
0.15	1138.5	5.5	140	1114.35	5.45	136.65
0.17	1024.5	4.5	125.7	1002.2	4.5	122.75
0.19	925.25	3.7	113.45	901.85	3.75	110.95
0.225	743	1.65	54.3	729.8	1.65	53.85
0.275	566.35	1.25	41.7	564.8	1.25	41.05
0.325	441.05	1.05	33.85	442.15	1	33.95
0.375	347.4	0.85	24.75	349.7	0.85	24.7
0.425	275.65	0.7	19.05	278.9	0.75	19.4
0.475	219.9	0.6	15	222.55	0.6	15.2
0.525	175.6	0.5	8.9	177.35	0.5	8.85
0.575	143	0.4	7	144.45	0.4	6.95
0.625	117.5	0.4	6.1	118.9	0.4	5.95
0.675	96.815	0.385	4.985	97.73	0.38	4.98
0.725	79.985	0.325	4.1	80.7	0.32	4.08
0.775	66.64	0.295	3.48	67.11	0.29	3.375
0.825	55.47	0.27	2.895	55.92	0.27	2.79
0.875	46.63	0.235	2.5	46.735	0.235	2.33
0.925	39.18	0.22	2.095	39.495	0.22	1.98
0.975	32.95	0.2	1.72	33.315	0.2	1.685
1.05	25.495	0.12	1.36	25.775	0.12	1.335
1.15	18.23	0.1	0.985	18.43	0.1	0.96
1.25	13.37	0.065	0.815	13.49	0.065	0.81
1.35	9.7745	0.0485	0.5955	9.814	0.053	0.5925
1.45	7.0475	0.0385	0.4345	7.0645	0.0385	0.4315
1.55	5.1845	0.0335	0.323	5.1865	0.033	0.3205
1.65	3.8235	0.03	0.242	3.798	0.0295	0.2385
1.75	2.8175	0.021	0.1815	2.8325	0.0215	0.181
1.85	2.0915	0.0175	0.1375	2.104	0.0175	0.1375
1.95	1.5695	0.0185	0.1055	1.5975	0.0185	0.107
2.05	1.186	0.014	0.0825	1.188	0.0145	0.082
2.15	0.8943	0.01325	0.06395	0.90055	0.0133	0.06395
2.25	0.6725	0.0087	0.0497	0.68745	0.00895	0.05045
2.35	0.5363	0.00765	0.0411	0.52705	0.00735	0.0401
2.45	0.40225	0.0096	0.03205	0.4068	0.0097	0.0322
2.55	0.3111	0.00765	0.0258	0.31265	0.0077	0.0257
2.65	0.2403	0.00775	0.0208	0.24635	0.0079	0.02115
2.75	0.19095	0.0046	0.01725	0.1916	0.0046	0.0172
2.85	0.15285	0.00345	0.0145	0.14905	0.0033	0.014
2.95	0.1215	0.00395	0.01205	0.1194	0.00385	0.01175
