#ARXIV:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d3/plain.txt
#Path: /HepData/8463/d3-x1-y1
#pT-differential invariant yield of pion+ and pion- for centrality 10-20%
#Location: Figure 4A
#CENTRALITY : 10.0 - 20.0 pct
#RE : PB PB --> PI+ X : PB PB --> PI- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x : PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	y	dy+	dy+	y	dy+	dy+
0.11	947.8	5.3	118.4	920.6	5.1	112.1
0.13	862.5	3.4	98.5	836.4	3.4	95.4
0.15	770	2.7	87.6	751.4	2.6	85.3
0.17	696.3	2.2	79	676.4	2.2	76.8
0.19	623.5	1.9	70.7	608.7	1.8	69.2
0.225	511.7	1	35.6	500.1	1	35.3
0.275	388.2	0.8	26.8	384.6	0.8	26.9
0.325	299.9	0.6	21.8	300.3	0.6	22.3
0.375	236.4	0.5	15.9	237.6	0.5	16.3
0.425	187.5	0.4	12.4	189.2	0.4	12.6
0.475	149.2	0.4	9.8	150.8	0.4	10
0.525	118.3	0.3	5.8	119.2	0.3	5.9
0.575	96.31	0.24	4.6	97.14	0.24	4.59
0.625	79.15	0.24	3.99	79.99	0.24	4.04
0.675	65.14	0.22	3.27	65.63	0.21	3.29
0.725	53.81	0.19	2.68	54.38	0.19	2.72
0.775	44.83	0.17	2.22	45.1	0.17	2.25
0.825	37.34	0.16	1.85	37.51	0.16	1.84
0.875	31.23	0.14	1.57	31.57	0.14	1.54
0.925	26.46	0.14	1.29	26.64	0.14	1.29
0.975	22.3	0.12	1.09	22.48	0.12	1.09
1.05	17.25	0.07	0.85	17.41	0.07	0.85
1.15	12.38	0.06	0.61	12.5	0.06	0.6
1.25	9.01	0.033	0.549	9.079	0.034	0.547
1.35	6.589	0.028	0.403	6.614	0.028	0.4
1.45	4.771	0.021	0.294	4.891	0.021	0.299
1.55	3.546	0.019	0.221	3.547	0.018	0.219
1.65	2.607	0.017	0.165	2.597	0.017	0.163
1.75	1.945	0.012	0.125	1.946	0.012	0.124
1.85	1.439	0.01	0.095	1.445	0.01	0.094
1.95	1.091	0.011	0.074	1.101	0.011	0.074
2.05	0.8108	0.0085	0.0562	0.8263	0.0087	0.0569
2.15	0.6265	0.0084	0.0448	0.6221	0.0083	0.0442
2.25	0.4767	0.0052	0.0353	0.4812	0.0053	0.0353
2.35	0.374	0.0045	0.0287	0.3754	0.0045	0.0286
2.45	0.2842	0.0064	0.0226	0.2865	0.0065	0.0227
2.55	0.2235	0.0052	0.0185	0.2275	0.0053	0.0187
2.65	0.1795	0.0056	0.0155	0.1811	0.0056	0.0156
2.75	0.1378	0.003	0.0125	0.1396	0.0031	0.0125
2.85	0.1086	0.0021	0.0103	0.1097	0.0022	0.0103
2.95	0.08677	0.00263	0.00861	0.08713	0.00264	0.00856

