#arXiv:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d5/plain.txt
#Path: /HepData/8463/d5-x1-y1
#pT-differential invariant yield of pion+ and pion- for centrality 30-40%
#Location: Figure 4A
#CENTRALITY : 30.0 - 40.0 pct
#RE : PB PB --> PI+ X : PB PB --> PI- X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x: PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	xlow	xhigh	y	dy+	dy+	y	dy+	dy+
0.11	0.1	0.12	443.6	2.6	51	435.2	2.6	48.5
0.13	0.12	0.14	398.8	1.7	41.2	385.4	1.6	39.7
0.15	0.14	0.16	360.1	1.3	37	347.1	1.3	35.6
0.17	0.16	0.18	321.3	1.1	32.9	313.4	1.1	32.1
0.19	0.18	0.2	285.4	0.9	29.2	279.9	0.9	28.7
0.225	0.2	0.25	230.7	0.6	15.3	225.4	0.6	15.1
0.275	0.25	0.3	173.6	0.4	11.5	172.3	0.4	11.5
0.325	0.3	0.35	133	0.3	9.2	133	0.3	9.3
0.375	0.35	0.4	103.8	0.3	6.7	104.1	0.3	6.8
0.425	0.4	0.45	81.78	0.25	5.17	82.39	0.25	5.26
0.475	0.45	0.5	64.38	0.21	4.05	65.01	0.21	4.12
0.525	0.5	0.55	50.82	0.16	2.36	51.36	0.16	2.41
0.575	0.55	0.6	41.11	0.14	1.89	41.39	0.14	1.88
0.625	0.6	0.65	33.66	0.14	1.69	34.16	0.14	1.71
0.675	0.65	0.7	27.59	0.12	1.38	27.94	0.12	1.39
0.725	0.7	0.75	22.72	0.11	1.13	22.89	0.11	1.13
0.775	0.75	0.8	18.9	0.1	0.94	18.93	0.1	0.93
0.825	0.8	0.85	15.7	0.09	0.77	15.81	0.09	0.77
0.875	0.85	0.9	13.1	0.08	0.66	13.17	0.08	0.65
0.925	0.9	0.95	11.01	0.08	0.54	11.13	0.08	0.54
0.975	0.95	1	9.303	0.068	0.452	9.373	0.068	0.454
1.05	1	1.1	7.226	0.041	0.351	7.163	0.04	0.345
1.15	1.1	1.2	5.128	0.033	0.251	5.167	0.033	0.249
1.25	1.2	1.3	3.724	0.018	0.227	3.75	0.018	0.226
1.35	1.3	1.4	2.721	0.015	0.166	2.741	0.015	0.166
1.45	1.4	1.5	1.997	0.012	0.123	2.002	0.012	0.122
1.55	1.5	1.6	1.493	0.01	0.093	1.48	0.01	0.091
1.65	1.6	1.7	1.096	0.009	0.069	1.085	0.009	0.068
1.75	1.7	1.8	0.817	0.0066	0.0526	0.8233	0.0066	0.0526
1.85	1.8	1.9	0.6038	0.0053	0.0397	0.6183	0.0056	0.0404
1.95	1.9	2	0.4713	0.0058	0.0318	0.4587	0.0055	0.0307
2.05	2	2.1	0.3548	0.0044	0.0246	0.3558	0.0045	0.0245
2.15	2.1	2.2	0.2687	0.0041	0.0192	0.2836	0.0044	0.0201
2.25	2.2	2.3	0.2092	0.0029	0.0155	0.208	0.0028	0.0153
2.35	2.3	2.4	0.1611	0.0024	0.0123	0.1646	0.0024	0.0125
2.45	2.4	2.5	0.1314	0.0033	0.0105	0.1294	0.0032	0.0102
2.55	2.5	2.6	0.1006	0.0026	0.0083	0.09956	0.00252	0.00819
2.65	2.6	2.7	0.079	0.0026	0.00684	0.08048	0.00264	0.00691
2.75	2.7	2.8	0.06158	0.00154	0.00557	0.06295	0.00157	0.00565
2.85	2.8	2.9	0.05175	0.00123	0.0049	0.051	0.0012	0.00478
2.95	2.9	3	0.0411	0.00138	0.00408	0.04092	0.00136	0.00402

