#ARXIV:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d23/plain.txt
#Path: /HepData/8463/d23-x1-y1
#pT-differential invariant yield of proton and antiproton for centrality 10-20%
#Location: Figure 4C
#CENTRALITY : 10.0 - 20.0 pct
#RE : PB PB --> P X : PB PB --> PBAR X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x : PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	y	dy+	dy+	y	dy+	dy+
0.325	2.887	0.072	0.386	3.216	0.088	0.457
0.375	2.759	0.054	0.365	3.045	0.066	0.407
0.425	2.994	0.05	0.387	2.923	0.053	0.386
0.475	2.542	0.025	0.311	2.683	0.031	0.329
0.525	2.659	0.026	0.247	2.702	0.03	0.293
0.575	2.685	0.025	0.281	2.679	0.029	0.258
0.625	2.573	0.02	0.237	2.528	0.025	0.227
0.675	2.513	0.019	0.215	2.496	0.033	0.213
0.725	2.44	0.021	0.221	2.489	0.032	0.209
0.775	2.401	0.021	0.194	2.413	0.031	0.185
0.825	2.344	0.021	0.189	2.327	0.03	0.163
0.875	2.238	0.021	0.178	2.212	0.029	0.152
0.925	2.187	0.021	0.161	2.124	0.028	0.142
0.975	2.047	0.021	0.136	2.058	0.029	0.132
1.05	1.902	0.014	0.124	1.898	0.02	0.121
1.15	1.711	0.014	0.108	1.708	0.019	0.107
1.25	1.526	0.013	0.096	1.533	0.018	0.093
1.35	1.371	0.013	0.079	1.343	0.017	0.081
1.45	1.184	0.012	0.069	1.181	0.016	0.071
1.55	1.011	0.012	0.059	1.008	0.015	0.059
1.65	0.8436	0.0105	0.046	0.85	0.0141	0.0499
1.75	0.7046	0.0095	0.0383	0.7069	0.0126	0.0419
1.85	0.5878	0.0064	0.0407	0.581	0.0082	0.0464
1.95	0.4891	0.0058	0.034	0.4933	0.0076	0.0399
2.05	0.3969	0.0049	0.0278	0.4096	0.0069	0.0337
2.15	0.3348	0.0046	0.0238	0.3357	0.006	0.0282
2.25	0.2766	0.0041	0.02	0.2864	0.0056	0.0246
2.35	0.2248	0.0036	0.0166	0.232	0.0049	0.0204
2.45	0.1844	0.0031	0.014	0.1815	0.004	0.0164
2.55	0.1476	0.0026	0.0115	0.1451	0.0033	0.0135
2.65	0.1253	0.0025	0.0101	0.1181	0.003	0.0113
2.75	0.09469	0.00188	0.00792	0.09542	0.00257	0.00949
2.85	0.08105	0.00176	0.00705	0.07833	0.00231	0.00807
2.95	0.06254	0.00142	0.00568	0.06163	0.00187	0.00659
3.1	0.04544	+7.9E-4	0.00441	0.04565	0.0011	0.00517
3.3	0.03119	+6.2E-4	0.00333	0.02945	+8.2E-4	0.00362
3.5	0.02072	+4.7E-4	0.00245	0.01979	+6.3E-4	0.00264
3.7	0.01292	+3.2E-4	0.0017	0.01221	+4.2E-4	0.00178
3.9	0.0083	+2.27E-4	0.001211	0.007882	+3.02E-4	0.001253
4.1	0.005707	+1.83E-4	+9.26E-4	0.005835	+2.69E-4	0.001012
4.3	0.004038	+1.45E-4	+7.27E-4	0.003537	+1.74E-4	+6.69E-4
4.5	0.002679	+1.14E-4	+5.34E-4	0.002459	+1.41E-4	+5.07E-4
