#ARXIV:1303.0737
#http://hepdata.cedar.ac.uk/view/ins1222333/d25/plain.txt
#Path: /HepData/8463/d25-x1-y1
#pT-differential invariant yield of proton and antiproton for centrality 30-40%
#Location: Figure 4C
#CENTRALITY : 30.0 - 40.0 pct
#RE : PB PB --> P X : PB PB --> PBAR X
#SQRT(S)/NUCLEON : 2760.0 GeV
#YRAP : -0.5 - 0.5
#x: PT IN GEV
#y : (1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP IN GEV**-2
#x	xlow	xhigh	y	dy+	dy+	y	dy+	dy+
0.325	0.3	0.35	1.57	0.046	0.195	1.858	0.061	0.248
0.375	0.35	0.4	1.61	0.038	0.198	1.697	0.044	0.211
0.425	0.4	0.45	1.602	0.032	0.192	1.636	0.036	0.201
0.475	0.45	0.5	1.295	0.017	0.241	1.335	0.02	0.2
0.525	0.5	0.55	1.34	0.017	0.183	1.376	0.02	0.152
0.575	0.55	0.6	1.321	0.016	0.16	1.366	0.019	0.139
0.625	0.6	0.65	1.281	0.014	0.111	1.278	0.017	0.111
0.675	0.65	0.7	1.248	0.013	0.107	1.268	0.023	0.106
0.725	0.7	0.75	1.244	0.015	0.109	1.294	0.023	0.11
0.775	0.75	0.8	1.219	0.015	0.104	1.223	0.021	0.109
0.825	0.8	0.85	1.163	0.014	0.095	1.173	0.021	0.083
0.875	0.85	0.9	1.116	0.014	0.08	1.116	0.02	0.075
0.925	0.9	0.95	1.071	0.014	0.078	1.06	0.02	0.07
0.975	0.95	1	1.009	0.014	0.069	1.016	0.02	0.066
1.05	1	1.1	0.9156	0.0095	0.0632	0.9198	0.0131	0.0603
1.15	1.1	1.2	0.7825	0.0087	0.0503	0.8086	0.0125	0.0508
1.25	1.2	1.3	0.6839	0.0084	0.0408	0.6981	0.0117	0.0425
1.35	1.3	1.4	0.589	0.0079	0.0345	0.6018	0.0109	0.0358
1.45	1.4	1.5	0.5061	0.0074	0.0287	0.5057	0.0098	0.0305
1.55	1.5	1.6	0.4317	0.0069	0.0237	0.4346	0.0092	0.0254
1.65	1.6	1.7	0.3536	0.0062	0.0192	0.3546	0.0082	0.0206
1.75	1.7	1.8	0.2883	0.0054	0.0157	0.2983	0.0075	0.0176
1.85	1.8	1.9	0.2339	0.0035	0.0162	0.2434	0.0049	0.0194
1.95	1.9	2	0.1902	0.003	0.0132	0.1945	0.0041	0.0157
2.05	2	2.1	0.1598	0.0028	0.0112	0.1626	0.0037	0.0134
2.15	2.1	2.2	0.1297	0.0025	0.0092	0.1343	0.0034	0.0113
2.25	2.2	2.3	0.1056	0.0022	0.0076	0.1089	0.003	0.0093
2.35	2.3	2.4	0.08456	0.00188	0.00625	0.08497	0.00239	0.00747
2.45	2.4	2.5	0.06937	0.0016	0.00526	0.06773	0.00206	0.00612
2.55	2.5	2.6	0.05494	0.00135	0.00429	0.05607	0.00183	0.00522
2.65	2.6	2.7	0.04551	0.00119	0.00367	0.04453	0.00155	0.00428
2.75	2.7	2.8	0.03632	0.00101	0.00304	0.03482	0.00126	0.00346
2.85	2.8	2.9	0.02906	+8.6E-4	0.00253	0.0312	0.0013	0.00321
2.95	2.9	3	0.02381	+7.5E-4	0.00216	0.02224	+9.1E-4	0.00238
3.1	3	3.2	0.01801	+4.5E-4	0.00175	0.01672	+5.4E-4	0.00189
3.3	3.2	3.4	0.01161	+3.2E-4	0.00124	0.0117	+4.5E-4	0.00144
3.5	3.4	3.6	0.00799	+2.52E-4	+9.45E-4	0.007596	+3.3E-4	0.001015
3.7	3.6	3.8	0.005155	+1.78E-4	+6.77E-4	0.004732	+2.27E-4	+6.89E-4
3.9	3.8	4	0.0036	+1.47E-4	+5.25E-4	0.003412	+1.83E-4	+5.42E-4
4.1	4	4.2	0.002302	+1.05E-4	+3.74E-4	0.00204	+1.24E-4	+3.54E-4
4.3	4.2	4.4	0.001561	+8.4E-5	+2.81E-4	0.001548	+1.13E-4	+2.93E-4
4.5	4.4	4.6	0.001089	+7.0E-5	+2.17E-4	9.42E-4	+7.5E-5	+1.941E-4

