# v2 (pT) of pions in PbPb@2.76 TeV, 10-20% centrality
# Path: /REF/ALICE_2014_I1297103/d03-x01-y01
# Title: doi:10.17182/hepdata.68162.v1/t3
# Type: Scatter2D
# ---
# xval	 xerr-	 xerr+	 yval	 yerr-	 yerr+	
1.754270e-01	0.000000e+00	0.000000e+00	1.664500e-02	2.032545e-03	2.032545e-03
2.516550e-01	0.000000e+00	0.000000e+00	2.259300e-02	2.055243e-03	2.055243e-03
3.489060e-01	0.000000e+00	0.000000e+00	3.419600e-02	2.122172e-03	2.122172e-03
4.483960e-01	0.000000e+00	0.000000e+00	4.536700e-02	2.259032e-03	2.259032e-03
5.481390e-01	0.000000e+00	0.000000e+00	5.568800e-02	2.380383e-03	2.380383e-03
6.480310e-01	0.000000e+00	0.000000e+00	6.566000e-02	2.513743e-03	2.513743e-03
7.469810e-01	0.000000e+00	0.000000e+00	7.516400e-02	2.651108e-03	2.651108e-03
8.471010e-01	0.000000e+00	0.000000e+00	8.416900e-02	2.792997e-03	2.792997e-03
9.474220e-01	0.000000e+00	0.000000e+00	9.266500e-02	2.932755e-03	2.932755e-03
1.047730e+00	0.000000e+00	0.000000e+00	1.002390e-01	3.060834e-03	3.060834e-03
1.148100e+00	0.000000e+00	0.000000e+00	1.072510e-01	3.185254e-03	3.185254e-03
1.248060e+00	0.000000e+00	0.000000e+00	1.144890e-01	3.320922e-03	3.320922e-03
1.348080e+00	0.000000e+00	0.000000e+00	1.207060e-01	3.438175e-03	3.438175e-03
1.448230e+00	0.000000e+00	0.000000e+00	1.267610e-01	3.556583e-03	3.556583e-03
1.548180e+00	0.000000e+00	0.000000e+00	1.321830e-01	3.663381e-03	3.663381e-03
1.648240e+00	0.000000e+00	0.000000e+00	1.366540e-01	3.770565e-03	3.770565e-03
1.748020e+00	0.000000e+00	0.000000e+00	1.404240e-01	3.849906e-03	3.849906e-03
1.848310e+00	0.000000e+00	0.000000e+00	1.450950e-01	3.933427e-03	3.933427e-03
1.948480e+00	0.000000e+00	0.000000e+00	1.489320e-01	4.019817e-03	4.019817e-03
2.048370e+00	0.000000e+00	0.000000e+00	1.515280e-01	4.120205e-03	4.120205e-03
2.148330e+00	0.000000e+00	0.000000e+00	1.535730e-01	4.178201e-03	4.178201e-03
2.248040e+00	0.000000e+00	0.000000e+00	1.566050e-01	4.290799e-03	4.290799e-03
2.348310e+00	0.000000e+00	0.000000e+00	1.563980e-01	4.486432e-03	4.486432e-03
2.448300e+00	0.000000e+00	0.000000e+00	1.576720e-01	4.591936e-03	4.591936e-03
2.548380e+00	0.000000e+00	0.000000e+00	1.593390e-01	4.776513e-03	4.776513e-03
2.648320e+00	0.000000e+00	0.000000e+00	1.587940e-01	5.573709e-03	5.573709e-03
2.748220e+00	0.000000e+00	0.000000e+00	1.594210e-01	6.821783e-03	6.821783e-03
2.848410e+00	0.000000e+00	0.000000e+00	1.611000e-01	8.402695e-03	8.402695e-03
2.948400e+00	0.000000e+00	0.000000e+00	1.614830e-01	1.007370e-02	1.007370e-02
3.093760e+00	0.000000e+00	0.000000e+00	1.564020e-01	1.069691e-02	1.069691e-02
3.294090e+00	0.000000e+00	0.000000e+00	1.553080e-01	1.059326e-02	1.059326e-02
3.494370e+00	0.000000e+00	0.000000e+00	1.490310e-01	1.035441e-02	1.035441e-02
3.694630e+00	0.000000e+00	0.000000e+00	1.443680e-01	1.029100e-02	1.029100e-02
3.894790e+00	0.000000e+00	0.000000e+00	1.428070e-01	1.043948e-02	1.043948e-02
4.180770e+00	0.000000e+00	0.000000e+00	1.296360e-01	9.593984e-03	9.593984e-03
4.582770e+00	0.000000e+00	0.000000e+00	1.200210e-01	9.507981e-03	9.507981e-03
4.985130e+00	0.000000e+00	0.000000e+00	1.008290e-01	9.070525e-03	9.070525e-03
5.386950e+00	0.000000e+00	0.000000e+00	1.006140e-01	1.014767e-02	1.014767e-02
5.787590e+00	0.000000e+00	0.000000e+00	1.016380e-01	1.131695e-02	1.131695e-02

