#Yield-weigthed average of 30-35% and 35-40% with yield and v2 data from:
#https://twiki.cern.ch/twiki/bin/view/CMSPublic/HIN10002Data
#pT	V2 (30-40%)	stat	sys
0.35	0.0465763615	0.000124438	0.0020796905
0.449	0.0649034845	0.0001289616	0.0029168892
0.549	0.0815692698	0.0001346263	0.00364835
0.694	0.1019170481	0.0001088317	0.0045959307
0.893	0.1276397172	0.0001287753	0.0057312635
1.09	0.1474471645	0.0001590642	0.0066141685
1.38	0.1829975574	0.0001493558	0.0081794953
1.76	0.2145608527	0.0002293605	0.0095414255
2.21	0.2425092122	0.0003448515	0.010649407
2.71	0.2574266173	0.0005458848	0.0112182047
3.22	0.2577771071	0.0008463801	0.0111256426
