#Yield-weigthed average of 30-35% and 35-40% with yield and v4 data from:
#https://twiki.cern.ch/twiki/pub/CMSPublic/HIN11005Data/HIN-11-005-Fig2.txt
#pT	V4 (30-40%)	stat	sys
0.35	0.0028331402	0.0005503685	0.0003088681
0.449	0.0042979812	0.0005545375	0.0002474224
0.549	0.0075653905	0.0005870894	0.0003830218
0.694	0.0120532699	0.0004679251	0.0005995157
0.893	0.0191652803	0.0005641618	0.0005976616
1.09	0.0255404164	0.000686179	0.0006923835
1.38	0.0353627567	0.0006412915	0.0009164501
1.76	0.0504313953	0.0009793566	0.0012768059
2.21	0.06463427	0.0014723955	0.0017240307
2.71	0.0730091796	0.0023463108	0.0019988033
3.22	0.0798223804	0.003643219	0.0024257778

