#arXiv:1004.3532
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg096_data.html
#pT,        yield,          stat.,          syst.,
#GeV/c 	(GeV/c)^{-2}   (GeV/c)^{-2}     (GeV/c)^{-2}
#====================================================
1.10   	  0.1635    	  0.0682  	   0.0262  
1.45      0.0540    	  0.0070 	   0.0086   
1.95      0.0123   	  0.0013           0.0020 
2.45  	  0.0049   	  0.0002	   0.0006 
2.95  	  0.0017  	  9.9e-5	   0.0002
3.45  	  0.0006          4.2e-5	   8.9e-5
3.95  	  0.0002          1.8e-5 	   2.5e-5 
4.45      8.5e-5          9.2e-6           1.3e-5 
5.50   	  9.7e-6          1.2e-6           1.6e-6 
7.00   	  1.1e-6          1.9e-7 	   1.9e-7  
