#nucl-ex/0606003 
#https://drupal.star.bnl.gov/STAR/files/starpublications/65/data.html
#piplus, Au+Au 10-20%
#pT bin [GeV/c] 	pT position[GeV/c] 	1/Nevent d2 N / (2 π pT dpT dy) [c2/GeV2]
3.00e-01 4.00e-01 	3.500e-01 	1.29e+02 7.20e-01 6.43e+00
4.00e-01 5.00e-01 	4.500e-01 	7.95e+01 4.78e-01 3.98e+00
5.00e-01 6.00e-01 	5.500e-01 	4.92e+01 3.33e-01 2.46e+00
6.00e-01 7.00e-01 	6.500e-01 	3.12e+01 2.41e-01 1.56e+00
7.00e-01 8.00e-01 	7.500e-01 	2.01e+01 1.77e-01 1.00e+00
8.00e-01 9.00e-01 	8.500e-01 	1.29e+01 1.28e-01 9.01e-01
9.00e-01 1.00e+00 	9.500e-01 	8.53e+00 9.83e-02 5.97e-01
1.00e+00 1.10e+00 	1.050e+00 	5.68e+00 7.53e-02 3.98e-01
1.10e+00 1.20e+00 	1.150e+00 	3.79e+00 6.89e-02 1.89e-01
1.20e+00 1.40e+00 	1.300e+00 	2.17e+00 3.46e-02 1.08e-01
1.40e+00 1.60e+00 	1.500e+00 	1.05e+00 1.84e-02 5.26e-02
1.60e+00 1.80e+00 	1.700e+00 	5.13e-01 1.11e-02 2.56e-02
1.80e+00 2.00e+00 	1.900e+00 	2.59e-01 7.06e-03 1.29e-02
2.00e+00 2.20e+00 	2.100e+00 	1.35e-01 4.80e-03 1.35e-02
2.20e+00 2.50e+00 	2.350e+00 	5.95e-02 2.78e-03 5.95e-03
2.50e+00 3.00e+00 	2.750e+00 	2.24e-02 1.38e-03 2.24e-03
3.00e+00 4.00e+00 	3.400e+00 	4.03e-03 2.86e-04 4.03e-04
2.50e+00 2.75e+00 	2.625e+00 	3.26e-02 1.57e-04 2.28e-03
2.75e+00 3.00e+00 	2.875e+00 	1.63e-02 1.10e-04 1.14e-03
3.00e+00 3.25e+00 	3.125e+00 	8.30e-03 6.38e-05 5.81e-04
3.25e+00 3.50e+00 	3.375e+00 	4.39e-03 4.05e-05 3.07e-04
3.50e+00 3.75e+00 	3.625e+00 	2.45e-03 2.91e-05 1.71e-04
3.75e+00 4.00e+00 	3.875e+00 	1.35e-03 1.74e-05 9.46e-05
4.00e+00 4.50e+00 	4.250e+00 	6.47e-04 8.84e-06 4.53e-05
4.50e+00 5.00e+00 	4.750e+00 	2.52e-04 5.58e-06 1.76e-05
5.00e+00 5.50e+00 	5.250e+00 	1.01e-04 2.15e-06 7.08e-06
5.50e+00 6.00e+00 	5.750e+00 	4.89e-05 1.54e-06 3.42e-06
6.00e+00 7.00e+00 	6.440e+00 	1.86e-05 6.21e-07 1.30e-06
7.00e+00 8.00e+00 	7.450e+00 	4.73e-06 5.38e-07 3.31e-07
8.00e+00 1.00e+01 	8.830e+00 	1.60e-06 1.57e-07 1.76e-07
1.00e+01 1.20e+01 	1.086e+01 	2.91e-07 5.94e-08 4.65e-08
