#v4 cent2
#bin  pt     v2      sta_err    v2+sys_err  v2-sys_err
0 0.364727 0.00492819 0.000726712 0.00731757 0.00253882
1 0.613192 0.0145179 0.000990765 0.018819 0.0102168
2 0.863085 0.0213686 0.00135648 0.0254928 0.0172444
3 1.11338 0.0317344 0.00184876 0.0372477 0.0262211
4 1.36327 0.0388609 0.00244962 0.0456061 0.0321156
5 1.61283 0.0508063 0.00333 0.0572717 0.044341
6 1.86272 0.0540187 0.00439877 0.0626593 0.0453781
7 2.20132 0.0682148 0.00477365 0.0858342 0.0505954
8 2.7044 0.0809935 0.00849245 0.101914 0.0600734
9 3.34423 0.0874627 0.0124146 0.110054 0.0648717
