#arXiv:1405.3940v1
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg162_data.html
#centrality bin 60-92%
#p_T         y   dy_stat   dy_syst
0.50  0.283798  0.126140  0.148048
0.70  0.036460  0.025660  0.039574
0.90  0.012077  0.008446  0.013316
1.10  0.008213  0.003597  0.005268
1.30  0.002898  0.001647  0.002167
1.50  0.001267  0.000829  0.000971
1.70  0.001107  0.000481  0.000490
1.90  0.000137  0.000243  0.000222
2.25  0.000045  0.000076  0.000074
3.00  0.000025  0.000015  0.000011
4.25  0.000007  0.000004  0.000001
