#arXiv:1105.4126
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg126/data_photon_v2.dat
#dir pho v2 : cent_id = 0 : rp_id = 0
#pt v2 err_sta v2+err_sys v2-err_sys 
1.17025 0.0642687 0.00628027 0.0856029 0.0429345
1.63 0.105316 0.00690959 0.136567 0.0740646
2.136 0.11597 0.0109588 0.176842 0.055098
2.6427 0.108408 0.0120261 0.178081 0.0387347
3.14981 0.072856 0.0220306 0.149587 -0.0038748
3.65677 0.0670393 0.0278121 0.142373 -0.00829399
4.31872 0.0344228 0.0156722 0.077637 -0.0087914
5.34873 0.0261268 0.0186025 0.054277 -0.0020234
6.36852 0.0129469 0.0187615 0.0301221 -0.0042283
7.38104 0.0407528 0.0288676 0.0565539 0.0249517
8.38592 0.0416612 0.0382555 0.0550584 0.028264
9.39705 0.00984624 0.0462476 0.0224301 -0.00273766
11.0647 -0.0158093 0.0420151 0.0021855 -0.0338041
14.1186 -0.129925 0.0813815 -0.0936524 -0.166198
