#arXiv:1105.4126
#http://www.phenix.bnl.gov/phenix/WWW/info/data/ppg126/data_photon_v2.dat
#dir pho v2 : cent_id = 1 : rp_id = 0
#pt v2 err_sta v2+err_sys v2-err_sys
1.17025 0.106508 0.00871107 0.145325 0.0676913
1.63 0.155015 0.00618657 0.192743 0.117287
2.136 0.199121 0.0122659 0.293843 0.104399
2.6427 0.129632 0.15006 0.847973 -0.588709
3.14981 0.163786 0.00887197 0.219921 0.107651
3.65677 0.0950408 0.0262258 0.145264 0.0448176
4.31872 0.060491 0.0172452 0.121125 -0.000142701
5.34873 0.0037397 0.0243178 0.0545177 -0.0470383
6.36852 -0.0214846 0.0287799 0.0159592 -0.0589284
7.38104 0.00108869 0.0390513 0.029319 -0.0271416
8.38592 0.00872301 0.0561236 0.0343594 -0.0169134
9.39705 0.00332702 0.0779997 0.0333642 -0.0267102
11.0647 0.0473344 0.0535669 0.0727487 0.0219201
14.1186 -0.11019 0.136585 -0.0484767 -0.171903
