#1509.07758v1
#pT v3 stat+ stat- syst+ syst-
0.50 0.0094 0.0155 -0.0163 0.0039 -0.0052
0.70 0.0237 0.0142 -0.0146 0.0099 -0.0111
0.90 0.0094 0.0143 -0.0163 0.0119 -0.0173
1.10 0.0333 0.0204 -0.0218 0.0193 -0.0223
1.30 0.0558 0.0247 -0.0247 0.0233 -0.0233
1.50 0.0299 0.0314 -0.0346 0.0246 -0.0301
1.70 0.0476 0.0305 -0.0317 0.0161 -0.0177
1.90 -0.0006 0.0461 -0.0535 0.0189 -0.0265
2.25 0.2094 0.0657 -0.0516 0.0461 -0.0299
3.00 0.0637 0.0672 -0.0672 0.0172 -0.0174
4.25 0.2753 0.4140 -0.4118 0.1492 -0.076
