#x	xlow	xhigh	yield	low stat	high stat	low syst	high syst
#1.8273165032	1.7516143395	1.9025090786	2.9756014488	1.4778438242	4.3915625981	0.8918609137	5.1283466947
#2.0228002131	1.9171172748	2.1132804357	1.1768526696	0.7377444965	1.7346445603	0.3136289568	2.1904124807
#2.2035341746	2.128086805	2.2940143972	0.7418480184	0.5028702341	1.0120846667	0.3153734405	1.1382696552
#2.3842964465	2.2936746717	2.4747766691	0.4861761904	0.41597265	0.6139161991	0.3050339492	0.6895749739
#2.5646623721	2.4741821495	2.655227526	0.1848714364	0.1407012313	0.2427007529	0.0992843284	0.2947817748
#2.7452830917	2.6547179378	2.8357633143	0.0997514128	0.0730544274	0.1259067916	0.0458354007	0.1470932561
#2.9108709584	2.8353952783	3.0315867497	0.0581506793	0.0426238709	0.0763732734	0.0312295466	0.0857854836
#3.1066377728	3.0161009294	3.2122640902	0.033928225	0.0229986385	0.0428426717	0.0196944487	0.0500518518
#3.3021214827	3.2115563288	3.3775405419	0.0134186392	0.0069286425	0.019795546	0.0043452757	0.0231166973
#3.5583594347	3.3921204275	3.7544942851	0.0091621974	0.0067157998	0.0120333419	0.0045523823	0.0140642043
#3.9650391585	3.7537299028	4.2064141202	0.0033726358	0.0026708779	0.0044276242	0.0018112581	0.0051726651
#4.447109631	4.2056780483	4.6884845927	0.0011510494	0.0006943481	0.0015710181	0.0004188519	0.0018353749
#5.0649004373	4.6875220371	5.592890472	0.0003509365	0.0002289122	0.0004979682	9.36436861581631E-005	0.0006288065
#6.0148861534	5.5923808837	6.4977493186	0.00014741	0.000096113	0.0002091703	7.60819057892541E-005	0.0002260851
#7.281524338	6.4967584526	8.3226414172	4.57751394536742E-005	3.22594208172358E-005	6.01196285748434E-005	2.36357483154528E-005	6.74999393462289E-005
#9.4682807059	8.3213108257	11.0827128625	9.14966356413964E-006	4.91378343453933E-006	1.15586160263595E-005	3.46144628715723E-006	1.51613032763107E-005
#x	x low	x high	yield	low stat	high stat	low syst	high syst
0.9053497942	0.8230452675	0.999654321	2.7772119324	1.377519465	4.0999820456	0.8301812728	4.7912753253
1.1193415638	1.0041152263	1.2001069959	1.090420443	0.6832607387	1.6097814452	0.2900053535	2.0336240847
1.316872428	1.2045679012	1.4006378601	0.6832607387	0.4628215088	0.9330927435	0.2900053535	1.048761393
1.5144032922	1.4006378601	1.6001687243	0.4451396096	0.3809141165	0.5623413252	0.2789258221	0.6320506462
1.7119341564	1.6001687243	1.8006995885	0.1680985277	0.1279802214	0.2207928281	0.0901337039	0.2682695795
1.9094650206	1.8006995885	2.0082304527	0.0901337039	0.0660007502	0.1138651906	0.0413562692	0.13306387
2.0905349794	2.0082304527	2.2000222222	0.0522450456	0.038256635	0.0686224415	0.0280135676	0.0771290612
2.304526749	2.2007613169	2.4197530864	0.0302832867	0.0205130423	0.038256635	0.017553386	0.0447070424
2.5185185185	2.4197530864	2.6008230453	0.0118901674	0.0061318848	0.017553386	0.0038422575	0.0205130423
2.7983539095	2.6002839506	3.002345679	0.0080540633	0.0058976187	0.0105787923	0.0039948802	0.0123624704
3.2427983539	3.002345679	3.5001728395	0.0029252663	0.0023155899	0.0038422575	0.0015685152	0.0044900961
3.7695473251	3.5001728395	4.0029218107	0.0009828363	0.00059232	0.0013422072	0.0003569699	0.0015685152
4.4444444444	4.0029218107	5.0005761317	0.0002937955	0.0001914057	0.0004171582	7.8137073765181E-005	0.0005269926
5.4814814815	5.0005761317	6.0082304527	0.0001199354	7.8137073765181E-005	0.0001702954	6.18519481942179E-005	0.0001840931
6.8641975309	6.0082304527	8	3.58518258518045E-005	2.52496660818643E-005	4.70903947239131E-005	1.84891647896165E-005	5.29278448569263E-005
9.2510288066	8	11.012345679	6.71533479111516E-006	3.60073348498562E-006	8.48342898244071E-006	2.53591877081761E-006	1.11427524234532E-005
