#pT	1/2pidN/ptdpt	val-stat_err	val+stat_err	val-sys_err	val+sys_err	x-dx	x+dx
0.9048178613	2.9246619074	1.5101540775	4.1499766186	0.8762408804	4.8487249372	0.8061104582	1.0035252644
1.1022326675	1.1496993376	0.667093229	1.6314512628	0.3065457541	1.9058840533	1.0035252644	1.1927144536
1.2831962397	0.69319245	0.4884993618	0.8752805999	0.3063497406	1.0225616867	1.1927144536	1.3983548766
1.5135135135	0.469591796	0.4019741533	0.5929985942	0.2832879801	0.6663621553	1.3983548766	1.6039952997
1.6944770858	0.1846073361	0.1352523083	0.2331000863	0.088190832	0.2723232041	1.6039952997	1.7931844889
1.8918918919	0.0881424941	0.0645745255	0.1157135479	0.0437769372	0.135184352	1.7931844889	1.9988249119
2.1057579318	0.0531392223	0.0389341562	0.0697612202	0.0296586743	0.0783882352	1.9988249119	2.2044653349
2.303172738	0.0346286852	0.0217164843	0.0404555599	0.0185886266	0.045458493	2.2044653349	2.4018801411
2.5005875441	0.0125942847	0.00650308	0.0178699627	0.0039227178	0.0208768928	2.4018801411	2.6486486487
2.7967097532	0.0082049372	0.0057823621	0.0099655903	0.0042368267	0.0121046055	2.6486486487	3.0105757932
3.2244418331	0.00310042	0.0022714146	0.0040702343	0.0016008339	0.0043991693	3.0105757932	3.4876615746
3.7508813161	0.0009275417	0.0006536475	0.0013683866	0.0003648213	0.0016618694	3.4876615746	4.1045828437
4.4582843713	0.0003116626	0.000195469	0.0004422366	8.31E-005	0.0005166506	4.1045828437	4.9682726205
5.4782608696	0.000142805	7.97E-005	0.0001734567	6.31E-005	0.0001803253	4.9682726205	5.9882491188
6.8601645123	3.65E-005	2.78E-005	0.000047894	1.88E-005	0.000055953	5.9882491188	7.5511163337
