# E_photon	π+＋π-→π+＋π-＋γ	π+＋π-→π+＋π-＋γ_error	π+＋π+→π+＋π+＋γ	π+＋π+→π+＋π+＋γ_error	π-＋π-→π-＋π-＋γ	π-＋π-→π-＋π-＋γ_error	π+＋π0→π+＋π0＋γ	π+＋π0→π+＋π0＋γ_error	π-＋π0→π-＋π0＋γ	π-＋π0→π-＋π0＋γ_error	π+＋π-→π0＋π0＋γ	π+＋π-→π0＋π0＋γ_error	π0＋π0→π+＋π-＋γ	π0＋π0→π+＋π-＋γ_error	total	total_error	
0.01	0.04902578020140787	0.0004106928057584083	0.0043059962303083335	5.15020223979804e-05	0.0043010313157289285	5.2599438770478666e-05	0.005579369339906846	4.012313234588505e-05	0.005570612267075674	3.98709003336195e-05	0.002240389568979438	2.7946110129053046e-05	0.00418444558294244	4.578542018222727e-05	0.07520762450634955	0.0005290444373463741
0.03	0.007324921226284742	5.942069438886148e-05	0.0006485720401639241	8.019828225735543e-06	0.0006477629432306716	7.60431096102931e-06	0.0008452900453440975	6.192509246693682e-06	0.00084422984260691	6.140788449053572e-06	0.0003304878930443135	4.28702804142896e-06	0.0006061172569006784	6.294652306338324e-06	0.01124738124757534	7.709156845144099e-05
0.05	0.00329333540364558	2.6482161732463625e-05	0.00028878970802803444	3.319028882206013e-06	0.00028824295647582603	3.425982759437092e-06	0.00037890076673978976	2.7634144870823297e-06	0.0003783581332330771	2.634262915841426e-06	0.0001490938076378928	1.8596318189320498e-06	0.00026619208232825213	2.9597372156841885e-06	0.005042912858088453	3.4298283134969316e-05
0.06999999999999999	0.0019323867046226232	1.6287766936499014e-05	0.0001667405560715143	1.9974044698068198e-06	0.0001664716002001067	1.9386885862939455e-06	0.0002209616674992	1.6178560333000894e-06	0.0002205770104806003	1.5246236885911425e-06	8.7169126754221e-05	1.0957516752376786e-06	0.0001520958014051799	1.658006465398369e-06	0.002946402467033445	2.0660481913068227e-05
0.09	0.0012840941329879964	1.0651469204256464e-05	0.00010871442694927288	1.2591146360339451e-06	0.00010844027635690033	1.2222747201363474e-06	0.00014533761898797342	1.0637902107449184e-06	0.00014509534513313613	1.0140893444272534e-06	5.75282594254376e-05	7.335993150380044e-07	9.819980676889289e-05	1.022068080311054e-06	0.00194740986660961	1.3560332294575224e-05
0.11	0.000915080987767781	7.676330965361532e-06	7.568911309507836e-05	9.161939779569284e-07	7.553574346888344e-05	8.782042092405611e-07	0.00010220031494306522	7.398032162349426e-07	0.00010201260822356182	7.158760810096917e-07	4.085833386711315e-05	5.186196998811482e-07	6.795949138388712e-05	6.92464717363982e-07	0.0013793365927493705	9.650661266362882e-06
0.13	0.0006798661015603848	5.796147994721961e-06	5.494351160442745e-05	6.51834521903929e-07	5.480837292483572e-05	6.274028390345727e-07	7.47049496234233e-05	5.484592645760501e-07	7.458543436194217e-05	5.183290656618743e-07	3.0396951705523503e-05	3.429263046337885e-07	4.9067002321475e-05	5.324691342931073e-07	0.0010183723241020122	7.223639359843474e-06
0.15000000000000002	0.0005185485252316974	4.314291115580119e-06	4.100354706371901e-05	4.963102214834017e-07	4.09244270842135e-05	4.677749118647446e-07	5.598821119364209e-05	3.8781567811823297e-07	5.5903399451621475e-05	3.894245640077835e-07	2.3371834204441063e-05	2.8803980625455565e-07	3.645033613293436e-05	3.84309240960849e-07	0.0007721902803622686	5.453602308263354e-06
0.17	0.0004016451738053454	3.3173792026631077e-06	3.1179661816392766e-05	3.654922761195836e-07	3.11141887438132e-05	3.572996128997459e-07	4.265200273565519e-05	3.0177507823598516e-07	4.258630713461461e-05	2.9700914446625633e-07	1.8435990602976863e-05	2.3918146543178057e-07	2.7620301090770897e-05	2.78676547958206e-07	0.0005952336259295688	4.174533224209694e-06
0.19	0.00031437700283884143	2.5704451147450218e-06	2.4027288090989187e-05	3.028650984704592e-07	2.3976790916554382e-05	2.734628669041807e-07	3.2845285941854966e-05	2.417004964344934e-07	3.278965032678783e-05	2.3309082890059713e-07	1.4857992741130343e-05	2.1243951278279544e-07	2.1194714256357097e-05	2.338712644488892e-07	0.00046406872511251527	3.2852022756082787e-06
