# E_photon	π+＋π-→π+＋π-＋γ	π+＋π-→π+＋π-＋γ_error	π+＋π+→π+＋π+＋γ	π+＋π+→π+＋π+＋γ_error	π-＋π-→π-＋π-＋γ	π-＋π-→π-＋π-＋γ_error	π+＋π0→π+＋π0＋γ	π+＋π0→π+＋π0＋γ_error	π-＋π0→π-＋π0＋γ	π-＋π0→π-＋π0＋γ_error	π+＋π-→π0＋π0＋γ	π+＋π-→π0＋π0＋γ_error	π0＋π0→π+＋π-＋γ	π0＋π0→π+＋π-＋γ_error	total	total_error	
0.01	0.001240163945649607	0.0005974785521399514	0.004887712672545031	0.0006279735624405785	0.004750422047303429	0.0005327625621048559	0.006237197133981053	0.0005291274842195215	0.006197576148886461	0.000561596399983681	0.0002873874401386685	0.0001652014772142962	0.004697061918146368	0.000529880825864726	0.028297521306650614	0.0020256351847765435
0.03	0.0001706724631851402	8.119745512009907e-05	0.0007330347144066076	9.086708154553589e-05	0.0007188500580672372	8.207666432871829e-05	0.000937557965175574	8.319590719968367e-05	0.000940656064323385	8.64046146274943e-05	3.918242159706752e-05	1.987042654644072e-05	0.0006833609639385972	5.858134380021518e-05	0.004223314650693607	0.00026788718070352193
0.05	7.58595131467011e-05	3.461296500502049e-05	0.0003267209946656052	3.9592799044599885e-05	0.0003180607760601412	3.858383498662261e-05	0.0004191006670339135	3.827080876807459e-05	0.0004204480853768617	3.764258881978565e-05	1.9962723863910984e-05	9.153027297093712e-06	0.0002981445333419762	3.0122854956767384e-05	0.00187829729348911	0.00012592003170937982
0.06999999999999999	4.5932065284381674e-05	1.920817461774006e-05	0.00018777567065948774	2.305526551361668e-05	0.00018379289770344094	2.1919322584993692e-05	0.0002472646613857264	2.1775462411341728e-05	0.00024392528201907016	2.2677299691647e-05	1.2986059048065046e-05	5.959770185059736e-06	0.00017060690103159844	1.7973491867488568e-05	0.0010922835371317708	7.55215712192744e-05
0.09	2.8880284125549346e-05	1.124506751453098e-05	0.00012305527804371076	1.5101870222763504e-05	0.00012032076000006429	1.5217621979903444e-05	0.0001615788470431898	1.3864511272357684e-05	0.0001620381365591332	1.6049583954436437e-05	1.0062240975189733e-05	4.888199387909852e-06	0.00011059233981854556	1.0925462526853614e-05	0.0007165278865653827	4.876432123144871e-05
0.11	2.245837825999759e-05	9.37884175768022e-06	8.512638819852995e-05	1.0597260532009315e-05	8.392993032047368e-05	1.0223364783671479e-05	0.00011332771988312797	1.0131612216925132e-05	0.00011272038423936074	1.0593609926842048e-05	7.582040120167261e-06	3.880590938562991e-06	7.57922255544985e-05	7.105763569086982e-06	0.0005009370665761556	3.370546719438355e-05
0.13	1.6360246307339554e-05	6.629202880851775e-06	6.214367219602087e-05	7.916701857763084e-06	6.085320436037343e-05	6.947895768730759e-06	8.32772123158564e-05	7.165166548397052e-06	8.295453299065613e-05	7.840613990927995e-06	6.611492628645582e-06	3.129976624336752e-06	5.473138024084928e-05	5.510216222033491e-06	0.00036693174103974137	2.3846584217125606e-05
0.15000000000000002	1.3025290543302241e-05	5.400468412575286e-06	4.645806974918534e-05	5.773767901417509e-06	4.5530305400935274e-05	5.553918409022539e-06	6.186718401792669e-05	5.467485466281264e-06	6.218216368609146e-05	6.170419327429448e-06	5.765971991381248e-06	2.817529148777511e-06	4.05313679962083e-05	4.278690300272102e-06	0.00027536035338503054	1.8786016064565896e-05
0.17	1.1828885574850792e-05	4.936955809637507e-06	3.5487493841211205e-05	4.420234154694745e-06	3.4489790069612246e-05	4.5080245936697596e-06	4.7491489023582374e-05	4.136102641618706e-06	4.722935716213364e-05	4.302254888178018e-06	4.590453361747198e-06	2.2875223628126673e-06	3.072778834023896e-05	3.193491194894639e-06	0.00021184525737337644	1.4639203664525472e-05
0.19	9.097036834085386e-06	3.720727193290405e-06	2.729585306410047e-05	3.5097766341843216e-06	2.670658445358558e-05	3.065194465621674e-06	3.671500082544296e-05	3.112897944048369e-06	3.65550134951693e-05	3.568654471057202e-06	4.004880594017643e-06	1.8082024823482055e-06	2.3670271034735246e-05	2.640204550223902e-06	0.0001640446403011366	1.0779039943028219e-05
0.21000000000000002	8.016061908938677e-06	3.489528482263937e-06	2.1420987447476865e-05	2.787631784381349e-06	2.0766979642877504e-05	2.4432512099090797e-06	2.8281014294543674e-05	2.4235706635234557e-06	2.808211897248737e-05	2.7099940498335785e-06	3.506323235292644e-06	1.8187887973422e-06	1.8220481567867392e-05	1.8967134683616942e-06	0.00012829396706948414	9.396435508360087e-06
0.23	6.878806563308589e-06	2.6551450114204203e-06	1.6636607377677512e-05	2.1933998270148717e-06	1.6218693119744826e-05	2.0727226279319638e-06	2.2109288975568953e-05	1.979747990065818e-06	2.2067144259667296e-05	2.364418983914976e-06	3.0682948544046735e-06	1.3905254095269905e-06	1.4372996219936511e-05	1.704247571756063e-06	0.00010135183137030836	7.898058815548633e-06
0.25	6.193861117322896e-06	2.59929486390305e-06	1.3331786430863283e-05	1.7115500309790145e-06	1.2777309456974146e-05	1.5956267850618255e-06	1.7475442883094125e-05	1.5791078342992285e-06	1.725876044376692e-05	1.725495488323812e-06	2.5062260349793785e-06	1.1145151189977316e-06	1.1034508974770924e-05	1.2445334060726055e-06	8.057789534177167e-05	6.332476091875127e-06
0.27	5.2797631900776716e-06	1.9163053193297983e-06	1.0435036174657522e-05	1.4831241283116568e-06	1.0186808933191096e-05	1.3319508953935037e-06	1.3746975166384083e-05	1.141419161286576e-06	1.35403065144071e-05	1.3560284151054082e-06	2.2846399340378775e-06	1.0453814242055467e-06	8.718799721068585e-06	9.009490572679342e-07	6.419232963382394e-05	4.9933033157658435e-06
