#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	2.4240561175e-04	-3.1384799730e-20	7.1329090295e-22	-1.7118981671e-20	1.5692399865e-20	8.5594908354e-21	-2.8531636118e-21	-2.3538599797e-20	2.4251890700e-20	-3.6556158776e-20	4.1370872371e-20	-6.6336053974e-20	-1.0842021725e-19
4.0000000000e-01	3.6323731440e-05	-1.7832272574e-21	-2.6748408861e-22	-1.6049045316e-21	1.9615499831e-21	1.0699363544e-21	-5.3496817721e-22	-3.9230999662e-21	4.2797454177e-21	-5.0821976835e-21	6.7762635780e-21	-8.3811681097e-21	-1.6049045316e-20
6.0000000000e-01	1.2597604770e-05	-7.1329090295e-22	-5.7954885865e-22	-5.3496817721e-22	9.8077499156e-22	7.5787158439e-22	-4.4580681434e-22	-1.0253556730e-21	1.4265818059e-21	-1.9058241313e-21	2.3181954346e-21	-3.0760670190e-21	-5.7954885865e-21
8.0000000000e-01	4.3286120042e-06	-1.7832272574e-22	-2.2290340717e-23	-1.5603238502e-22	5.5725851793e-22	2.0061306645e-22	-2.2290340717e-23	-4.2351647363e-22	5.3496817721e-22	-6.5199246598e-22	7.1329090295e-22	-1.0365008434e-21	-1.9169693017e-21
1.0000000000e+00	1.3723061997e-06	-1.3374204430e-22	-5.5725851793e-23	-3.3435511076e-23	1.4488721466e-22	5.5725851793e-23	-3.3435511076e-23	-8.9161362869e-23	1.3374204430e-22	-2.1942054144e-22	2.1175823681e-22	-3.5107286630e-22	-6.2412954008e-22
1.2000000000e+00	4.1116187964e-07	-2.7862925897e-23	1.8110901833e-23	-2.2290340717e-23	4.4580681434e-23	2.7862925897e-23	2.7862925897e-24	-3.2042364781e-23	4.1794388845e-23	-5.1894699482e-23	6.9657314741e-23	-1.0587911841e-22	-1.8110901833e-22
1.4000000000e+00	1.1908522125e-07	-9.7520240638e-24	-1.3931462948e-24	-4.1794388845e-24	9.0554509164e-24	6.9657314741e-24	-1.3931462948e-24	-9.7520240638e-24	1.1145170359e-23	-1.5672895817e-23	1.8807474980e-23	-2.8211212470e-23	-5.3636132351e-23
1.6000000000e+00	3.3730688353e-08	-2.0897194422e-24	1.5672895817e-24	-1.3931462948e-24	1.3931462948e-24	1.5672895817e-24	-1.2190030080e-24	-2.2638627291e-24	3.1345791634e-24	-5.4202098033e-24	5.5725851793e-24	-8.7071643427e-24	-1.4976322669e-23
1.8000000000e+00	9.4157966167e-09	-8.7071643427e-25	3.9182239542e-25	-4.7889403885e-25	7.4010896913e-25	4.3535821713e-25	-2.6121493028e-25	-7.4010896913e-25	8.7071643427e-25	-1.4421240943e-24	1.5672895817e-24	-2.3509343725e-24	-4.1794388845e-24
2.0000000000e+00	2.6027409896e-09	-2.8298284114e-25	5.4419777142e-27	-8.7071643427e-26	1.9591119771e-25	1.5237537600e-25	-8.7071643427e-26	-2.2312108628e-25	2.3944701942e-25	-4.3943970042e-25	4.7889403885e-25	-6.7480523656e-25	-1.1536992754e-24
2.2000000000e+00	7.1449614592e-10	-3.2651866285e-26	3.2651866285e-26	-4.3535821713e-26	6.8024721427e-26	2.4488899714e-26	-3.2651866285e-26	-8.0269171284e-26	7.0745710284e-26	-1.1292103757e-25	1.2516548743e-25	-1.7958526457e-25	-3.1563470742e-25
2.4000000000e+00	1.9510442367e-10	-1.3604944285e-26	-6.1222249284e-27	-1.0883955428e-26	2.3128405285e-26	3.4012360714e-27	-4.0814832856e-27	-1.7686427571e-26	1.9046922000e-26	-3.3502175303e-26	3.8093843999e-26	-5.3739529927e-26	-8.8432137855e-26
2.6000000000e+00	5.3059069657e-11	-3.0611124642e-27	1.7006180357e-27	-2.3808652499e-27	4.4216068928e-27	2.7209888571e-27	6.8024721427e-28	-4.8467614017e-27	5.7821013213e-27	-8.2905129239e-27	8.8432137855e-27	-1.2754635268e-26	-2.3128405285e-26
2.8000000000e+00	1.4380380561e-11	-1.1904326250e-27	1.3179789776e-27	-5.9521631249e-28	1.3604944285e-27	5.9521631249e-28	-1.7006180357e-28	-1.5092985067e-27	1.3604944285e-27	-2.2533188973e-27	2.3808652499e-27	-3.6563287767e-27	-6.2922867320e-27
