#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	3.2700777181e-04	-2.2825308894e-20	1.4265818059e-21	-1.4265818059e-20	3.7091126953e-20	9.9860726413e-21	-1.4265818059e-20	-2.4965181603e-20	3.1384799730e-20	-4.5828940515e-20	5.7063272236e-20	-8.7021490160e-20	-1.4551134420e-19
4.0000000000e-01	3.6257446373e-05	-2.4965181603e-21	2.7640022489e-21	-1.4265818059e-21	4.8147135949e-21	2.4965181603e-21	-3.5664545148e-22	-3.0314863375e-21	3.9230999662e-21	-5.1490687057e-21	6.0629726751e-21	-9.9860726413e-21	-1.6049045316e-20
6.0000000000e-01	1.0628847746e-05	-9.8077499156e-22	-5.5725851793e-22	-2.6748408861e-22	1.0253556730e-21	2.2290340717e-22	-4.4580681434e-22	-8.6932328797e-22	1.0699363544e-21	-1.6550577983e-21	1.7832272574e-21	-2.7640022489e-21	-4.5472295063e-21
8.0000000000e-01	3.5759232927e-06	-1.3374204430e-22	1.1145170359e-22	-1.5603238502e-22	3.7893579219e-22	1.7832272574e-22	0.0000000000e+00	-3.2320994040e-22	3.5664545148e-22	-5.2103671426e-22	6.2412954008e-22	-8.9161362869e-22	-1.6049045316e-21
1.0000000000e+00	1.1391273960e-06	-5.5725851793e-23	-2.5076633307e-23	-6.6871022152e-23	1.0587911841e-22	5.0153266614e-23	-5.5725851793e-24	-1.0587911841e-22	1.1145170359e-22	-1.6648098223e-22	2.0061306645e-22	-2.7305667379e-22	-5.3496817721e-22
1.2000000000e+00	3.4325062361e-07	-2.2290340717e-23	8.3588777690e-24	-1.6717755538e-23	4.4580681434e-23	1.9504048128e-23	0.0000000000e+00	-2.3683487012e-23	3.0649218486e-23	-4.8760120319e-23	6.1298436972e-23	-8.6375070279e-23	-1.5324609243e-22
1.4000000000e+00	9.9792867809e-08	-9.0554509164e-24	1.2886603227e-23	-2.7862925897e-24	1.0448597211e-23	4.5277254582e-24	-1.3931462948e-24	-9.7520240638e-24	9.0554509164e-24	-1.3931462948e-23	1.6021182391e-23	-2.4380060159e-23	-4.3884108287e-23
1.6000000000e+00	2.8338630788e-08	-2.7862925897e-24	6.0950150399e-25	-1.0448597211e-24	2.2638627291e-24	1.5672895817e-24	-3.4828657371e-25	-2.4380060159e-24	3.1345791634e-24	-4.1794388845e-24	4.8760120319e-24	-7.1398747610e-24	-1.2364173367e-23
1.8000000000e+00	7.9298068484e-09	-6.0950150399e-25	2.1767910857e-26	-2.6121493028e-25	6.9657314741e-25	2.1767910857e-25	-2.1767910857e-25	-7.4010896913e-25	6.9657314741e-25	-1.1645832308e-24	1.3060746514e-24	-1.8720403337e-24	-3.6570090239e-24
2.0000000000e+00	2.1987657190e-09	-1.5237537600e-25	-1.0883955428e-25	-5.4419777142e-26	1.9591119771e-25	1.1972350971e-25	2.1767910857e-26	-2.1767910857e-25	2.1767910857e-25	-3.1835569628e-25	3.9182239542e-25	-5.6052370456e-25	-9.3602016684e-25
