#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	7.2339438520e-04	-7.9888581131e-20	5.1356945012e-20	-3.9944290565e-20	6.5622763071e-20	2.5678472506e-20	0.0000000000e+00	-7.2755672101e-20	6.2769599460e-20	-1.0949015360e-19	1.3124552614e-19	-1.8260247116e-19	-3.2526065175e-19
4.0000000000e-01	5.8557758033e-05	-3.2098090633e-21	-7.1329090295e-22	-2.1398727089e-21	7.1329090295e-21	2.8531636118e-21	-1.0699363544e-21	-5.0821976835e-21	4.6363908692e-21	-8.4257487911e-21	9.6294271898e-21	-1.4444140785e-20	-2.5321827055e-20
6.0000000000e-01	8.0304195763e-06	-4.4580681434e-22	-4.9038749578e-22	-4.0122613291e-22	8.0245226582e-22	3.1206477004e-22	-3.1206477004e-22	-5.5725851793e-22	8.9161362869e-22	-1.3262752727e-21	1.4265818059e-21	-2.1621630496e-21	-3.5664545148e-21
8.0000000000e-01	1.3683872768e-06	-4.4580681434e-23	-1.1145170359e-23	-7.8016192510e-23	2.0061306645e-22	6.1298436972e-23	-4.4580681434e-23	-1.3931462948e-22	1.5603238502e-22	-2.1872396829e-22	2.2290340717e-22	-3.5664545148e-22	-6.1298436972e-22
1.0000000000e+00	2.6144889687e-07	-1.9504048128e-23	-7.6623046215e-24	-1.3931462948e-23	2.0897194422e-23	1.5324609243e-23	-8.3588777690e-24	-1.5324609243e-23	2.5076633307e-23	-4.3013391853e-23	4.1794388845e-23	-6.1298436972e-23	-1.1981058136e-22
1.2000000000e+00	5.3577688005e-08	-6.2691583267e-24	-6.9657314741e-25	-2.0897194422e-24	5.9208717530e-24	1.3931462948e-24	-1.3931462948e-24	-5.1372269622e-24	5.2242986056e-24	-7.0528031176e-24	8.7071643427e-24	-1.2712459940e-23	-2.2986913865e-23
1.4000000000e+00	1.1501816916e-08	-7.8364479084e-25	-4.3535821713e-26	-3.4828657371e-25	1.1754671863e-24	5.6596568227e-25	-1.7414328685e-25	-1.0448597211e-24	1.1319313645e-24	-1.8502724228e-24	2.0026477988e-24	-2.8733642331e-24	-5.0501553187e-24
1.6000000000e+00	2.5533578947e-09	-1.7414328685e-25	1.0883955428e-26	-1.0883955428e-25	2.2856306399e-25	1.6325933142e-25	2.1767910857e-26	-2.4488899714e-25	2.3944701942e-25	-4.1631129513e-25	4.3535821713e-25	-6.4215337027e-25	-1.1101634537e-24
1.8000000000e+00	5.8139592363e-10	-4.8977799427e-26	-8.1629665712e-27	-1.3604944285e-26	5.9861754856e-26	3.8093843999e-26	0.0000000000e+00	-4.7617304999e-26	6.5303732570e-26	-7.8908676855e-26	1.0339757657e-25	-1.5237537600e-25	-2.5577295257e-25
2.0000000000e+00	1.3505414829e-10	-2.7209888571e-27	3.0611124642e-27	-5.4419777142e-27	9.5234609998e-27	8.1629665712e-27	-5.4419777142e-27	-1.2584573464e-26	1.3604944285e-26	-2.0407416428e-26	2.4488899714e-26	-3.4692607928e-26	-5.9861754856e-26
2.2000000000e+00	3.1890457430e-11	-1.3604944285e-27	-1.5305562321e-27	0.0000000000e+00	2.8910506606e-27	1.7006180357e-27	-1.1904326250e-27	-2.9760815624e-27	3.0611124642e-27	-5.0805963816e-27	5.4419777142e-27	-8.1629665712e-27	-1.3945067893e-26
2.4000000000e+00	7.6345097223e-12	-3.4012360714e-28	2.5509270535e-28	-1.7006180357e-28	3.8263905803e-28	5.1018541070e-28	-5.1018541070e-28	-4.0389678347e-28	6.8024721427e-28	-1.1585460368e-27	1.4455253303e-27	-1.8494221138e-27	-3.4012360714e-27
2.6000000000e+00	1.8493883606e-12	-1.7006180357e-28	9.0345333145e-29	-8.5030901784e-29	1.0628862723e-28	9.5659764507e-29	-2.1257725446e-29	-1.2488913699e-28	2.0194839174e-28	-2.9627954840e-28	3.1886588169e-28	-4.4109780300e-28	-8.2905129239e-28
2.8000000000e+00	4.5270455145e-13	-4.2515450892e-29	2.3914941127e-29	-1.8600509765e-29	6.6430392019e-29	2.9229372488e-29	-1.5943294084e-29	-4.1186843052e-29	4.2515450892e-29	-6.2444568497e-29	7.4402039061e-29	-1.1160305859e-28	-2.0194839174e-28
3.0000000000e+00	1.1176563558e-13	-8.6359509624e-30	-2.9893676408e-30	-3.3215196009e-30	7.3073431220e-30	3.9858235211e-30	-5.3144313615e-30	-1.0296710763e-29	1.1957470563e-29	-1.9513927655e-29	1.7271901925e-29	-2.9893676408e-29	-5.0487097934e-29
3.2000000000e+00	2.7856644474e-14	-9.9645588028e-31	1.6607598005e-30	-1.3286078404e-30	3.3215196009e-30	1.4946838204e-30	-3.3215196009e-31	-2.5326586957e-30	2.6572156807e-30	-4.3594944762e-30	4.6501274413e-30	-7.3073431220e-30	-1.2621774484e-29
3.4000000000e+00	6.9186023690e-15	-4.9822794014e-31	1.0379748753e-31	-2.9063296508e-31	8.3037990023e-31	2.9063296508e-31	-8.3037990023e-32	-5.5012668390e-31	6.2278492517e-31	-1.0743039959e-30	1.1210128653e-30	-1.6400003030e-30	-3.1139246259e-30
