#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	1.5047529039e-04	-8.5594908354e-21	7.1329090295e-22	-4.2797454177e-21	1.1412654447e-20	8.5594908354e-21	-2.8531636118e-21	-1.3909172608e-20	1.1412654447e-20	-2.5232665692e-20	2.4251890700e-20	-3.7804417856e-20	-6.5622763071e-20
4.0000000000e-01	2.0901527254e-05	-1.2482590802e-21	8.0245226582e-22	-5.3496817721e-22	8.9161362869e-22	1.3374204430e-21	-8.9161362869e-22	-1.8278079388e-21	1.7832272574e-21	-3.2098090633e-21	3.5664545148e-21	-5.0821976835e-21	-9.6294271898e-21
6.0000000000e-01	8.5937787634e-06	-6.2412954008e-22	-1.7832272574e-22	-4.0122613291e-22	9.3619431012e-22	3.1206477004e-22	-2.2290340717e-22	-7.3558124367e-22	8.9161362869e-22	-1.3820011245e-21	1.3374204430e-21	-2.1398727089e-21	-3.9230999662e-21
8.0000000000e-01	3.5789511553e-06	-3.7893579219e-22	2.2290340717e-23	-2.2290340717e-22	2.8977442932e-22	1.3374204430e-22	0.0000000000e+00	-2.6191150343e-22	3.7893579219e-22	-5.7118998088e-22	6.0183919936e-22	-9.2504913976e-22	-1.5603238502e-21
1.0000000000e+00	1.3101128304e-06	-1.3374204430e-22	8.0802485100e-23	-5.5725851793e-23	1.2259687394e-22	4.4580681434e-23	-1.1145170359e-23	-1.1981058136e-22	1.2259687394e-22	-2.0757879793e-22	2.1175823681e-22	-3.3435511076e-22	-5.7954885865e-22
1.2000000000e+00	4.3879134136e-07	-3.0649218486e-23	1.8110901833e-23	-1.9504048128e-23	1.3931462948e-23	1.6717755538e-23	-5.5725851793e-24	-3.9704669403e-23	3.6221803665e-23	-7.2791893905e-23	7.8016192510e-23	-1.1284484988e-22	-2.0061306645e-22
1.4000000000e+00	1.3894395202e-07	-9.7520240638e-24	-3.4828657371e-25	0.0000000000e+00	1.3234889801e-23	7.6623046215e-24	-2.7862925897e-24	-1.3931462948e-23	1.3931462948e-23	-2.1680839213e-23	2.2290340717e-23	-3.4828657371e-23	-6.2691583267e-23
1.6000000000e+00	4.2418105271e-08	-2.0897194422e-24	-2.0897194422e-24	-1.3931462948e-24	4.0052955976e-24	1.7414328685e-24	-1.3931462948e-24	-3.4828657371e-24	3.8311523108e-24	-6.5956769896e-24	7.3140180478e-24	-1.0100310637e-23	-1.9155761554e-23
1.8000000000e+00	1.2631761658e-08	-1.2190030080e-24	2.6121493028e-25	-5.2242986056e-25	1.2190030080e-24	4.3535821713e-25	-2.6121493028e-25	-1.1101634537e-24	1.3060746514e-24	-1.8067366011e-24	2.0897194422e-24	-3.3087224502e-24	-5.7467284662e-24
2.0000000000e+00	3.6958497798e-09	-2.8298284114e-25	5.4419777142e-26	-1.7414328685e-25	3.9182239542e-25	1.9591119771e-25	-4.3535821713e-26	-2.8298284114e-25	3.9182239542e-25	-5.2242986056e-25	6.5303732570e-25	-8.7071643427e-25	-1.6761291360e-24
