#pt	yield	yield*vn_cos[1]	 yield*vn_sin[1]	yield*vn_cos[2]	 yield*vn_sin[2]	yield*vn_cos[3]	 yield*vn_sin[3]	yield*vn_cos[4]	 yield*vn_sin[4]	yield*vn_cos[5]	 yield*vn_sin[5]	yield*vn_cos[6]	 yield*vn_sin[6]
2.0000000000e-01	3.2123352358e-07	-4.1794388845e-23	3.4828657371e-24	-1.1145170359e-23	3.7614949960e-23	6.9657314741e-24	-2.7862925897e-24	-2.3683487012e-23	2.7862925897e-23	-4.0052955976e-23	5.5725851793e-23	-7.6623046215e-23	-1.3931462948e-22
4.0000000000e-01	3.6377630739e-06	-2.6748408861e-22	-8.9161362869e-23	-1.5603238502e-22	3.1206477004e-22	1.5603238502e-22	-2.2290340717e-23	-3.3435511076e-22	3.5664545148e-22	-5.6004481052e-22	5.7954885865e-22	-9.1390396941e-22	-1.6271948724e-21
6.0000000000e-01	3.7178608183e-06	-2.0061306645e-22	6.6871022152e-23	-1.5603238502e-22	3.3435511076e-22	2.2290340717e-22	-1.3374204430e-22	-2.7862925897e-22	3.3435511076e-22	-6.0462549195e-22	6.4641988080e-22	-9.1390396941e-22	-1.6494852131e-21
8.0000000000e-01	1.9818929975e-06	-1.1145170359e-22	1.0030653323e-22	-2.2290340717e-23	1.8946789610e-22	6.6871022152e-23	-1.1145170359e-23	-1.3374204430e-22	2.0061306645e-22	-2.9534701450e-22	3.3435511076e-22	-4.8481491060e-22	-8.8046845833e-22
1.0000000000e+00	8.0630258777e-07	-7.8016192510e-23	-2.2290340717e-23	-3.9008096255e-23	9.4733948048e-23	3.9008096255e-23	-2.7862925897e-23	-6.8264168446e-23	7.2443607331e-23	-1.3165232486e-22	1.5045979984e-22	-2.0618565163e-22	-3.6221803665e-22
1.2000000000e+00	2.8616411382e-07	-1.6717755538e-23	6.9657314741e-25	-1.2538316653e-23	2.9256072191e-23	1.3931462948e-23	-2.7862925897e-24	-2.3683487012e-23	2.7862925897e-23	-3.5176943944e-23	4.1794388845e-23	-7.2443607331e-23	-1.2538316653e-22
1.4000000000e+00	9.4001790300e-08	-3.4828657371e-24	1.1145170359e-23	-2.0897194422e-24	7.3140180478e-24	5.9208717530e-24	1.3931462948e-24	-7.8364479084e-24	1.0448597211e-23	-1.4802179383e-23	1.6021182391e-23	-2.3683487012e-23	-4.1794388845e-23
1.6000000000e+00	2.9452866081e-08	-1.3931462948e-24	2.2638627291e-24	-5.2242986056e-25	3.1345791634e-24	1.7414328685e-24	-5.2242986056e-25	-1.7414328685e-24	3.4828657371e-24	-4.3535821713e-24	5.0501553187e-24	-6.6174449004e-24	-1.2886603227e-23
1.8000000000e+00	8.9510311421e-09	-6.0950150399e-25	0.0000000000e+00	-3.4828657371e-25	8.7071643427e-25	4.3535821713e-25	-8.7071643427e-26	-7.6187687998e-25	7.8364479084e-25	-1.3713783840e-24	1.5672895817e-24	-2.3727022834e-24	-4.0052955976e-24
2.0000000000e+00	2.6650499298e-09	-2.3944701942e-25	2.1767910857e-26	-1.3060746514e-25	2.2856306399e-25	1.5237537600e-25	-2.1767910857e-26	-2.0679515314e-25	2.6121493028e-25	-3.5644954028e-25	4.7889403885e-25	-6.9657314741e-25	-1.1972350971e-24
2.2000000000e+00	7.8221456453e-10	-9.7955598855e-26	-2.1767910857e-26	-3.2651866285e-26	5.4419777142e-26	2.9930877428e-26	-1.6325933142e-26	-5.5780271570e-26	7.0745710284e-26	-1.1904326250e-25	1.3060746514e-25	-2.0407416428e-25	-3.4284459599e-25
2.4000000000e+00	2.2723611194e-10	-1.3604944285e-26	-4.7617304999e-27	-1.0883955428e-26	2.0407416428e-26	1.2244449857e-26	-5.4419777142e-27	-1.8706798392e-26	2.3128405285e-26	-3.7413596785e-26	4.3535821713e-26	-5.6460518784e-26	-1.0339757657e-25
2.6000000000e+00	6.5510479758e-11	-2.7209888571e-27	4.5916686963e-27	-1.3604944285e-27	4.7617304999e-27	3.0611124642e-27	-1.7006180357e-27	-6.1222249284e-27	7.4827193570e-27	-9.0132755891e-27	1.1564202643e-26	-1.7346303964e-26	-2.9250630214e-26
2.8000000000e+00	1.8775779132e-11	-8.5030901784e-28	5.9521631249e-28	0.0000000000e+00	1.5305562321e-27	8.5030901784e-28	-3.4012360714e-28	-1.4030098794e-27	2.0407416428e-27	-3.0717413269e-27	3.0611124642e-27	-4.6766995981e-27	-8.3330283748e-27
3.0000000000e+00	5.3562391452e-12	-2.1257725446e-28	-1.2754635268e-28	-2.9760815624e-28	5.5270086159e-28	1.9131952901e-28	8.5030901784e-29	-4.3578337164e-28	5.9521631249e-28	-8.3436572375e-28	8.9282446873e-28	-1.4030098794e-27	-2.3383497991e-27
3.2000000000e+00	1.5221172119e-12	-1.4880407812e-28	1.4348964676e-28	-9.5659764507e-29	1.0628862723e-28	6.3773176338e-29	3.1886588169e-29	-1.0894584291e-28	1.3817521540e-28	-2.2054890150e-28	2.5509270535e-28	-3.8263905803e-28	-6.8024721427e-28
3.4000000000e+00	4.3111871918e-13	-3.1886588169e-29	5.0487097934e-29	-1.5943294084e-29	5.3144313615e-29	2.6572156807e-29	-2.6572156807e-30	-3.9858235211e-29	5.5801529296e-29	-6.2776720458e-29	7.7059254742e-29	-1.1160305859e-28	-1.8600509765e-28
3.6000000000e+00	1.2174734338e-13	-2.6572156807e-30	1.3286078404e-30	-5.3144313615e-30	1.7271901925e-29	4.6501274413e-30	2.6572156807e-30	-1.1957470563e-29	1.3286078404e-29	-1.7354939915e-29	2.1257725446e-29	-3.0557980329e-29	-5.4472921455e-29
3.8000000000e+00	3.4287223271e-14	-3.3215196009e-30	4.4010134712e-30	-2.1589877406e-30	2.9893676408e-30	1.8268357805e-30	-9.9645588028e-31	-3.2384816109e-30	3.9858235211e-30	-5.2521528690e-30	5.6465833216e-30	-8.4698749824e-30	-1.4946838204e-29
4.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
